type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-37,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9481269,0,30,0,0,9.68723,128,[30 -32 1 0 -27 13 -27 13 -25 12 -25 13 -24 13 -24 13 -23 13 -23 13 -22 14 -22 15 -22 15 -21 15 -22 16 -21 14 -22 14 -22 15 -22 14 -22 13 -21 12 -21 12 -20 11 -20 10 -20 10 -20 10 -19 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -21 9 -22 9 -23 8 -23 8 -23 8 -25 8 -25 7 -26 7 -26 7 -26 7 -27 8 -27 7 -26 7 -27 7 -27 7 -26 7 -26 8 -25 7 -26 9 -26 9 -25 9 -26 10 -25 10 -26 12 -26 12 -25 12 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-43,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9481467,0,30,0,0,9.69282,128,[30 -32 1 0 -5 -23 -5 -21 -5 -21 -5 -21 -6 -21 -7 -21 -7 -20 -7 -20 -8 -21 -8 -21 -8 -20 -8 -20 -8 -20 -8 -20 -7 -20 -7 -21 -7 -20 -7 -20 -6 -20 -6 -19 -5 -19 -5 -19 -4 -19 -3 -19 -3 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -20 -5 -20 -4 -21 -4 -21 -3 -21 -3 -22 -3 -22 -2 -23 -2 -23 -1 -23 -1 -23 -1 -23 -1 -23 0 -23 0 -22 -1 -23 -1 -22 -1 -22 -2 -22 -2 -22 -3 -21 -3 -22 -3 -21 -3 -22 -4 -23 -4 -22 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-43,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9482674,0,30,0,0,9.69864,128,[30 -32 1 0 23 -6 23 -5 23 -5 22 -6 22 -7 22 -7 22 -7 22 -8 22 -8 22 -8 22 -8 21 -8 22 -8 21 -8 22 -8 22 -7 22 -7 21 -7 21 -6 21 -5 21 -5 20 -4 20 -4 20 -3 20 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 -6 22 -5 22 -5 23 -5 22 -4 23 -3 24 -3 24 -3 25 -2 24 -2 25 -1 26 -1 24 -1 25 0 24 -1 24 -1 24 -1 23 -1 24 -2 24 -2 23 -3 24 -3 23 -3 24 -3 25 -3 25 -4 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-43,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9494502,0,30,0,0,9.70391,128,[30 -32 1 0 24 -6 23 -6 23 -6 22 -7 22 -7 22 -7 22 -8 21 -8 22 -9 22 -9 21 -10 21 -9 21 -10 21 -10 21 -9 21 -9 21 -8 20 -8 20 -7 20 -7 19 -7 19 -6 19 -6 19 -5 19 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 -6 23 -5 23 -5 23 -4 23 -4 24 -3 25 -2 25 -2 26 -2 25 -1 26 -1 26 -1 25 -1 25 -1 25 0 25 -1 24 -1 24 -2 24 -2 24 -2 24 -3 24 -3 23 -3 24 -4 25 -4 25 -5 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-37,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9494710,0,30,0,0,9.7092,128,[30 -32 1 0 -26 -1 -26 0 -24 1 -24 0 -25 1 -24 0 -24 1 -24 1 -23 2 -23 3 -23 4 -23 4 -24 3 -22 3 -23 3 -23 3 -23 2 -23 1 -22 0 -22 0 -21 0 -20 0 -20 0 -20 0 -19 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -21 1 -22 -1 -21 -1 -22 -1 -21 -2 -23 -2 -23 -3 -24 -3 -24 -3 -24 -3 -24 -3 -25 -4 -24 -4 -25 -4 -24 -4 -25 -4 -24 -3 -23 -3 -25 -3 -24 -3 -24 -2 -24 -2 -24 -1 -25 0 -26 0 -25 0 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-42,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9510306,0,30,0,0,9.71472,128,[30 -32 1 0 12 -22 12 -21 12 -21 11 -21 11 -21 11 -22 10 -21 10 -21 10 -22 10 -22 9 -22 9 -22 9 -22 9 -22 9 -21 10 -22 10 -21 10 -20 11 -20 10 -19 10 -19 11 -18 11 -17 11 -17 12 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -19 11 -19 12 -20 12 -19 12 -19 13 -19 14 -19 14 -19 15 -20 15 -19 16 -19 17 -19 16 -19 16 -18 16 -18 16 -18 15 -18 15 -19 15 -19 15 -19 14 -19 14 -20 14 -19 14 -20 14 -21 14 -21 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-37,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9510487,0,30,0,0,9.72054,128,[30 -32 1 0 16 -25 15 -24 15 -24 14 -24 13 -24 12 -25 12 -24 11 -24 12 -24 11 -25 11 -25 11 -24 10 -24 11 -25 11 -24 11 -24 11 -24 11 -23 12 -23 11 -22 11 -21 11 -20 12 -19 12 -19 13 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 -19 13 -19 14 -19 14 -19 15 -19 16 -19 16 -19 17 -20 17 -21 18 -20 19 -20 19 -20 18 -20 19 -20 18 -20 18 -21 17 -20 17 -20 17 -21 17 -22 15 -22 15 -22 16 -22 16 -23 16 -24 15 -23 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-42,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,9511690,0,30,0,0,9.72641,128,[30 -32 1 0 0 23 0 23 1 22 1 23 2 23 2 23 3 22 3 22 3 22 3 22 3 22 3 22 4 23 3 22 3 23 3 22 2 22 2 22 1 21 1 21 0 20 0 20 -1 20 -2 19 -2 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 20 1 21 0 21 0 22 -1 21 -1 22 -1 22 -2 23 -3 24 -3 23 -3 23 -4 24 -4 23 -4 23 -4 23 -4 22 -3 23 -3 21 -3 23 -2 23 -1 22 -1 23 -1 22 -1 23 -1 24 0 25 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-37,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,84487167,0,30,0,0,84.6516,128,[30 -32 1 0 22 14 21 14 21 14 21 12 21 12 22 12 21 11 21 11 22 10 22 10 22 10 22 10 22 10 22 10 22 11 22 10 22 11 21 11 20 11 20 11 19 11 19 11 18 11 17 12 16 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 10 19 11 20 11 20 12 19 12 20 13 20 14 21 14 21 16 20 15 20 16 20 17 19 16 19 17 19 17 19 17 19 16 19 16 20 16 20 16 20 15 21 15 20 15 21 15 22 15 22 14 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-37,11,1,5,0,1,1,0,0,0,0,-96,0,11,0,84491804,0,228,0,0,84.657,256,[-28 64 14 0 14 -23 13 -22 13 -22 13 -22 12 -22 11 -23 11 -22 10 -23 10 -23 9 -23 10 -23 9 -23 9 -23 10 -23 10 -23 10 -23 10 -22 10 -22 11 -21 11 -21 10 -19 11 -19 10 -18 11 -18 11 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -17 10 -17 12 -17 11 -17 12 -18 13 -18 14 -18 14 -18 15 -19 16 -19 15 -19 17 -19 16 -18 16 -19 16 -18 16 -19 15 -19 15 -20 15 -20 15 -20 14 -20 14 -22 15 -21 14 -22 14 -22 13 -22 ]
CSI_DATA,PASSIVE,7C:21:4A:A1:EA:28,-37,11,1,5,0,1,1,0,0,0,0,-96,0,11,0,84491901,0,228,0,0,84.6628,256,[-28 64 14 0 -23 -9 -24 -9 -23 -8 -23 -9 -23 -7 -23 -7 -22 -7 -23 -6 -22 -6 -23 -5 -23 -5 -23 -6 -23 -5 -23 -5 -23 -6 -23 -7 -22 -7 -22 -7 -21 -7 -20 -7 -20 -7 -19 -7 -19 -7 -18 -8 -18 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 -6 -18 -6 -18 -6 -18 -7 -19 -7 -19 -8 -20 -8 -21 -9 -20 -9 -20 -10 -21 -10 -20 -10 -21 -11 -21 -10 -20 -11 -21 -11 -21 -10 -21 -10 -21 -10 -21 -10 -22 -9 -22 -9 -22 -9 -23 -9 -24 -9 -24 -8 ]
