subcarrier_0,subcarrier_4,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_11,subcarrier_12,subcarrier_13,timestamp
16.0,18.0,6.0,-2.0,16.0,7.0,16.0,6.0,3343.45
36.0,-6.0,-15.0,-15.0,2.0,-21.0,-2.0,-19.0,3343.45
80.0,-1.0,-11.0,6.0,-12.0,8.0,-13.0,8.0,3343.47
94.0,-6.0,-12.0,2.0,-19.0,5.0,-15.0,4.0,3343.48
94.0,-6.0,-2.0,19.0,3.0,18.0,-7.0,15.0,3343.48
90.0,-9.0,-15.0,10.0,-6.0,2.0,-18.0,3.0,3343.49
98.0,35.0,26.0,-25.0,29.0,-19.0,25.0,-26.0,3343.49
16.0,-32.0,1.0,-41.0,-19.0,-25.0,0.0,-45.0,3343.5
36.0,-32.0,4.0,-12.0,-12.0,-21.0,-11.0,-29.0,3343.51
94.0,13.0,34.0,11.0,35.0,-13.0,31.0,-6.0,3343.51
94.0,-16.0,17.0,22.0,-11.0,45.0,8.0,46.0,3343.52
90.0,12.0,12.0,0.0,10.0,11.0,8.0,8.0,3343.53
90.0,4.0,12.0,-3.0,9.0,-4.0,21.0,-8.0,3343.54
90.0,-12.0,-13.0,-6.0,-7.0,-16.0,-14.0,-14.0,3343.55
-108.0,-5.0,-6.0,-18.0,-16.0,-15.0,-10.0,-24.0,3343.58
-91.0,10.0,9.0,7.0,6.0,16.0,7.0,12.0,3343.58
-71.0,0.0,-5.0,-9.0,-5.0,-13.0,1.0,-9.0,3343.59
116.0,-9.0,-2.0,-19.0,-49.0,-18.0,-35.0,-18.0,3343.59
94.0,41.0,42.0,11.0,61.0,-12.0,36.0,0.0,3343.6
94.0,9.0,19.0,12.0,30.0,39.0,15.0,34.0,3343.6
94.0,6.0,-39.0,10.0,-16.0,16.0,-18.0,15.0,3343.61
94.0,-58.0,-36.0,-20.0,-9.0,-47.0,-32.0,-17.0,3343.61
94.0,-19.0,-11.0,-10.0,-2.0,-42.0,12.0,-37.0,3343.62
86.0,13.0,32.0,12.0,32.0,24.0,28.0,25.0,3343.63
98.0,-14.0,-15.0,10.0,-4.0,-6.0,-14.0,8.0,3343.63
102.0,-9.0,-15.0,9.0,-22.0,10.0,-25.0,20.0,3343.64
98.0,-12.0,-16.0,5.0,-14.0,-4.0,-16.0,0.0,3343.64
-68.0,4.0,3.0,-10.0,13.0,-10.0,5.0,-10.0,3343.65
-44.0,4.0,8.0,4.0,11.0,7.0,8.0,2.0,3343.68
-24.0,-48.0,-13.0,-12.0,-17.0,-29.0,-24.0,-45.0,3343.68
94.0,-31.0,-5.0,22.0,-27.0,2.0,-34.0,-3.0,3343.69
-34.0,-23.0,14.0,-26.0,18.0,-34.0,-23.0,-45.0,3343.7
-98.0,-18.0,-14.0,-33.0,-20.0,-14.0,-44.0,-39.0,3343.7
-75.0,-15.0,-52.0,10.0,-21.0,24.0,-45.0,23.0,3343.71
94.0,8.0,14.0,1.0,12.0,5.0,17.0,8.0,3343.71
-93.0,3.0,0.0,9.0,3.0,15.0,8.0,10.0,3343.72
-73.0,15.0,10.0,-10.0,-7.0,-42.0,20.0,-21.0,3343.72
-55.0,1.0,14.0,9.0,29.0,40.0,10.0,19.0,3343.73
98.0,-16.0,-7.0,-12.0,-31.0,-20.0,-61.0,-13.0,3343.74
-65.0,2.0,-12.0,14.0,-26.0,7.0,-22.0,-2.0,3343.74
11.0,-8.0,-9.0,-8.0,-9.0,-21.0,-18.0,-21.0,3343.75
74.0,-3.0,3.0,23.0,1.0,7.0,-2.0,17.0,3343.75
98.0,-12.0,-16.0,8.0,-18.0,8.0,-12.0,4.0,3343.76
108.0,11.0,8.0,-5.0,11.0,-1.0,12.0,-9.0,3343.78
-41.0,7.0,7.0,4.0,11.0,6.0,18.0,8.0,3343.79
94.0,9.0,21.0,17.0,18.0,15.0,38.0,20.0,3343.79
-21.0,-6.0,-2.0,6.0,-8.0,12.0,-5.0,18.0,3343.8
94.0,-5.0,-9.0,7.0,-12.0,-1.0,-19.0,10.0,3343.8
-65.0,1.0,4.0,-12.0,0.0,-32.0,-3.0,-32.0,3343.81
-47.0,-5.0,-15.0,0.0,-32.0,-3.0,-24.0,-11.0,3343.81
-27.0,-16.0,-2.0,-9.0,-37.0,-34.0,-32.0,2.0,3343.82
-116.0,-2.0,1.0,-2.0,44.0,-14.0,35.0,-18.0,3343.83
-98.0,-42.0,0.0,-18.0,-19.0,-20.0,-35.0,-23.0,3343.83
94.0,-12.0,9.0,-30.0,40.0,-28.0,9.0,-9.0,3343.84
4.0,2.0,10.0,7.0,2.0,10.0,5.0,14.0,3343.85
-85.0,-20.0,-3.0,-12.0,-7.0,-15.0,-7.0,-17.0,3343.87
94.0,-23.0,-19.0,3.0,-15.0,11.0,-18.0,22.0,3343.89
4.0,19.0,15.0,-47.0,28.0,-45.0,31.0,-22.0,3343.89
