subcarrier_5,subcarrier_9,subcarrier_10,subcarrier_13,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,timestamp
3.0,4.0,-22.0,5.0,5.0,-20.0,5.0,-20.0,93.776
11.0,10.0,21.0,10.0,10.0,21.0,9.0,20.0,93.9401
-22.0,-21.0,-5.0,-20.0,-20.0,-6.0,-19.0,-6.0,94.0827
18.0,16.0,-13.0,17.0,17.0,-11.0,16.0,-11.0,94.3762
23.0,21.0,-2.0,21.0,21.0,-1.0,20.0,-1.0,94.4956
-18.0,-18.0,16.0,-18.0,-18.0,15.0,-17.0,14.0,94.5009
1.0,0.0,22.0,0.0,0.0,21.0,-1.0,20.0,94.5254
19.0,18.0,-10.0,19.0,19.0,-9.0,18.0,-8.0,94.6838
-23.0,-22.0,-2.0,-21.0,-21.0,-3.0,-20.0,-3.0,94.7917
-20.0,-20.0,12.0,-20.0,-20.0,11.0,-19.0,10.0,95.0628
-22.0,-21.0,-3.0,-21.0,-20.0,-3.0,-19.0,-4.0,95.2229
-4.0,-5.0,22.0,-6.0,-6.0,20.0,-6.0,20.0,95.2288
-21.0,-19.0,6.0,-20.0,-20.0,5.0,-20.0,4.0,95.2342
-12.0,-12.0,-18.0,-10.0,-10.0,-17.0,-10.0,-17.0,95.2396
-22.0,-21.0,-3.0,-20.0,-20.0,-4.0,-19.0,-4.0,95.2458
-17.0,-16.0,-17.0,-15.0,-15.0,-17.0,-14.0,-17.0,95.2515
8.0,6.0,19.0,6.0,6.0,18.0,5.0,18.0,95.2579
22.0,20.0,8.0,20.0,20.0,9.0,19.0,9.0,95.2628
16.0,15.0,-14.0,15.0,15.0,-12.0,15.0,-12.0,95.2676
-17.0,-16.0,-15.0,-15.0,-14.0,-14.0,-14.0,-15.0,95.2735
-3.0,-2.0,-20.0,-1.0,-1.0,-19.0,0.0,-19.0,95.2799
-23.0,-21.0,-8.0,-21.0,-20.0,-9.0,-20.0,-9.0,95.3606
16.0,14.0,15.0,13.0,13.0,16.0,12.0,15.0,95.4327
1.0,0.0,20.0,-1.0,-1.0,18.0,-2.0,17.0,95.5334
