subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_10,subcarrier_12,subcarrier_13,timestamp
49.0,29.0,9.0,-18.0,9.0,-18.0,-22.0,9.0,2530.59
96.0,15.0,-14.0,9.0,-18.0,16.0,14.0,-22.0,2530.6
-32.0,5.0,-15.0,9.0,-17.0,6.0,6.0,-17.0,2530.6
113.0,30.0,-1.0,22.0,2.0,28.0,27.0,1.0,2530.61
-79.0,31.0,-19.0,1.0,-20.0,-1.0,-4.0,-27.0,2530.61
64.0,10.0,3.0,-8.0,1.0,-5.0,-2.0,-4.0,2530.64
-128.0,11.0,7.0,-11.0,2.0,-2.0,-4.0,-7.0,2530.65
0.0,8.0,-12.0,6.0,-8.0,2.0,12.0,-1.0,2530.65
32.0,6.0,6.0,-10.0,-2.0,-7.0,6.0,-8.0,2530.67
-16.0,10.0,11.0,-1.0,3.0,-6.0,-8.0,12.0,2530.7
-32.0,11.0,6.0,-2.0,8.0,5.0,0.0,-3.0,2530.71
65.0,30.0,3.0,-11.0,-7.0,-9.0,-2.0,-7.0,2530.71
32.0,13.0,9.0,-1.0,5.0,-10.0,-8.0,-14.0,2530.72
32.0,6.0,-5.0,4.0,-5.0,21.0,11.0,-7.0,2530.73
65.0,30.0,-6.0,-28.0,-10.0,-51.0,-69.0,33.0,2530.79
-32.0,11.0,-12.0,-5.0,1.0,-14.0,-32.0,-22.0,2530.8
-127.0,31.0,28.0,-23.0,32.0,5.0,-5.0,40.0,2530.8
32.0,13.0,21.0,-2.0,17.0,1.0,3.0,24.0,2530.81
-32.0,5.0,-11.0,-18.0,-14.0,-21.0,-19.0,-13.0,2530.81
-32.0,5.0,-22.0,-5.0,-22.0,-8.0,-7.0,-21.0,2530.82
81.0,25.0,-2.0,23.0,-5.0,23.0,26.0,-4.0,2530.82
-111.0,26.0,-9.0,16.0,-12.0,20.0,21.0,-11.0,2530.83
-32.0,9.0,6.0,18.0,3.0,20.0,23.0,3.0,2530.83
