subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_10,timestamp
-48.0,7.0,13.0,-27.0,3.0,-23.0,8.0,2.0,2040.17
16.0,9.0,-25.0,-9.0,-26.0,0.0,-31.0,-32.0,2040.17
-32.0,11.0,-44.0,21.0,-77.0,10.0,-45.0,-47.0,2040.18
32.0,13.0,30.0,58.0,52.0,66.0,40.0,41.0,2040.18
-127.0,29.0,15.0,55.0,31.0,73.0,39.0,21.0,2040.19
-110.0,32.0,-18.0,-23.0,-13.0,-17.0,-15.0,-14.0,2040.2
-111.0,20.0,-44.0,45.0,-77.0,24.0,-49.0,-59.0,2040.2
-32.0,5.0,46.0,-24.0,66.0,-33.0,58.0,66.0,2040.21
-32.0,5.0,16.0,21.0,16.0,16.0,17.0,20.0,2040.21
32.0,6.0,3.0,13.0,2.0,1.0,-3.0,-9.0,2040.22
0.0,8.0,-10.0,4.0,-5.0,-3.0,-4.0,-6.0,2040.22
-64.0,6.0,-8.0,-7.0,-3.0,-5.0,-4.0,-1.0,2040.23
-64.0,6.0,-8.0,8.0,0.0,4.0,-7.0,-6.0,2040.24
0.0,8.0,10.0,1.0,1.0,1.0,-4.0,0.0,2040.24
64.0,9.0,-10.0,-2.0,-10.0,-13.0,-4.0,-7.0,2040.25
32.0,6.0,-7.0,-2.0,-11.0,3.0,2.0,7.0,2040.26
-63.0,30.0,-18.0,10.0,-17.0,20.0,-21.0,-18.0,2040.27
-32.0,5.0,-16.0,17.0,-17.0,21.0,-19.0,-17.0,2040.28
-64.0,6.0,-18.0,-10.0,-23.0,-7.0,-21.0,-23.0,2040.28
0.0,8.0,-24.0,1.0,-26.0,0.0,-27.0,-25.0,2040.29
0.0,8.0,-21.0,-14.0,-21.0,-16.0,-21.0,-23.0,2040.29
-64.0,6.0,1.0,-24.0,-3.0,-19.0,0.0,2.0,2040.3
-64.0,6.0,2.0,-5.0,8.0,-2.0,5.0,8.0,2040.3
32.0,6.0,13.0,-4.0,2.0,2.0,5.0,14.0,2040.33
0.0,8.0,7.0,-3.0,4.0,-5.0,4.0,8.0,2040.34
-111.0,28.0,-11.0,17.0,-7.0,21.0,-5.0,-13.0,2040.36
-47.0,29.0,-16.0,19.0,-15.0,22.0,-18.0,-20.0,2040.37
-64.0,6.0,20.0,13.0,24.0,8.0,23.0,22.0,2040.38
