subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
98.0,32.0,6.0,-4.0,-3.0,-3.0,0.0,-3.0,1987.0
-18.0,-32.0,14.0,-4.0,0.0,-7.0,0.0,-6.0,1987.0
-108.0,64.0,9.0,-5.0,-19.0,2.0,-17.0,-7.0,1987.02
-108.0,64.0,9.0,5.0,47.0,11.0,57.0,9.0,1987.03
98.0,32.0,6.0,0.0,-21.0,5.0,-22.0,5.0,1987.03
-28.0,65.0,30.0,6.0,17.0,4.0,23.0,6.0,1987.04
-8.0,-127.0,31.0,5.0,-18.0,8.0,-20.0,9.0,1987.04
-94.0,34.0,42.0,-15.0,-12.0,-17.0,-13.0,-20.0,1987.05
-74.0,98.0,43.0,-16.0,-3.0,-21.0,-5.0,-21.0,1987.05
94.0,-32.0,5.0,8.0,15.0,8.0,15.0,9.0,1987.06
20.0,65.0,17.0,18.0,2.0,19.0,1.0,20.0,1987.06
-18.0,-32.0,14.0,-12.0,2.0,-16.0,1.0,-20.0,1987.07
122.0,-96.0,7.0,0.0,10.0,4.0,5.0,4.0,1987.08
-128.0,0.0,8.0,-1.0,5.0,6.0,10.0,1.0,1987.08
-128.0,0.0,8.0,1.0,-7.0,-1.0,-4.0,-1.0,1987.09
-93.0,48.0,10.0,-2.0,-1.0,-3.0,-3.0,-2.0,1987.09
98.0,32.0,6.0,-4.0,3.0,-11.0,3.0,17.0,1987.1
98.0,32.0,6.0,5.0,7.0,1.0,-3.0,10.0,1987.1
98.0,32.0,6.0,-4.0,-3.0,-1.0,-7.0,-2.0,1987.11
-51.0,-48.0,12.0,2.0,9.0,9.0,6.0,8.0,1987.12
-107.0,81.0,25.0,34.0,28.0,26.0,52.0,49.0,1987.13
124.0,-64.0,7.0,10.0,-12.0,8.0,-15.0,15.0,1987.13
94.0,-32.0,5.0,14.0,9.0,15.0,10.0,15.0,1987.14
94.0,-32.0,5.0,5.0,-18.0,9.0,-12.0,15.0,1987.14
94.0,-32.0,5.0,-13.0,-13.0,-11.0,-13.0,-15.0,1987.15
94.0,-32.0,5.0,1.0,22.0,-3.0,16.0,-6.0,1987.16
94.0,-32.0,5.0,15.0,-1.0,20.0,0.0,19.0,1987.16
98.0,32.0,6.0,-4.0,3.0,-2.0,-2.0,0.0,1987.17
98.0,32.0,6.0,6.0,-14.0,-2.0,-11.0,-6.0,1987.18
98.0,32.0,6.0,10.0,-6.0,1.0,-7.0,-3.0,1987.19
98.0,32.0,6.0,0.0,-7.0,4.0,-4.0,-5.0,1987.2
-108.0,64.0,9.0,-3.0,6.0,-6.0,3.0,-3.0,1987.2
-55.0,-111.0,28.0,6.0,-6.0,-6.0,-5.0,0.0,1987.21
74.0,-95.0,20.0,-1.0,3.0,1.0,-3.0,5.0,1987.21
94.0,-31.0,21.0,9.0,-3.0,0.0,-5.0,8.0,1987.22
-107.0,81.0,25.0,-3.0,-2.0,-4.0,-5.0,0.0,1987.22
-87.0,-111.0,26.0,4.0,-3.0,14.0,-8.0,-3.0,1987.23
-126.0,32.0,8.0,10.0,-6.0,0.0,-6.0,-4.0,1987.23
-126.0,32.0,8.0,-6.0,2.0,-10.0,4.0,-3.0,1987.24
-6.0,-96.0,15.0,2.0,-7.0,-7.0,-1.0,-2.0,1987.25
94.0,-32.0,5.0,-7.0,14.0,-13.0,21.0,-14.0,1987.25
-126.0,32.0,8.0,30.0,10.0,22.0,3.0,25.0,1987.26
94.0,-32.0,5.0,-14.0,23.0,8.0,56.0,-23.0,1987.26
94.0,-32.0,5.0,32.0,20.0,33.0,42.0,34.0,1987.27
-55.0,-111.0,28.0,-9.0,10.0,-14.0,8.0,-14.0,1987.27
-2.0,-32.0,15.0,1.0,-5.0,11.0,-15.0,-2.0,1987.28
-5.0,-80.0,15.0,5.0,-6.0,1.0,-11.0,-1.0,1987.31
-67.0,-48.0,11.0,21.0,-1.0,12.0,4.0,22.0,1987.33
108.0,-64.0,6.0,-19.0,-38.0,-48.0,-16.0,-45.0,1987.33
-6.0,-96.0,15.0,-26.0,-29.0,-29.0,-8.0,-52.0,1987.34
-108.0,64.0,9.0,-30.0,-16.0,-32.0,-31.0,-31.0,1987.34
-126.0,32.0,8.0,2.0,15.0,-12.0,57.0,-1.0,1987.35
-2.0,-32.0,15.0,-36.0,-32.0,-37.0,-22.0,-54.0,1987.36
-108.0,64.0,9.0,3.0,14.0,3.0,16.0,-1.0,1987.36
94.0,-32.0,5.0,-1.0,-22.0,-2.0,-21.0,-1.0,1987.37
-5.0,-80.0,15.0,-17.0,-6.0,-16.0,-12.0,-17.0,1987.37
124.0,-64.0,7.0,6.0,-2.0,10.0,-2.0,5.0,1987.39
22.0,98.0,33.0,-4.0,14.0,-9.0,17.0,-7.0,1987.43
-66.0,-32.0,11.0,-10.0,-13.0,-11.0,-15.0,-12.0,1987.44
94.0,-32.0,5.0,10.0,-15.0,8.0,-16.0,15.0,1987.44
-46.0,32.0,13.0,-17.0,-7.0,-19.0,-9.0,-16.0,1987.45
124.0,-64.0,7.0,16.0,9.0,19.0,11.0,16.0,1987.45
98.0,32.0,6.0,4.0,-6.0,-3.0,-10.0,-3.0,1987.46
98.0,32.0,6.0,-5.0,-5.0,14.0,-2.0,15.0,1987.46
-98.0,-32.0,9.0,-8.0,1.0,-6.0,1.0,-7.0,1987.48
-98.0,-32.0,9.0,12.0,-3.0,-3.0,-1.0,-5.0,1987.49
-66.0,-32.0,11.0,1.0,3.0,2.0,-5.0,-6.0,1987.49
-46.0,32.0,13.0,7.0,-6.0,3.0,-3.0,0.0,1987.5
2.0,33.0,16.0,-10.0,-8.0,-2.0,-5.0,-4.0,1987.51
-128.0,0.0,8.0,4.0,3.0,6.0,-2.0,0.0,1987.51
98.0,32.0,6.0,-11.0,6.0,-10.0,16.0,-23.0,1987.53
94.0,-32.0,5.0,-24.0,-56.0,-14.0,-43.0,-11.0,1987.54
86.0,96.0,5.0,-9.0,18.0,-10.0,23.0,-58.0,1987.54
-98.0,-32.0,9.0,-27.0,-24.0,-37.0,-25.0,-35.0,1987.55
-98.0,-32.0,9.0,10.0,-31.0,-8.0,-56.0,23.0,1987.55
-66.0,-32.0,11.0,32.0,11.0,31.0,5.0,39.0,1987.56
-46.0,32.0,13.0,14.0,34.0,13.0,52.0,20.0,1987.57
2.0,33.0,16.0,-5.0,-14.0,-10.0,-19.0,-5.0,1987.57
-128.0,0.0,8.0,7.0,-11.0,11.0,-10.0,10.0,1987.58
-99.0,-48.0,9.0,-5.0,-5.0,2.0,-3.0,-9.0,1987.6
-79.0,16.0,11.0,2.0,6.0,-7.0,-5.0,3.0,1987.6
-43.0,81.0,29.0,6.0,0.0,6.0,-10.0,2.0,1987.61
-65.0,-15.0,27.0,-4.0,-5.0,8.0,8.0,8.0,1987.61
1.0,19.0,48.0,7.0,3.0,0.0,-4.0,9.0,1987.62
65.0,17.0,20.0,9.0,2.0,2.0,0.0,8.0,1987.63
