subcarrier_1,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_89,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_109,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_127,timestamp
0.0,10.0,-15.0,4.0,-15.0,8.0,-15.0,10.0,8.0,-12.0,3.0,-13.0,8.0,-14.0,7.0,-14.0,8.0,-16.0,7.0,-12.0,-14.0,4.0,-17.0,6.0,-14.0,-10.0,-3.0,-8.0,-1.0,-3.0,-4.0,-6.0,-5.0,-11.0,14.0,32.0,18.0,31.0,20.0,34.0,20.0,32.0,19.0,32.0,26.0,33.0,31.0,28.0,26.0,24.0,26.0,21.0,26.0,21.0,22.0,18.0,18.0,11.0,16.0,11.0,20.0,8.0,16.0,11.0,12.0,-4.0,-5.0,4.0,-5.0,-10.0,12.0,-9.0,12.0,-9.0,11.0,8.0,2503.99
32.0,3.0,-6.0,-5.0,-4.0,2.0,-6.0,-4.0,-8.0,1.0,-6.0,-14.0,-15.0,-11.0,-14.0,-10.0,-19.0,-9.0,-26.0,-11.0,-5.0,-23.0,-4.0,-27.0,-5.0,2.0,-26.0,-1.0,-21.0,-17.0,-27.0,12.0,20.0,-10.0,-5.0,-13.0,-8.0,-15.0,-4.0,-10.0,-8.0,-6.0,-9.0,-4.0,-16.0,0.0,1.0,-22.0,2.0,-28.0,3.0,-25.0,12.0,-29.0,7.0,-25.0,14.0,-32.0,17.0,-24.0,21.0,-33.0,20.0,23.0,21.0,-19.0,-24.0,25.0,-10.0,-15.0,19.0,-20.0,20.0,-8.0,17.0,13.0,2504.03
48.0,7.0,-10.0,-2.0,-5.0,-7.0,-4.0,-8.0,-10.0,0.0,-11.0,5.0,-16.0,2.0,-14.0,7.0,-19.0,7.0,-19.0,7.0,4.0,-27.0,10.0,-22.0,9.0,18.0,-15.0,15.0,-10.0,-6.0,-6.0,18.0,17.0,3.0,-4.0,-6.0,-8.0,-8.0,-2.0,-5.0,-4.0,-7.0,-10.0,-12.0,-14.0,-1.0,-6.0,-21.0,-7.0,-25.0,-5.0,-21.0,-6.0,-21.0,-8.0,-27.0,-1.0,-21.0,4.0,-30.0,4.0,-32.0,6.0,11.0,7.0,-26.0,-28.0,15.0,-22.0,-26.0,9.0,-25.0,8.0,-20.0,7.0,11.0,2504.03
-96.0,8.0,-13.0,7.0,-18.0,9.0,1.0,4.0,12.0,-11.0,4.0,4.0,23.0,-16.0,8.0,-11.0,4.0,-12.0,4.0,-17.0,-16.0,7.0,-11.0,5.0,-16.0,-14.0,5.0,-12.0,4.0,-1.0,1.0,-8.0,-9.0,-6.0,-11.0,31.0,-15.0,37.0,-11.0,37.0,-5.0,39.0,-8.0,40.0,-1.0,40.0,38.0,-1.0,38.0,5.0,36.0,6.0,32.0,1.0,29.0,5.0,24.0,-1.0,22.0,2.0,22.0,-3.0,14.0,10.0,12.0,-8.0,-12.0,5.0,-2.0,-12.0,10.0,-9.0,8.0,-16.0,16.0,4.0,2504.06
-111.0,4.0,26.0,6.0,30.0,4.0,25.0,-22.0,8.0,18.0,-3.0,38.0,-9.0,35.0,14.0,29.0,5.0,28.0,2.0,36.0,25.0,6.0,32.0,6.0,26.0,17.0,7.0,16.0,13.0,15.0,22.0,2.0,-3.0,18.0,59.0,-29.0,58.0,-31.0,58.0,-36.0,59.0,-42.0,59.0,-51.0,52.0,-54.0,-50.0,52.0,-55.0,43.0,-52.0,39.0,-42.0,40.0,-49.0,36.0,-39.0,31.0,-28.0,34.0,-22.0,30.0,-9.0,-10.0,0.0,19.0,18.0,1.0,5.0,29.0,-1.0,22.0,2.0,24.0,-18.0,6.0,2504.07
-47.0,-13.0,11.0,-14.0,-13.0,-14.0,-21.0,-34.0,-40.0,18.0,-11.0,2.0,-32.0,20.0,-31.0,15.0,-24.0,1.0,-46.0,7.0,-7.0,-30.0,-4.0,-32.0,-12.0,5.0,-18.0,-7.0,-21.0,-15.0,-10.0,11.0,14.0,-9.0,-28.0,-62.0,-31.0,-58.0,-34.0,-63.0,-45.0,-56.0,-50.0,-67.0,-50.0,-62.0,-60.0,-64.0,-45.0,-54.0,-39.0,-53.0,-36.0,-45.0,-45.0,-50.0,-37.0,-38.0,-34.0,-30.0,-23.0,-25.0,-36.0,-18.0,-25.0,-7.0,-13.0,-32.0,5.0,-10.0,-41.0,1.0,-14.0,-1.0,-15.0,-26.0,2504.07
96.0,-12.0,-27.0,-2.0,-53.0,27.0,-33.0,-4.0,1.0,-26.0,15.0,-8.0,1.0,-27.0,-18.0,-43.0,-5.0,-31.0,-24.0,-33.0,-41.0,-14.0,-38.0,-11.0,-18.0,-17.0,-20.0,-15.0,-12.0,-18.0,-22.0,-17.0,-2.0,-15.0,-11.0,64.0,-9.0,59.0,-5.0,69.0,-9.0,72.0,-8.0,73.0,0.0,75.0,76.0,8.0,72.0,10.0,69.0,2.0,63.0,-3.0,61.0,6.0,51.0,-8.0,50.0,-14.0,42.0,-6.0,27.0,20.0,25.0,-13.0,-28.0,13.0,-33.0,-21.0,26.0,-19.0,7.0,-31.0,5.0,4.0,2504.08
32.0,12.0,-18.0,47.0,-14.0,11.0,-24.0,9.0,19.0,-19.0,6.0,-32.0,1.0,-21.0,-4.0,-30.0,1.0,-31.0,-2.0,-19.0,-29.0,1.0,-12.0,-2.0,-29.0,-7.0,-10.0,-22.0,-15.0,-15.0,-21.0,-9.0,-8.0,-17.0,4.0,57.0,4.0,65.0,10.0,73.0,15.0,72.0,19.0,71.0,21.0,72.0,72.0,20.0,66.0,18.0,66.0,14.0,67.0,9.0,54.0,10.0,49.0,9.0,37.0,7.0,37.0,-10.0,27.0,26.0,18.0,-22.0,-24.0,21.0,-10.0,-23.0,25.0,-41.0,2.0,-31.0,18.0,20.0,2504.08
-32.0,18.0,6.0,13.0,4.0,10.0,5.0,10.0,9.0,3.0,12.0,4.0,9.0,2.0,18.0,4.0,16.0,3.0,16.0,4.0,3.0,11.0,5.0,9.0,2.0,0.0,14.0,-1.0,13.0,9.0,5.0,-5.0,-9.0,6.0,33.0,1.0,36.0,5.0,36.0,0.0,38.0,-3.0,39.0,-6.0,39.0,-4.0,-8.0,36.0,-12.0,31.0,-10.0,27.0,-9.0,29.0,-8.0,31.0,-9.0,25.0,-5.0,21.0,-7.0,19.0,1.0,7.0,5.0,9.0,10.0,8.0,11.0,4.0,7.0,9.0,15.0,13.0,10.0,10.0,2504.09
48.0,17.0,-3.0,7.0,-7.0,12.0,-5.0,10.0,8.0,-10.0,11.0,-10.0,12.0,-10.0,8.0,-3.0,12.0,-9.0,6.0,-10.0,-14.0,9.0,-14.0,8.0,-10.0,-10.0,2.0,-10.0,3.0,0.0,-1.0,-5.0,-7.0,-9.0,25.0,24.0,32.0,21.0,30.0,22.0,32.0,20.0,33.0,19.0,35.0,20.0,17.0,36.0,15.0,32.0,13.0,30.0,16.0,24.0,11.0,20.0,14.0,20.0,14.0,14.0,9.0,8.0,7.0,11.0,14.0,2.0,-3.0,12.0,-1.0,-1.0,9.0,-7.0,18.0,0.0,14.0,9.0,2504.1
