subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_27,subcarrier_29,subcarrier_30,subcarrier_32,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_93,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_100,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-92.0,64.0,10.0,-21.0,-1.0,-22.0,-3.0,-24.0,3.0,-23.0,-2.0,-26.0,2.0,-28.0,0.0,-26.0,-2.0,-22.0,-3.0,-27.0,-1.0,-27.0,-25.0,0.0,1.0,-20.0,-19.0,-16.0,0.0,-13.0,0.0,-9.0,3.0,-9.0,-7.0,3.0,-2.0,3.0,2.0,3.0,0.0,7.0,-1.0,6.0,0.0,25.0,18.0,26.0,21.0,27.0,18.0,27.0,20.0,30.0,20.0,27.0,18.0,30.0,26.0,14.0,17.0,12.0,18.0,12.0,15.0,12.0,11.0,6.0,9.0,4.0,7.0,3.0,4.0,-3.0,7.0,-2.0,1.0,-4.0,2.0,-8.0,4.0,-13.0,-2.0,-10.0,4.0,-18.0,-1.0,-20.0,-1.0,1932.15
-72.0,-128.0,11.0,15.0,17.0,13.0,18.0,13.0,18.0,12.0,23.0,20.0,17.0,13.0,19.0,17.0,18.0,15.0,18.0,18.0,17.0,15.0,20.0,18.0,15.0,15.0,13.0,10.0,8.0,8.0,8.0,7.0,7.0,4.0,1.0,2.0,1.0,-1.0,-3.0,-1.0,-4.0,-5.0,-4.0,-7.0,-7.0,0.0,-35.0,2.0,-34.0,1.0,-32.0,0.0,-34.0,-2.0,-35.0,-1.0,-36.0,-2.0,-3.0,-31.0,-30.0,-27.0,0.0,-23.0,0.0,2.0,-14.0,2.0,-10.0,5.0,-7.0,4.0,-5.0,6.0,-4.0,7.0,0.0,3.0,2.0,8.0,4.0,9.0,10.0,8.0,12.0,14.0,11.0,13.0,13.0,1932.16
74.0,-95.0,20.0,17.0,-1.0,27.0,4.0,20.0,-5.0,26.0,2.0,23.0,-1.0,26.0,0.0,29.0,-4.0,21.0,-8.0,25.0,-7.0,17.0,20.0,-8.0,-13.0,27.0,14.0,11.0,-4.0,17.0,-3.0,14.0,-3.0,10.0,0.0,-8.0,9.0,-1.0,-4.0,4.0,-3.0,-9.0,2.0,-8.0,2.0,-28.0,-16.0,-21.0,-16.0,-31.0,-23.0,-29.0,-20.0,-31.0,-21.0,-24.0,-22.0,-26.0,-24.0,-18.0,-22.0,-21.0,-22.0,-18.0,-12.0,-14.0,-6.0,-7.0,-15.0,3.0,-10.0,-9.0,-13.0,12.0,-7.0,0.0,-11.0,14.0,-8.0,6.0,-2.0,9.0,6.0,21.0,1.0,17.0,3.0,7.0,-1.0,1932.16
94.0,-31.0,21.0,-16.0,-13.0,-17.0,-15.0,-18.0,-14.0,-17.0,-17.0,-20.0,-19.0,-20.0,-21.0,-15.0,-16.0,-17.0,-11.0,-19.0,-19.0,-18.0,-21.0,-13.0,-10.0,-18.0,-15.0,-15.0,-8.0,-17.0,-13.0,-7.0,-3.0,-7.0,-8.0,-3.0,-2.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,6.0,-1.0,30.0,7.0,35.0,4.0,39.0,4.0,34.0,4.0,33.0,6.0,37.0,3.0,4.0,29.0,31.0,27.0,2.0,24.0,1.0,0.0,16.0,-5.0,10.0,-3.0,11.0,-2.0,4.0,-8.0,5.0,-7.0,2.0,-7.0,-4.0,-7.0,0.0,-12.0,-5.0,-11.0,-4.0,-12.0,-6.0,-16.0,-15.0,1932.17
-98.0,-32.0,9.0,-24.0,7.0,-26.0,3.0,-25.0,9.0,-19.0,2.0,-29.0,6.0,-25.0,7.0,-25.0,9.0,-27.0,10.0,-25.0,8.0,-29.0,-26.0,13.0,9.0,-23.0,-21.0,-14.0,11.0,-14.0,11.0,-11.0,7.0,-8.0,-5.0,4.0,-1.0,1.0,0.0,5.0,-2.0,7.0,-4.0,7.0,-1.0,29.0,16.0,34.0,21.0,32.0,23.0,29.0,22.0,31.0,20.0,31.0,19.0,31.0,32.0,18.0,17.0,14.0,23.0,13.0,17.0,14.0,8.0,9.0,7.0,9.0,12.0,-1.0,6.0,-4.0,5.0,-3.0,7.0,-8.0,7.0,-9.0,10.0,-13.0,4.0,-16.0,7.0,-14.0,7.0,-14.0,8.0,1932.17
94.0,-32.0,5.0,9.0,20.0,12.0,23.0,12.0,20.0,13.0,22.0,14.0,20.0,12.0,17.0,16.0,21.0,17.0,20.0,16.0,21.0,17.0,19.0,19.0,16.0,15.0,17.0,17.0,13.0,8.0,10.0,7.0,10.0,2.0,1.0,3.0,2.0,1.0,-4.0,4.0,-1.0,-2.0,-6.0,-7.0,-5.0,13.0,-32.0,8.0,-33.0,5.0,-36.0,11.0,-38.0,9.0,-36.0,8.0,-35.0,10.0,6.0,-35.0,-33.0,-30.0,8.0,-23.0,6.0,8.0,-16.0,9.0,-11.0,6.0,-10.0,4.0,-3.0,7.0,-1.0,7.0,1.0,4.0,8.0,7.0,6.0,11.0,7.0,11.0,10.0,6.0,13.0,10.0,14.0,1932.18
98.0,32.0,6.0,17.0,-8.0,9.0,4.0,7.0,7.0,-12.0,3.0,-7.0,11.0,1.0,3.0,-9.0,21.0,-11.0,11.0,-8.0,23.0,-11.0,-9.0,25.0,25.0,-29.0,-19.0,-28.0,24.0,-21.0,18.0,-23.0,19.0,-20.0,-19.0,7.0,-16.0,8.0,1.0,-22.0,3.0,-26.0,-3.0,-23.0,0.0,-14.0,0.0,-4.0,5.0,-2.0,7.0,0.0,8.0,0.0,16.0,-2.0,12.0,3.0,5.0,15.0,16.0,8.0,9.0,25.0,23.0,22.0,26.0,24.0,16.0,23.0,7.0,22.0,14.0,38.0,10.0,34.0,7.0,30.0,-1.0,42.0,12.0,30.0,0.0,20.0,4.0,26.0,9.0,17.0,9.0,1932.18
98.0,32.0,6.0,-1.0,6.0,-4.0,9.0,-5.0,7.0,-4.0,-6.0,-12.0,3.0,-7.0,-10.0,-15.0,-5.0,-5.0,-4.0,-14.0,-7.0,-22.0,-20.0,-12.0,-11.0,-22.0,-22.0,-33.0,-13.0,-20.0,-14.0,-14.0,-21.0,-15.0,-12.0,-16.0,-14.0,-24.0,-19.0,-2.0,-11.0,-9.0,-10.0,3.0,-21.0,-6.0,-16.0,-9.0,-7.0,-4.0,-12.0,-2.0,-9.0,-4.0,-4.0,-16.0,0.0,-11.0,-17.0,10.0,-2.0,5.0,-21.0,16.0,-23.0,-18.0,15.0,-22.0,25.0,-25.0,18.0,-16.0,19.0,-14.0,38.0,-16.0,27.0,-16.0,18.0,-7.0,24.0,-4.0,30.0,-2.0,26.0,-2.0,23.0,-6.0,19.0,1932.19
-34.0,-32.0,13.0,-15.0,-7.0,-19.0,-6.0,2.0,-1.0,-7.0,-10.0,-7.0,-15.0,-4.0,-11.0,-3.0,-16.0,3.0,-21.0,-8.0,-21.0,-2.0,-7.0,-30.0,-30.0,-4.0,2.0,-4.0,-30.0,5.0,-28.0,9.0,-30.0,8.0,7.0,-19.0,12.0,-20.0,-19.0,17.0,-14.0,14.0,-11.0,15.0,-4.0,7.0,-8.0,2.0,-14.0,3.0,-4.0,2.0,-11.0,-4.0,-10.0,-8.0,-7.0,-11.0,-18.0,-11.0,-10.0,-8.0,-24.0,-1.0,-32.0,-39.0,7.0,-35.0,3.0,-37.0,5.0,-34.0,12.0,-42.0,11.0,-37.0,16.0,-33.0,14.0,-40.0,24.0,-35.0,16.0,-34.0,10.0,-26.0,18.0,-19.0,9.0,1932.2
98.0,32.0,6.0,5.0,7.0,-12.0,10.0,-10.0,7.0,-5.0,13.0,-3.0,3.0,-14.0,8.0,-12.0,7.0,-12.0,-1.0,-14.0,-1.0,-24.0,-19.0,6.0,-3.0,-28.0,-22.0,-23.0,0.0,-23.0,-3.0,-21.0,-11.0,-21.0,-11.0,-10.0,-16.0,-5.0,-5.0,-13.0,-12.0,-6.0,-10.0,-5.0,-10.0,-11.0,-13.0,-9.0,-8.0,-4.0,4.0,-7.0,4.0,-8.0,8.0,-7.0,11.0,-14.0,-12.0,14.0,16.0,14.0,-13.0,13.0,-14.0,-7.0,30.0,-2.0,20.0,-7.0,24.0,-5.0,29.0,9.0,23.0,4.0,36.0,10.0,32.0,-3.0,30.0,11.0,17.0,9.0,21.0,8.0,14.0,0.0,8.0,1932.2
