subcarrier_0,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_41,subcarrier_42,subcarrier_45,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_92,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_112,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_125,subcarrier_126,timestamp
-126.0,8.0,24.0,4.0,25.0,9.0,6.0,30.0,-1.0,21.0,-12.0,-1.0,27.0,-1.0,26.0,2.0,20.0,16.0,4.0,3.0,-1.0,17.0,-3.0,0.0,-8.0,13.0,11.0,-6.0,-1.0,4.0,7.0,12.0,28.0,15.0,28.0,27.0,8.0,22.0,-7.0,17.0,-3.0,-8.0,18.0,-11.0,-17.0,12.0,-11.0,3.0,23.0,6.0,-13.0,12.0,-7.0,12.0,17.0,-5.0,23.0,-3.0,-10.0,13.0,9.0,-9.0,19.0,11.0,-1.0,17.0,5.0,12.0,17.0,4.0,4.0,6.0,5.0,11.0,2947.27
-10.0,15.0,-18.0,1.0,-9.0,-1.0,-4.0,-9.0,-5.0,-11.0,-17.0,-12.0,-19.0,-10.0,-10.0,-14.0,-22.0,-24.0,-4.0,-19.0,-24.0,-17.0,-18.0,-21.0,-22.0,-10.0,-26.0,-25.0,-16.0,-23.0,-10.0,-17.0,2.0,-12.0,-6.0,-6.0,-18.0,-7.0,-8.0,-10.0,-15.0,-3.0,-14.0,-14.0,-4.0,-22.0,-2.0,-10.0,-9.0,-21.0,-1.0,-9.0,3.0,-14.0,-15.0,7.0,-18.0,13.0,17.0,-25.0,-11.0,15.0,-17.0,-15.0,23.0,-13.0,14.0,15.0,-13.0,11.0,-9.0,3.0,13.0,-7.0,2947.29
98.0,6.0,11.0,-12.0,16.0,-2.0,-10.0,16.0,-5.0,14.0,-8.0,-9.0,14.0,-3.0,13.0,-11.0,19.0,15.0,-11.0,19.0,-7.0,20.0,-5.0,25.0,-5.0,0.0,20.0,-5.0,0.0,8.0,20.0,7.0,13.0,1.0,13.0,10.0,5.0,9.0,2.0,14.0,0.0,-8.0,4.0,-1.0,-6.0,12.0,-6.0,13.0,9.0,9.0,-21.0,9.0,-23.0,4.0,-3.0,-14.0,-3.0,-18.0,-23.0,-3.0,-2.0,-23.0,2.0,-2.0,-28.0,-16.0,-28.0,-25.0,-2.0,-17.0,-2.0,-16.0,-15.0,1.0,2947.33
46.0,18.0,-8.0,0.0,-9.0,-18.0,-4.0,-11.0,-9.0,-16.0,-19.0,-9.0,-32.0,-3.0,-13.0,-10.0,-8.0,-25.0,-19.0,-20.0,-17.0,-17.0,-16.0,-17.0,-16.0,-21.0,-18.0,-15.0,-25.0,-15.0,-6.0,-17.0,-7.0,-20.0,4.0,11.0,-12.0,-19.0,0.0,-6.0,-9.0,-1.0,-13.0,3.0,0.0,-17.0,6.0,-6.0,-19.0,-19.0,19.0,-14.0,2.0,-12.0,-18.0,19.0,-17.0,9.0,24.0,-14.0,-15.0,28.0,-18.0,-12.0,25.0,-8.0,18.0,23.0,-12.0,17.0,-15.0,11.0,13.0,-11.0,2947.33
-6.0,15.0,-7.0,10.0,0.0,13.0,9.0,-6.0,12.0,-4.0,7.0,13.0,-12.0,20.0,-13.0,15.0,-4.0,-11.0,20.0,-12.0,30.0,-14.0,24.0,-14.0,26.0,13.0,-13.0,22.0,13.0,18.0,-20.0,8.0,-13.0,4.0,-10.0,-17.0,-1.0,-5.0,8.0,-1.0,13.0,10.0,1.0,16.0,10.0,4.0,16.0,3.0,8.0,8.0,17.0,16.0,19.0,13.0,15.0,3.0,22.0,15.0,9.0,17.0,25.0,12.0,21.0,18.0,10.0,21.0,4.0,9.0,21.0,6.0,16.0,6.0,-5.0,9.0,2947.34
-5.0,15.0,-11.0,0.0,-18.0,1.0,1.0,-7.0,2.0,-14.0,-6.0,-10.0,-11.0,3.0,-13.0,-2.0,-28.0,-23.0,-5.0,-25.0,6.0,-23.0,-14.0,-21.0,-9.0,-9.0,-20.0,-11.0,-6.0,-10.0,-15.0,-11.0,-8.0,-9.0,-8.0,-9.0,-13.0,-8.0,-12.0,-8.0,-5.0,-2.0,-9.0,-1.0,5.0,-13.0,-3.0,-11.0,-18.0,-15.0,9.0,-14.0,15.0,-17.0,-13.0,11.0,-18.0,16.0,16.0,-14.0,-12.0,15.0,-10.0,-9.0,20.0,-5.0,20.0,20.0,-2.0,15.0,-12.0,13.0,14.0,-12.0,2947.35
120.0,7.0,3.0,12.0,-8.0,2.0,13.0,-2.0,17.0,-18.0,21.0,15.0,-7.0,24.0,-12.0,25.0,-13.0,-7.0,21.0,-9.0,25.0,-8.0,24.0,-7.0,16.0,19.0,-17.0,19.0,24.0,26.0,-16.0,10.0,-13.0,5.0,-16.0,-8.0,-2.0,-15.0,-8.0,-19.0,-1.0,3.0,-4.0,9.0,12.0,-8.0,8.0,-6.0,-1.0,-7.0,14.0,2.0,16.0,7.0,7.0,19.0,7.0,30.0,30.0,20.0,8.0,25.0,17.0,14.0,22.0,1.0,22.0,4.0,12.0,19.0,13.0,12.0,8.0,1.0,2947.35
98.0,6.0,-12.0,-4.0,-10.0,1.0,-8.0,-19.0,-8.0,-18.0,-10.0,-8.0,-19.0,-12.0,-18.0,-14.0,-16.0,-22.0,-16.0,-24.0,-11.0,-20.0,-17.0,-25.0,-15.0,-13.0,-21.0,-27.0,-23.0,-16.0,-8.0,-13.0,-10.0,-10.0,-5.0,-1.0,-11.0,-10.0,-9.0,-11.0,-9.0,-2.0,-10.0,-4.0,-2.0,-23.0,2.0,-16.0,-19.0,-12.0,6.0,-22.0,-1.0,-21.0,-22.0,14.0,-26.0,11.0,5.0,-17.0,-21.0,12.0,-22.0,-15.0,18.0,-11.0,11.0,17.0,-11.0,17.0,-15.0,10.0,10.0,-6.0,2947.36
-6.0,15.0,8.0,2.0,3.0,-1.0,-2.0,10.0,8.0,15.0,-1.0,9.0,13.0,10.0,13.0,12.0,21.0,17.0,10.0,12.0,12.0,20.0,17.0,15.0,15.0,17.0,16.0,17.0,14.0,17.0,8.0,18.0,2.0,11.0,-6.0,-3.0,8.0,-3.0,6.0,2.0,9.0,12.0,11.0,4.0,8.0,7.0,8.0,11.0,13.0,17.0,7.0,10.0,2.0,23.0,21.0,-3.0,26.0,3.0,-3.0,23.0,27.0,-8.0,20.0,21.0,-15.0,12.0,-18.0,-14.0,18.0,-10.0,14.0,-12.0,3.0,15.0,2947.4
98.0,6.0,-13.0,6.0,-17.0,6.0,-5.0,-11.0,9.0,-12.0,-3.0,-1.0,-27.0,6.0,-18.0,4.0,-26.0,-24.0,5.0,-21.0,5.0,-20.0,-12.0,-30.0,3.0,0.0,-26.0,-1.0,-9.0,-9.0,-15.0,-7.0,-4.0,-7.0,-5.0,4.0,-13.0,-9.0,4.0,-15.0,1.0,4.0,-13.0,4.0,8.0,-20.0,16.0,-12.0,-14.0,-6.0,14.0,-14.0,17.0,-3.0,-8.0,11.0,2.0,23.0,17.0,11.0,1.0,32.0,3.0,3.0,19.0,10.0,21.0,22.0,11.0,13.0,-4.0,9.0,19.0,6.0,2947.42
