subcarrier_0,subcarrier_4,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_53,subcarrier_76,subcarrier_79,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_98,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_110,subcarrier_113,subcarrier_115,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_125,subcarrier_127,timestamp
98.0,11.0,6.0,-9.0,12.0,-7.0,8.0,-8.0,15.0,-5.0,14.0,-5.0,19.0,-2.0,20.0,-10.0,20.0,14.0,2.0,18.0,14.0,9.0,18.0,2.0,20.0,-1.0,11.0,13.0,4.0,14.0,4.0,10.0,15.0,0.0,20.0,5.0,17.0,7.0,17.0,13.0,17.0,2.0,7.0,15.0,4.0,7.0,17.0,-1.0,11.0,-10.0,-9.0,15.0,-14.0,6.0,-15.0,14.0,4.0,-20.0,8.0,-24.0,13.0,-20.0,4.0,3.0,-18.0,-22.0,-20.0,5.0,11.0,-19.0,-18.0,-18.0,3345.39
98.0,9.0,8.0,16.0,3.0,14.0,6.0,19.0,3.0,19.0,5.0,16.0,3.0,17.0,1.0,23.0,7.0,3.0,17.0,-1.0,3.0,12.0,1.0,12.0,-5.0,14.0,-8.0,19.0,-11.0,13.0,-9.0,10.0,16.0,-13.0,9.0,-11.0,12.0,-17.0,14.0,4.0,-17.0,7.0,3.0,-11.0,9.0,7.0,-14.0,14.0,-6.0,14.0,12.0,-3.0,16.0,-5.0,19.0,0.0,8.0,12.0,7.0,16.0,11.0,14.0,12.0,17.0,15.0,8.0,5.0,16.0,21.0,9.0,13.0,11.0,3345.4
-85.0,21.0,8.0,-15.0,14.0,-11.0,15.0,-6.0,21.0,-3.0,14.0,-6.0,13.0,-6.0,24.0,-5.0,8.0,9.0,-5.0,24.0,14.0,-4.0,13.0,-8.0,23.0,-7.0,17.0,9.0,14.0,2.0,8.0,6.0,5.0,17.0,7.0,21.0,10.0,18.0,13.0,14.0,-1.0,8.0,9.0,3.0,5.0,4.0,22.0,7.0,16.0,5.0,3.0,25.0,1.0,26.0,10.0,19.0,23.0,-15.0,26.0,-7.0,15.0,-11.0,13.0,18.0,-20.0,-22.0,-15.0,12.0,8.0,-10.0,-11.0,-12.0,3345.4
-65.0,-10.0,-18.0,-9.0,-8.0,-16.0,-16.0,-9.0,-19.0,-11.0,-11.0,-17.0,-19.0,-15.0,-7.0,-11.0,-19.0,-13.0,-12.0,-21.0,-14.0,-18.0,-10.0,-22.0,-12.0,-17.0,-9.0,-29.0,6.0,-19.0,0.0,-29.0,-23.0,10.0,-29.0,8.0,-11.0,4.0,-14.0,-17.0,8.0,-14.0,-18.0,7.0,-14.0,-21.0,-1.0,-22.0,-1.0,-17.0,-25.0,-14.0,-12.0,-14.0,-18.0,-12.0,-20.0,-14.0,-21.0,-12.0,-29.0,-4.0,-24.0,-27.0,-2.0,-5.0,4.0,-17.0,-25.0,5.0,-4.0,-5.0,3345.41
-27.0,-10.0,-16.0,7.0,-9.0,9.0,-19.0,4.0,-7.0,12.0,-20.0,13.0,-12.0,13.0,-21.0,20.0,-7.0,-16.0,8.0,-12.0,-20.0,16.0,-3.0,23.0,-22.0,21.0,-3.0,23.0,-2.0,16.0,-10.0,24.0,11.0,0.0,28.0,-9.0,11.0,12.0,20.0,13.0,19.0,8.0,3.0,14.0,13.0,3.0,21.0,14.0,14.0,13.0,11.0,18.0,21.0,24.0,8.0,32.0,18.0,10.0,19.0,15.0,30.0,-2.0,26.0,30.0,-5.0,-12.0,-2.0,13.0,7.0,-1.0,-3.0,-5.0,3345.42
-7.0,11.0,-23.0,-43.0,9.0,-42.0,40.0,-32.0,23.0,-30.0,24.0,-44.0,14.0,-40.0,18.0,-32.0,27.0,41.0,-32.0,30.0,39.0,-37.0,25.0,-74.0,34.0,-43.0,37.0,-36.0,36.0,-42.0,25.0,-42.0,-42.0,20.0,-38.0,19.0,-36.0,19.0,-34.0,-31.0,23.0,27.0,32.0,12.0,45.0,42.0,9.0,48.0,12.0,58.0,56.0,0.0,66.0,-3.0,69.0,-9.0,-4.0,65.0,-5.0,75.0,-6.0,64.0,6.0,-1.0,50.0,37.0,41.0,26.0,8.0,33.0,7.0,0.0,3345.43
116.0,-16.0,-29.0,9.0,-20.0,51.0,-5.0,32.0,-15.0,28.0,-65.0,31.0,-25.0,34.0,-33.0,10.0,-43.0,-40.0,29.0,-47.0,-54.0,27.0,-55.0,37.0,-42.0,32.0,-56.0,32.0,-55.0,23.0,-40.0,28.0,14.0,-31.0,18.0,-42.0,35.0,-20.0,22.0,23.0,-24.0,-27.0,-34.0,-6.0,-44.0,-42.0,-9.0,-52.0,-2.0,-61.0,-68.0,8.0,-73.0,1.0,-65.0,14.0,11.0,-69.0,19.0,-60.0,10.0,-61.0,-1.0,13.0,-35.0,-45.0,-50.0,5.0,-22.0,-25.0,-1.0,-27.0,3345.43
-120.0,3.0,8.0,-33.0,-12.0,-25.0,-19.0,-32.0,34.0,-19.0,-6.0,-29.0,-17.0,-36.0,28.0,-39.0,-4.0,23.0,-50.0,10.0,6.0,-64.0,15.0,-51.0,14.0,-54.0,14.0,-52.0,11.0,-39.0,6.0,-53.0,-54.0,7.0,-41.0,1.0,-36.0,6.0,-38.0,-23.0,29.0,25.0,26.0,25.0,36.0,41.0,16.0,40.0,24.0,55.0,53.0,16.0,66.0,16.0,61.0,16.0,19.0,63.0,16.0,61.0,28.0,61.0,21.0,29.0,29.0,23.0,22.0,9.0,31.0,15.0,-3.0,3.0,3345.44
94.0,-24.0,-17.0,8.0,-2.0,26.0,-31.0,24.0,-44.0,51.0,-22.0,29.0,-37.0,33.0,-32.0,52.0,-36.0,-19.0,43.0,-39.0,-44.0,35.0,-35.0,49.0,-39.0,45.0,-38.0,45.0,-27.0,36.0,-38.0,38.0,30.0,-17.0,29.0,-27.0,30.0,-17.0,21.0,21.0,-38.0,-22.0,-29.0,-34.0,-34.0,-35.0,-27.0,-39.0,-28.0,-53.0,-58.0,-19.0,-60.0,-20.0,-61.0,-24.0,-15.0,-70.0,-21.0,-70.0,-1.0,-61.0,-17.0,-6.0,-46.0,-53.0,-39.0,-26.0,-16.0,-30.0,-20.0,6.0,3345.44
94.0,15.0,12.0,49.0,6.0,57.0,-1.0,35.0,18.0,38.0,-4.0,51.0,-16.0,47.0,-2.0,35.0,-8.0,4.0,56.0,-7.0,0.0,49.0,2.0,61.0,-2.0,61.0,-12.0,46.0,-5.0,38.0,-7.0,45.0,44.0,-4.0,44.0,4.0,32.0,4.0,25.0,27.0,-28.0,-20.0,-27.0,-32.0,-34.0,-38.0,-23.0,-45.0,-20.0,-51.0,-53.0,-24.0,-52.0,-23.0,-59.0,-21.0,-20.0,-67.0,-20.0,-73.0,-21.0,-54.0,-35.0,-32.0,-29.0,-32.0,-28.0,-13.0,-44.0,-31.0,6.0,15.0,3345.45
94.0,-47.0,-44.0,24.0,-33.0,-20.0,-26.0,24.0,-27.0,43.0,-3.0,35.0,-39.0,15.0,-26.0,29.0,-64.0,-49.0,23.0,-69.0,-49.0,25.0,-69.0,20.0,-58.0,34.0,-52.0,15.0,-53.0,25.0,-48.0,10.0,14.0,-31.0,10.0,-26.0,13.0,-24.0,15.0,17.0,-18.0,-29.0,-47.0,1.0,-43.0,-46.0,13.0,-45.0,17.0,-63.0,-65.0,28.0,-49.0,30.0,-58.0,33.0,33.0,-48.0,29.0,-58.0,26.0,-59.0,32.0,16.0,-59.0,-46.0,-34.0,26.0,-15.0,-40.0,-3.0,-18.0,3345.46
25.0,10.0,8.0,15.0,1.0,16.0,-1.0,16.0,0.0,15.0,1.0,20.0,9.0,24.0,-1.0,13.0,2.0,-5.0,23.0,-5.0,-4.0,18.0,-11.0,16.0,-8.0,19.0,-9.0,19.0,-12.0,15.0,-20.0,14.0,11.0,-21.0,10.0,-16.0,11.0,-22.0,13.0,4.0,-19.0,6.0,1.0,-13.0,3.0,9.0,-9.0,11.0,-8.0,18.0,17.0,-8.0,16.0,-9.0,17.0,3.0,2.0,22.0,7.0,21.0,11.0,15.0,12.0,12.0,15.0,10.0,13.0,19.0,11.0,15.0,13.0,15.0,3345.48
5.0,-23.0,-15.0,5.0,-16.0,-3.0,-16.0,-9.0,-11.0,-3.0,-15.0,-9.0,-25.0,-12.0,-20.0,-17.0,-20.0,-22.0,-6.0,-21.0,-19.0,-9.0,-14.0,-11.0,-13.0,-18.0,-11.0,-14.0,-7.0,-22.0,0.0,-12.0,-22.0,-5.0,-21.0,4.0,-23.0,-1.0,-22.0,-23.0,0.0,-15.0,-12.0,-10.0,-14.0,-13.0,-16.0,-13.0,-10.0,-11.0,-11.0,-19.0,-14.0,-19.0,-12.0,-20.0,-20.0,4.0,-26.0,0.0,-27.0,8.0,-25.0,-25.0,12.0,22.0,9.0,-22.0,-18.0,4.0,11.0,5.0,3345.49
98.0,4.0,2.0,-22.0,5.0,-18.0,6.0,-24.0,6.0,-20.0,7.0,-17.0,12.0,-19.0,18.0,-15.0,10.0,10.0,-21.0,10.0,12.0,-13.0,14.0,-10.0,11.0,-13.0,21.0,-7.0,20.0,-6.0,15.0,-2.0,5.0,22.0,5.0,22.0,2.0,23.0,7.0,8.0,7.0,5.0,3.0,14.0,3.0,-8.0,12.0,-8.0,17.0,-12.0,-15.0,12.0,-5.0,13.0,-16.0,10.0,1.0,-25.0,12.0,-20.0,0.0,-24.0,-4.0,-7.0,-20.0,-18.0,-27.0,-13.0,-13.0,-25.0,-14.0,-23.0,3345.49
108.0,-23.0,-22.0,2.0,-19.0,-2.0,-22.0,4.0,-15.0,-9.0,-21.0,-6.0,-20.0,-3.0,-25.0,-2.0,-21.0,-28.0,-8.0,-20.0,-21.0,-5.0,-27.0,-12.0,-19.0,-14.0,-17.0,-25.0,-14.0,-18.0,-8.0,-22.0,-18.0,-3.0,-22.0,-6.0,-30.0,-3.0,-23.0,-21.0,-1.0,-13.0,-17.0,-2.0,-16.0,-10.0,-5.0,-14.0,-16.0,-10.0,-8.0,-21.0,-6.0,-24.0,-4.0,-18.0,-24.0,3.0,-26.0,2.0,-22.0,7.0,-15.0,-29.0,16.0,16.0,13.0,-19.0,-14.0,12.0,-1.0,3.0,3345.5
-85.0,16.0,6.0,-21.0,13.0,-8.0,15.0,-10.0,17.0,-10.0,19.0,-8.0,14.0,-14.0,19.0,-13.0,6.0,21.0,-16.0,22.0,16.0,-13.0,26.0,-12.0,13.0,-11.0,25.0,11.0,13.0,-3.0,27.0,7.0,11.0,20.0,11.0,23.0,14.0,20.0,16.0,21.0,3.0,21.0,5.0,16.0,0.0,5.0,15.0,4.0,25.0,4.0,-9.0,7.0,-4.0,17.0,-8.0,17.0,15.0,-21.0,17.0,-24.0,12.0,-25.0,-3.0,9.0,-27.0,-24.0,-26.0,7.0,5.0,-28.0,-14.0,-8.0,3345.5
-65.0,1.0,8.0,-14.0,20.0,-11.0,20.0,3.0,10.0,-1.0,25.0,-10.0,21.0,2.0,16.0,-7.0,17.0,16.0,-17.0,22.0,26.0,-7.0,21.0,7.0,26.0,1.0,23.0,9.0,12.0,12.0,10.0,13.0,24.0,20.0,17.0,19.0,15.0,21.0,20.0,20.0,4.0,5.0,5.0,15.0,6.0,11.0,10.0,7.0,21.0,8.0,3.0,23.0,1.0,16.0,-9.0,19.0,26.0,-13.0,14.0,-19.0,15.0,-22.0,19.0,9.0,-23.0,-23.0,-20.0,3.0,9.0,-19.0,-20.0,-21.0,3345.51
98.0,-9.0,-3.0,-13.0,-4.0,-21.0,0.0,-22.0,-2.0,-16.0,-6.0,-26.0,-10.0,-28.0,-4.0,-32.0,-3.0,0.0,-24.0,5.0,2.0,-23.0,2.0,-22.0,13.0,-18.0,15.0,-20.0,16.0,-16.0,14.0,-12.0,-16.0,22.0,-8.0,25.0,-8.0,22.0,-3.0,-13.0,6.0,-14.0,-13.0,3.0,-19.0,-19.0,-5.0,-13.0,-1.0,-12.0,-17.0,-10.0,-17.0,-12.0,-16.0,-14.0,-14.0,-18.0,-18.0,-10.0,-18.0,-16.0,-22.0,-25.0,-6.0,-12.0,-10.0,-17.0,-21.0,0.0,-1.0,-12.0,3345.52
-108.0,5.0,6.0,-11.0,4.0,-11.0,10.0,-12.0,7.0,-14.0,5.0,-17.0,10.0,-12.0,9.0,-15.0,7.0,13.0,-11.0,11.0,9.0,-10.0,11.0,-9.0,16.0,-7.0,15.0,3.0,19.0,1.0,22.0,-2.0,7.0,18.0,2.0,13.0,7.0,14.0,12.0,5.0,7.0,-3.0,3.0,10.0,4.0,-3.0,15.0,-4.0,11.0,-2.0,-5.0,14.0,-8.0,6.0,-10.0,9.0,2.0,-15.0,2.0,-24.0,-4.0,-17.0,-5.0,-5.0,-25.0,-21.0,-25.0,-7.0,-6.0,-14.0,-15.0,-11.0,3345.52
94.0,-6.0,-10.0,10.0,-8.0,12.0,-11.0,11.0,-16.0,11.0,-11.0,11.0,-11.0,9.0,-17.0,18.0,-17.0,-20.0,12.0,-25.0,-24.0,5.0,-25.0,9.0,-23.0,10.0,-24.0,5.0,-23.0,7.0,-24.0,4.0,6.0,-19.0,5.0,-17.0,4.0,-20.0,7.0,6.0,-3.0,-13.0,-16.0,6.0,-15.0,-16.0,9.0,-20.0,17.0,-23.0,-23.0,16.0,-25.0,19.0,-27.0,19.0,18.0,-27.0,17.0,-29.0,19.0,-30.0,14.0,9.0,-22.0,-17.0,-18.0,0.0,-2.0,-14.0,-9.0,-7.0,3345.53
94.0,-8.0,-12.0,-6.0,-13.0,-9.0,-20.0,-7.0,-17.0,-7.0,-20.0,-8.0,-16.0,-10.0,-16.0,-7.0,-20.0,-22.0,-11.0,-21.0,-20.0,-14.0,-22.0,-17.0,-18.0,-19.0,-12.0,-17.0,-16.0,-21.0,-18.0,-13.0,-20.0,-12.0,-15.0,-12.0,-12.0,-13.0,-10.0,-11.0,9.0,-4.0,-4.0,13.0,-2.0,-2.0,22.0,1.0,27.0,3.0,1.0,28.0,4.0,27.0,4.0,30.0,34.0,3.0,31.0,3.0,32.0,4.0,32.0,24.0,-2.0,-5.0,-4.0,16.0,14.0,-8.0,-9.0,-9.0,3345.53
94.0,2.0,3.0,-13.0,-2.0,-16.0,-2.0,-19.0,-1.0,-17.0,-3.0,-16.0,1.0,-22.0,5.0,-22.0,6.0,1.0,-24.0,2.0,9.0,-22.0,9.0,-24.0,10.0,-22.0,10.0,-23.0,13.0,-22.0,16.0,-20.0,-14.0,10.0,-17.0,11.0,-16.0,7.0,-16.0,-13.0,9.0,8.0,10.0,5.0,13.0,21.0,8.0,24.0,4.0,28.0,27.0,2.0,32.0,2.0,29.0,5.0,5.0,28.0,12.0,31.0,9.0,27.0,8.0,12.0,18.0,14.0,11.0,9.0,10.0,7.0,6.0,3.0,3345.54
86.0,5.0,11.0,-1.0,16.0,0.0,16.0,-2.0,18.0,-1.0,17.0,-2.0,20.0,2.0,20.0,2.0,21.0,20.0,9.0,21.0,22.0,8.0,23.0,12.0,20.0,9.0,21.0,9.0,18.0,15.0,17.0,12.0,10.0,15.0,10.0,17.0,10.0,14.0,5.0,6.0,-6.0,8.0,8.0,-13.0,8.0,10.0,-21.0,9.0,-22.0,10.0,12.0,-26.0,9.0,-29.0,13.0,-29.0,-31.0,13.0,-32.0,11.0,-28.0,13.0,-33.0,-22.0,12.0,9.0,12.0,-8.0,-9.0,9.0,11.0,5.0,3345.54
-110.0,5.0,2.0,-14.0,3.0,-16.0,1.0,-18.0,3.0,-17.0,4.0,-20.0,1.0,-21.0,5.0,-21.0,8.0,11.0,-17.0,13.0,13.0,-19.0,16.0,-14.0,18.0,-23.0,19.0,-17.0,20.0,-18.0,15.0,-17.0,-16.0,14.0,-18.0,15.0,-15.0,10.0,-16.0,-13.0,8.0,10.0,14.0,3.0,19.0,15.0,-1.0,23.0,-2.0,27.0,26.0,-4.0,29.0,-2.0,29.0,-8.0,-7.0,30.0,-4.0,31.0,-4.0,33.0,0.0,-1.0,27.0,18.0,13.0,8.0,3.0,9.0,3.0,1.0,3345.55
-90.0,0.0,0.0,-18.0,-3.0,-15.0,-2.0,-13.0,-5.0,-14.0,-3.0,-23.0,-5.0,-20.0,-3.0,-22.0,6.0,4.0,-24.0,10.0,9.0,-20.0,7.0,-23.0,9.0,-22.0,7.0,-23.0,7.0,-23.0,12.0,-21.0,-21.0,7.0,-22.0,8.0,-19.0,4.0,-19.0,-13.0,9.0,8.0,10.0,10.0,10.0,9.0,7.0,17.0,10.0,25.0,25.0,4.0,24.0,6.0,30.0,10.0,12.0,26.0,11.0,31.0,12.0,31.0,17.0,12.0,16.0,15.0,13.0,10.0,7.0,5.0,3.0,1.0,3345.55
-128.0,5.0,5.0,-8.0,10.0,-11.0,10.0,-12.0,12.0,-15.0,10.0,-13.0,19.0,-14.0,11.0,-18.0,11.0,15.0,-15.0,18.0,18.0,-14.0,21.0,-16.0,22.0,-13.0,20.0,-12.0,21.0,-12.0,21.0,-13.0,-10.0,18.0,-11.0,18.0,-8.0,13.0,-14.0,-14.0,4.0,11.0,12.0,-5.0,13.0,15.0,-6.0,17.0,-12.0,22.0,20.0,-16.0,22.0,-17.0,26.0,-14.0,-17.0,25.0,-15.0,28.0,-13.0,31.0,-16.0,-8.0,23.0,22.0,15.0,0.0,2.0,9.0,6.0,7.0,3345.56
5.0,5.0,10.0,7.0,11.0,9.0,14.0,10.0,16.0,11.0,14.0,12.0,17.0,14.0,12.0,15.0,18.0,13.0,21.0,12.0,11.0,21.0,8.0,21.0,7.0,21.0,9.0,24.0,7.0,25.0,8.0,23.0,21.0,5.0,19.0,7.0,16.0,7.0,15.0,12.0,-10.0,-2.0,-1.0,-15.0,-2.0,-7.0,-15.0,-11.0,-20.0,-12.0,-15.0,-24.0,-15.0,-26.0,-14.0,-27.0,-32.0,-19.0,-27.0,-15.0,-29.0,-13.0,-28.0,-25.0,-4.0,-2.0,-2.0,-16.0,-14.0,1.0,2.0,5.0,3345.57
25.0,-7.0,-7.0,9.0,-10.0,12.0,-10.0,15.0,-9.0,13.0,-10.0,16.0,-12.0,16.0,-14.0,17.0,-12.0,-15.0,17.0,-21.0,-22.0,12.0,-21.0,11.0,-20.0,17.0,-22.0,13.0,-21.0,13.0,-21.0,12.0,12.0,-18.0,10.0,-19.0,11.0,-15.0,11.0,9.0,-5.0,-12.0,-15.0,4.0,-15.0,-17.0,7.0,-20.0,6.0,-22.0,-25.0,14.0,-27.0,11.0,-26.0,8.0,13.0,-29.0,11.0,-32.0,11.0,-27.0,7.0,5.0,-20.0,-23.0,-13.0,-5.0,-2.0,-15.0,-5.0,-5.0,3345.57
94.0,5.0,0.0,-4.0,0.0,-15.0,1.0,-19.0,3.0,-13.0,0.0,-17.0,4.0,-19.0,5.0,-22.0,2.0,10.0,-22.0,4.0,3.0,-21.0,-1.0,-23.0,4.0,-25.0,12.0,-17.0,16.0,-23.0,7.0,-22.0,-15.0,7.0,-18.0,-6.0,-13.0,-2.0,-20.0,-23.0,7.0,13.0,11.0,2.0,15.0,15.0,-1.0,17.0,-5.0,25.0,22.0,-4.0,20.0,-8.0,19.0,-7.0,-1.0,29.0,-3.0,25.0,0.0,29.0,2.0,-1.0,16.0,15.0,10.0,1.0,7.0,8.0,9.0,-1.0,3345.58
94.0,-5.0,-1.0,12.0,10.0,9.0,10.0,13.0,6.0,11.0,1.0,19.0,11.0,19.0,5.0,12.0,15.0,10.0,13.0,8.0,4.0,17.0,5.0,21.0,1.0,17.0,1.0,19.0,0.0,17.0,-2.0,14.0,15.0,0.0,13.0,0.0,13.0,-1.0,11.0,12.0,-4.0,2.0,-2.0,-8.0,-3.0,-4.0,-12.0,-6.0,-13.0,-5.0,-9.0,-18.0,-11.0,-18.0,-11.0,-18.0,-20.0,-16.0,-24.0,-11.0,-23.0,-13.0,-25.0,-20.0,0.0,-4.0,-3.0,-13.0,-19.0,2.0,8.0,4.0,3345.62
94.0,1.0,-1.0,8.0,24.0,8.0,6.0,28.0,18.0,25.0,34.0,45.0,16.0,44.0,16.0,36.0,10.0,22.0,42.0,12.0,20.0,57.0,-3.0,45.0,-2.0,54.0,-1.0,51.0,-5.0,49.0,2.0,36.0,44.0,-3.0,37.0,-1.0,37.0,-2.0,27.0,25.0,-11.0,2.0,-6.0,-20.0,-12.0,-17.0,-33.0,-15.0,-30.0,-23.0,-30.0,-41.0,-41.0,-50.0,-36.0,-37.0,-55.0,-38.0,-51.0,-38.0,-62.0,-39.0,-55.0,-45.0,-31.0,-18.0,-15.0,-36.0,-57.0,-11.0,13.0,11.0,3345.63
-99.0,-36.0,-27.0,12.0,-14.0,14.0,-29.0,8.0,-25.0,3.0,-43.0,26.0,-5.0,39.0,-13.0,35.0,-39.0,-20.0,20.0,-56.0,-45.0,7.0,-58.0,12.0,-53.0,8.0,-49.0,3.0,-47.0,-10.0,-42.0,-5.0,-2.0,-49.0,-10.0,-41.0,-1.0,-29.0,-2.0,-1.0,-16.0,-11.0,-12.0,-5.0,-25.0,-27.0,-1.0,-41.0,4.0,-39.0,-43.0,10.0,-52.0,1.0,-58.0,8.0,10.0,-64.0,8.0,-72.0,7.0,-57.0,6.0,8.0,-55.0,-64.0,-59.0,-23.0,18.0,-38.0,-33.0,-24.0,3345.63
-128.0,4.0,26.0,30.0,9.0,15.0,37.0,45.0,14.0,51.0,40.0,46.0,31.0,16.0,27.0,23.0,26.0,36.0,51.0,15.0,10.0,38.0,1.0,62.0,-6.0,45.0,-8.0,47.0,-23.0,42.0,-8.0,38.0,39.0,-14.0,40.0,-11.0,28.0,-16.0,32.0,34.0,2.0,24.0,12.0,-23.0,14.0,8.0,-36.0,7.0,-45.0,14.0,5.0,-56.0,2.0,-53.0,-4.0,-71.0,-68.0,-2.0,-64.0,0.0,-72.0,-11.0,-72.0,-49.0,10.0,0.0,10.0,-40.0,-55.0,-1.0,23.0,14.0,3345.64
-79.0,-22.0,0.0,29.0,-17.0,14.0,-21.0,53.0,-13.0,33.0,-38.0,38.0,-40.0,12.0,-58.0,31.0,-37.0,-40.0,17.0,-58.0,-48.0,8.0,-52.0,2.0,-50.0,6.0,-42.0,-13.0,-44.0,-10.0,-48.0,-3.0,-13.0,-35.0,-11.0,-28.0,-8.0,-26.0,-6.0,-3.0,-15.0,-4.0,-14.0,-14.0,-19.0,-27.0,0.0,-34.0,-1.0,-42.0,-44.0,2.0,-50.0,5.0,-61.0,1.0,6.0,-68.0,17.0,-77.0,3.0,-70.0,12.0,-11.0,-47.0,-61.0,-58.0,1.0,-17.0,-32.0,-22.0,-8.0,3345.65
94.0,10.0,20.0,-28.0,-16.0,-27.0,25.0,-30.0,6.0,-49.0,9.0,-36.0,19.0,-19.0,33.0,-34.0,18.0,0.0,-22.0,46.0,29.0,-20.0,45.0,-24.0,57.0,-14.0,44.0,-10.0,44.0,1.0,37.0,-10.0,-1.0,35.0,4.0,38.0,-6.0,33.0,-14.0,-13.0,11.0,7.0,3.0,13.0,15.0,24.0,4.0,27.0,10.0,35.0,43.0,5.0,50.0,2.0,54.0,-5.0,6.0,70.0,8.0,69.0,-1.0,84.0,8.0,23.0,61.0,54.0,44.0,16.0,12.0,6.0,19.0,4.0,3345.65
86.0,1.0,38.0,35.0,51.0,18.0,35.0,4.0,32.0,29.0,46.0,-5.0,33.0,25.0,40.0,0.0,32.0,23.0,16.0,46.0,29.0,26.0,53.0,43.0,37.0,31.0,31.0,43.0,24.0,43.0,18.0,35.0,34.0,24.0,36.0,16.0,19.0,19.0,23.0,19.0,11.0,13.0,18.0,-7.0,20.0,22.0,-28.0,19.0,-38.0,23.0,26.0,-42.0,25.0,-50.0,35.0,-52.0,-51.0,33.0,-57.0,43.0,-59.0,28.0,-54.0,-63.0,48.0,12.0,31.0,-27.0,-45.0,14.0,18.0,13.0,3345.66
-93.0,-15.0,-10.0,2.0,-12.0,-6.0,-13.0,-4.0,-14.0,0.0,-27.0,-2.0,-19.0,0.0,-16.0,2.0,-22.0,-24.0,3.0,-18.0,-20.0,-1.0,-23.0,-6.0,-18.0,-7.0,-21.0,-11.0,-15.0,-10.0,-14.0,-14.0,-16.0,-13.0,-17.0,-9.0,-21.0,-3.0,-18.0,-15.0,4.0,-10.0,-14.0,2.0,-12.0,-15.0,-7.0,-15.0,-6.0,-18.0,-13.0,-6.0,-12.0,-14.0,-17.0,-17.0,-17.0,-9.0,-15.0,-4.0,-14.0,-4.0,-17.0,-17.0,10.0,11.0,7.0,-10.0,-21.0,10.0,5.0,4.0,3345.66
98.0,8.0,10.0,-11.0,9.0,-13.0,16.0,-13.0,9.0,-20.0,13.0,-17.0,10.0,-11.0,19.0,-15.0,18.0,20.0,-13.0,17.0,20.0,-12.0,15.0,-9.0,27.0,-1.0,27.0,-2.0,22.0,3.0,19.0,6.0,18.0,19.0,13.0,16.0,16.0,11.0,12.0,8.0,10.0,-1.0,0.0,15.0,2.0,-11.0,19.0,-11.0,20.0,-16.0,-11.0,7.0,-10.0,19.0,-16.0,15.0,12.0,-18.0,1.0,-16.0,-2.0,-16.0,-10.0,-5.0,-23.0,-22.0,-18.0,-7.0,-10.0,-22.0,-18.0,-23.0,3345.67
-34.0,-22.0,-15.0,-12.0,-9.0,-21.0,-19.0,-19.0,-13.0,-17.0,-5.0,-15.0,-7.0,-21.0,-18.0,-24.0,-9.0,-8.0,-21.0,-10.0,-6.0,-25.0,-8.0,-21.0,-3.0,-26.0,-2.0,-19.0,-2.0,-20.0,7.0,-21.0,-21.0,12.0,-21.0,12.0,-14.0,12.0,-19.0,-16.0,11.0,-5.0,-7.0,14.0,-11.0,-14.0,4.0,-11.0,11.0,-21.0,-17.0,3.0,-27.0,-1.0,-20.0,-12.0,-12.0,-13.0,-17.0,-17.0,-16.0,-17.0,-8.0,-25.0,-6.0,-11.0,-11.0,-22.0,-12.0,-7.0,-15.0,-13.0,3345.67
-14.0,-2.0,-8.0,17.0,-1.0,11.0,-12.0,1.0,-19.0,11.0,-16.0,4.0,-7.0,15.0,-18.0,10.0,-11.0,-13.0,7.0,-18.0,-18.0,7.0,-18.0,4.0,-16.0,-3.0,-16.0,-7.0,-15.0,-10.0,-11.0,-11.0,-7.0,-7.0,-16.0,-15.0,-13.0,-7.0,-17.0,-6.0,-19.0,1.0,-4.0,-8.0,0.0,3.0,-16.0,6.0,-14.0,9.0,9.0,-10.0,14.0,-7.0,21.0,-8.0,-9.0,14.0,-13.0,21.0,5.0,21.0,3.0,9.0,9.0,19.0,25.0,-2.0,13.0,22.0,20.0,15.0,3345.68
