subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_86,subcarrier_87,subcarrier_89,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
69.0,81.0,20.0,-11.0,-17.0,-12.0,13.0,-17.0,44.0,5.0,14.0,-9.0,40.0,-1.0,38.0,-3.0,42.0,-1.0,-8.0,51.0,-22.0,45.0,-6.0,48.0,-12.0,45.0,46.0,-27.0,53.0,-28.0,-24.0,35.0,-33.0,33.0,22.0,-28.0,19.0,-35.0,17.0,-22.0,-24.0,7.0,-27.0,3.0,-20.0,7.0,-24.0,3.0,-3.0,-12.0,-5.0,-16.0,-5.0,-31.0,-9.0,-31.0,-20.0,-13.0,-15.0,-52.0,-29.0,-59.0,-57.0,-43.0,-58.0,-38.0,-50.0,-31.0,-58.0,-37.0,-60.0,-39.0,-70.0,-33.0,-60.0,-18.0,-53.0,-28.0,-52.0,-55.0,-7.0,-36.0,-22.0,-50.0,-18.0,-45.0,-10.0,-42.0,-14.0,-26.0,-22.0,-38.0,27.0,3289.44
126.0,-32.0,7.0,-28.0,-32.0,-12.0,-28.0,-39.0,-16.0,-19.0,-41.0,-38.0,-54.0,-7.0,-7.0,-23.0,-37.0,-29.0,-18.0,-37.0,-34.0,-28.0,-35.0,-29.0,-17.0,-42.0,-38.0,-13.0,-44.0,-17.0,-7.0,-40.0,-1.0,-44.0,-31.0,13.0,-37.0,8.0,-37.0,6.0,12.0,-26.0,13.0,-27.0,18.0,-25.0,12.0,-22.0,6.0,9.0,-11.0,24.0,-11.0,20.0,-14.0,30.0,-24.0,-24.0,-27.0,44.0,-35.0,52.0,54.0,-30.0,62.0,-36.0,59.0,-34.0,54.0,-34.0,53.0,-44.0,64.0,-34.0,42.0,-37.0,36.0,-44.0,48.0,48.0,-56.0,42.0,-14.0,32.0,-24.0,34.0,-36.0,28.0,-43.0,14.0,-18.0,-1.0,-23.0,3289.45
94.0,-32.0,5.0,-13.0,4.0,-12.0,5.0,-13.0,11.0,-12.0,14.0,-15.0,17.0,-13.0,16.0,-12.0,19.0,-16.0,-12.0,22.0,-13.0,21.0,-14.0,19.0,-18.0,21.0,16.0,-17.0,16.0,-25.0,-18.0,5.0,-23.0,10.0,3.0,-21.0,-2.0,-19.0,-3.0,-16.0,-17.0,-3.0,-15.0,-4.0,-16.0,-1.0,-13.0,-2.0,0.0,-1.0,-10.0,-3.0,-13.0,-4.0,-16.0,-7.0,-19.0,-23.0,-29.0,-13.0,-31.0,-9.0,-16.0,-30.0,-12.0,-32.0,-19.0,-34.0,-14.0,-31.0,-9.0,-33.0,-16.0,-33.0,-17.0,-33.0,-14.0,-27.0,-18.0,-16.0,-22.0,-14.0,-20.0,-15.0,-16.0,-18.0,-14.0,-16.0,-14.0,-20.0,-5.0,-14.0,-9.0,3289.45
-39.0,-112.0,13.0,-19.0,-3.0,-7.0,-4.0,-17.0,-4.0,-14.0,-5.0,-17.0,-9.0,-10.0,-10.0,-18.0,-9.0,-21.0,-17.0,-19.0,-13.0,-14.0,-22.0,-11.0,-20.0,-11.0,-12.0,-17.0,-11.0,-9.0,-12.0,-24.0,-8.0,-14.0,-16.0,-3.0,-19.0,3.0,-21.0,8.0,14.0,-21.0,8.0,-18.0,11.0,-18.0,17.0,-19.0,-1.0,-7.0,-15.0,-5.0,-17.0,-10.0,-19.0,-9.0,-16.0,-16.0,-13.0,-13.0,-11.0,-10.0,-14.0,-9.0,-20.0,-7.0,-29.0,-12.0,-17.0,4.0,-28.0,6.0,-24.0,8.0,-22.0,5.0,-30.0,7.0,-21.0,-25.0,9.0,-22.0,5.0,-27.0,10.0,-16.0,8.0,-14.0,4.0,-26.0,1.0,-17.0,2.0,3289.46
-51.0,-48.0,12.0,-12.0,8.0,-19.0,10.0,-15.0,8.0,-16.0,3.0,-18.0,8.0,-12.0,7.0,-19.0,7.0,-17.0,-9.0,-1.0,-22.0,-4.0,-17.0,1.0,-19.0,-8.0,2.0,-13.0,-8.0,-14.0,-12.0,-8.0,-16.0,-9.0,-14.0,-17.0,-19.0,-11.0,-16.0,-10.0,-1.0,-23.0,-7.0,-21.0,0.0,-19.0,-4.0,-13.0,-12.0,-10.0,-4.0,-17.0,1.0,-16.0,-2.0,-16.0,4.0,8.0,-2.0,-16.0,8.0,-8.0,-14.0,19.0,-11.0,17.0,-5.0,23.0,-4.0,19.0,-4.0,18.0,-11.0,20.0,-1.0,23.0,-9.0,25.0,-6.0,-8.0,22.0,4.0,19.0,-8.0,25.0,6.0,23.0,-7.0,19.0,-3.0,16.0,-7.0,13.0,3289.47
-51.0,-48.0,12.0,13.0,7.0,17.0,4.0,14.0,6.0,9.0,7.0,8.0,10.0,10.0,10.0,19.0,13.0,18.0,14.0,6.0,16.0,16.0,19.0,9.0,13.0,13.0,11.0,21.0,20.0,10.0,7.0,12.0,4.0,24.0,19.0,5.0,24.0,1.0,15.0,-3.0,-5.0,24.0,-9.0,20.0,-8.0,20.0,-13.0,16.0,-4.0,-2.0,17.0,-4.0,11.0,3.0,13.0,4.0,19.0,17.0,12.0,10.0,17.0,19.0,19.0,8.0,25.0,14.0,15.0,1.0,22.0,5.0,20.0,1.0,28.0,0.0,22.0,2.0,17.0,-3.0,24.0,29.0,-13.0,26.0,-2.0,23.0,-4.0,21.0,1.0,25.0,-10.0,18.0,-1.0,26.0,0.0,3289.47
-50.0,-32.0,12.0,18.0,-1.0,9.0,9.0,8.0,13.0,9.0,12.0,6.0,14.0,12.0,17.0,12.0,10.0,-2.0,6.0,16.0,1.0,18.0,4.0,22.0,2.0,20.0,19.0,-6.0,17.0,-4.0,-3.0,22.0,-2.0,21.0,15.0,-17.0,10.0,-15.0,14.0,-17.0,-22.0,14.0,-23.0,11.0,-16.0,5.0,-22.0,7.0,-10.0,-4.0,14.0,3.0,21.0,-2.0,21.0,6.0,15.0,10.0,20.0,13.0,15.0,18.0,15.0,17.0,19.0,6.0,21.0,8.0,22.0,5.0,20.0,6.0,27.0,2.0,28.0,8.0,24.0,1.0,28.0,22.0,0.0,25.0,6.0,24.0,-1.0,21.0,6.0,29.0,4.0,17.0,3.0,14.0,4.0,3289.48
-30.0,32.0,14.0,-10.0,-12.0,2.0,-19.0,-1.0,-16.0,2.0,-19.0,5.0,-11.0,8.0,-24.0,-6.0,-21.0,3.0,11.0,-14.0,10.0,-19.0,9.0,-21.0,1.0,-22.0,-5.0,16.0,-19.0,12.0,18.0,-13.0,15.0,-5.0,-5.0,16.0,-5.0,17.0,-7.0,24.0,21.0,5.0,26.0,3.0,17.0,6.0,17.0,2.0,11.0,13.0,-13.0,9.0,-12.0,11.0,-12.0,-3.0,-21.0,-19.0,-21.0,5.0,-18.0,1.0,-2.0,-26.0,-3.0,-28.0,0.0,-17.0,-6.0,-16.0,-13.0,-24.0,-9.0,-13.0,-17.0,-20.0,-9.0,-13.0,-18.0,-22.0,-13.0,-24.0,-18.0,-19.0,-21.0,-11.0,-13.0,-3.0,-18.0,-19.0,-16.0,-18.0,-11.0,3289.48
90.0,-96.0,5.0,-8.0,0.0,-14.0,-2.0,-16.0,-3.0,-24.0,0.0,-19.0,-2.0,-28.0,-3.0,-15.0,-5.0,-17.0,-22.0,-3.0,-18.0,-11.0,-12.0,-16.0,-21.0,-9.0,-13.0,-9.0,-13.0,-15.0,-13.0,-11.0,-18.0,-19.0,-17.0,-10.0,-15.0,0.0,-21.0,-5.0,-5.0,-22.0,3.0,-20.0,3.0,-21.0,5.0,-22.0,0.0,-2.0,-12.0,-7.0,-14.0,-4.0,-12.0,-12.0,-5.0,-16.0,-12.0,-18.0,-8.0,-21.0,-21.0,-8.0,-17.0,0.0,-22.0,4.0,-18.0,-1.0,-18.0,3.0,-26.0,5.0,-24.0,9.0,-30.0,5.0,-23.0,-28.0,20.0,-20.0,4.0,-17.0,14.0,-14.0,11.0,-22.0,0.0,-18.0,7.0,-21.0,8.0,3289.49
9.0,-107.0,80.0,-1.0,-7.0,-8.0,-12.0,-2.0,-14.0,-7.0,-25.0,0.0,-18.0,0.0,-16.0,-6.0,-13.0,-9.0,-4.0,-23.0,-7.0,-23.0,0.0,-8.0,-1.0,-18.0,-20.0,1.0,-22.0,4.0,9.0,-27.0,10.0,-23.0,-14.0,13.0,-17.0,16.0,-10.0,19.0,11.0,-10.0,19.0,-14.0,18.0,-14.0,17.0,-15.0,16.0,9.0,-1.0,13.0,-11.0,9.0,-10.0,13.0,-18.0,-16.0,-18.0,8.0,-8.0,0.0,1.0,-12.0,-9.0,-19.0,-9.0,-20.0,-9.0,-20.0,-13.0,-30.0,-7.0,-21.0,-17.0,-23.0,-9.0,-27.0,-19.0,-13.0,-13.0,-19.0,-12.0,-23.0,-13.0,-29.0,-17.0,-22.0,-14.0,-7.0,-9.0,-14.0,-20.0,3289.49
