subcarrier_1,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_16,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_50,subcarrier_52,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-32.0,-18.0,19.0,-17.0,18.0,-17.0,-17.0,18.0,-16.0,18.0,-15.0,-15.0,-15.0,18.0,-14.0,18.0,-14.0,19.0,-14.0,19.0,19.0,-14.0,19.0,18.0,-13.0,18.0,-13.0,19.0,-14.0,18.0,-13.0,17.0,-13.0,17.0,16.0,-12.0,16.0,-12.0,15.0,-12.0,-13.0,-13.0,-11.0,13.0,-12.0,-14.0,13.0,-13.0,13.0,-15.0,14.0,-15.0,14.0,-15.0,14.0,-17.0,15.0,-17.0,14.0,-18.0,14.0,-18.0,-17.0,14.0,-18.0,14.0,-18.0,14.0,-18.0,15.0,14.0,-17.0,15.0,-18.0,-18.0,16.0,-17.0,17.0,-17.0,16.0,-16.0,17.0,-17.0,17.0,-19.0,17.0,-18.0,18.0,2878.65
-64.0,9.0,18.0,6.0,17.0,13.0,0.0,12.0,2.0,16.0,6.0,3.0,-1.0,15.0,8.0,6.0,-1.0,15.0,-5.0,18.0,26.0,6.0,20.0,21.0,-5.0,20.0,1.0,20.0,-11.0,12.0,-6.0,10.0,-7.0,12.0,2.0,-7.0,6.0,-15.0,3.0,-14.0,-12.0,-6.0,5.0,-4.0,3.0,10.0,-1.0,13.0,-9.0,10.0,-2.0,16.0,-3.0,14.0,2.0,18.0,3.0,31.0,9.0,27.0,-5.0,27.0,25.0,-3.0,22.0,0.0,10.0,-2.0,17.0,-3.0,4.0,11.0,-2.0,10.0,12.0,11.0,1.0,12.0,0.0,13.0,6.0,14.0,13.0,17.0,14.0,23.0,18.0,30.0,2879.05
-32.0,-8.0,-29.0,-9.0,-28.0,-8.0,-9.0,-28.0,-10.0,-27.0,-10.0,-10.0,-10.0,-25.0,-11.0,-26.0,-11.0,-26.0,-12.0,-25.0,-25.0,-12.0,-26.0,-25.0,-11.0,-25.0,-11.0,-24.0,-10.0,-25.0,-10.0,-24.0,-9.0,-24.0,-23.0,-9.0,-23.0,-8.0,-22.0,-8.0,-8.0,-7.0,-8.0,-20.0,-8.0,-7.0,-22.0,-7.0,-23.0,-7.0,-24.0,-6.0,-24.0,-7.0,-25.0,-7.0,-26.0,-6.0,-26.0,-6.0,-27.0,-5.0,-5.0,-26.0,-5.0,-27.0,-5.0,-27.0,-5.0,-27.0,-26.0,-6.0,-27.0,-6.0,-6.0,-28.0,-8.0,-27.0,-7.0,-28.0,-8.0,-28.0,-8.0,-28.0,-9.0,-29.0,-8.0,-28.0,2879.27
16.0,19.0,-3.0,15.0,5.0,7.0,15.0,9.0,7.0,12.0,20.0,13.0,15.0,7.0,12.0,15.0,10.0,12.0,19.0,9.0,8.0,19.0,3.0,-6.0,14.0,-9.0,15.0,5.0,16.0,6.0,3.0,5.0,4.0,11.0,7.0,0.0,4.0,1.0,9.0,-1.0,6.0,6.0,-4.0,-9.0,6.0,8.0,-7.0,11.0,-12.0,8.0,-16.0,2.0,-22.0,9.0,-18.0,10.0,-15.0,11.0,-22.0,3.0,-23.0,1.0,4.0,-18.0,4.0,-14.0,6.0,-7.0,12.0,-15.0,-7.0,10.0,-2.0,14.0,3.0,5.0,23.0,1.0,25.0,1.0,17.0,-7.0,20.0,-2.0,20.0,-2.0,16.0,-6.0,2879.35
-32.0,22.0,1.0,21.0,-1.0,20.0,21.0,-1.0,21.0,-1.0,21.0,20.0,20.0,-2.0,20.0,-3.0,19.0,-3.0,20.0,-3.0,-2.0,20.0,-3.0,-3.0,19.0,-2.0,19.0,-2.0,19.0,-2.0,18.0,-2.0,18.0,-2.0,-1.0,16.0,-1.0,17.0,-1.0,16.0,16.0,16.0,15.0,-2.0,16.0,16.0,-1.0,16.0,0.0,17.0,0.0,17.0,0.0,18.0,0.0,19.0,1.0,19.0,1.0,20.0,2.0,20.0,19.0,2.0,19.0,2.0,19.0,2.0,20.0,2.0,2.0,19.0,1.0,20.0,20.0,1.0,20.0,1.0,20.0,1.0,21.0,0.0,21.0,0.0,21.0,0.0,22.0,0.0,2879.75
16.0,18.0,-3.0,20.0,-2.0,23.0,12.0,15.0,14.0,3.0,11.0,7.0,-1.0,28.0,16.0,12.0,18.0,19.0,17.0,18.0,12.0,15.0,13.0,6.0,9.0,3.0,8.0,12.0,4.0,2.0,5.0,8.0,2.0,5.0,1.0,-2.0,3.0,-8.0,1.0,-12.0,-13.0,-6.0,-9.0,-6.0,-1.0,-1.0,-15.0,-4.0,-11.0,10.0,-21.0,3.0,-17.0,1.0,-17.0,2.0,-24.0,0.0,-30.0,-1.0,-30.0,1.0,0.0,-22.0,2.0,-24.0,6.0,-17.0,6.0,-11.0,-4.0,8.0,-2.0,9.0,16.0,-4.0,31.0,2.0,29.0,-4.0,24.0,-8.0,25.0,-1.0,38.0,-9.0,21.0,-10.0,2879.76
-64.0,-8.0,-3.0,-13.0,1.0,-9.0,-18.0,-9.0,-16.0,-13.0,-18.0,-16.0,-20.0,1.0,-7.0,9.0,-16.0,7.0,-18.0,-6.0,4.0,4.0,7.0,-8.0,12.0,-1.0,2.0,1.0,7.0,8.0,12.0,-3.0,11.0,4.0,0.0,14.0,5.0,17.0,2.0,10.0,14.0,15.0,-20.0,6.0,-16.0,-16.0,1.0,-14.0,-3.0,-3.0,-2.0,-6.0,-5.0,-15.0,-13.0,-5.0,-1.0,14.0,0.0,1.0,-2.0,19.0,14.0,2.0,4.0,6.0,15.0,-2.0,13.0,0.0,4.0,19.0,-5.0,14.0,14.0,1.0,16.0,4.0,18.0,-4.0,6.0,-5.0,8.0,-6.0,17.0,0.0,-13.0,-1.0,2879.93
-32.0,-19.0,-18.0,-19.0,-17.0,-19.0,-19.0,-17.0,-20.0,-16.0,-19.0,-18.0,-19.0,-15.0,-19.0,-15.0,-19.0,-15.0,-19.0,-14.0,-15.0,-19.0,-14.0,-14.0,-18.0,-15.0,-19.0,-14.0,-18.0,-15.0,-17.0,-14.0,-17.0,-14.0,-14.0,-15.0,-14.0,-14.0,-14.0,-14.0,-14.0,-13.0,-16.0,-10.0,-16.0,-16.0,-12.0,-16.0,-12.0,-17.0,-13.0,-17.0,-13.0,-18.0,-15.0,-17.0,-15.0,-17.0,-16.0,-16.0,-17.0,-17.0,-17.0,-17.0,-17.0,-18.0,-17.0,-17.0,-17.0,-18.0,-17.0,-17.0,-17.0,-18.0,-18.0,-17.0,-18.0,-17.0,-18.0,-17.0,-19.0,-17.0,-19.0,-18.0,-20.0,-18.0,-20.0,-18.0,2879.94
-64.0,-29.0,13.0,-30.0,6.0,-33.0,-13.0,1.0,-21.0,3.0,-16.0,-26.0,-21.0,1.0,-17.0,2.0,-25.0,-3.0,-26.0,-6.0,-2.0,-31.0,2.0,-3.0,-21.0,-7.0,-20.0,-10.0,-13.0,0.0,-20.0,-12.0,-16.0,-7.0,-11.0,-12.0,-10.0,-14.0,-3.0,-11.0,-11.0,-8.0,0.0,6.0,-8.0,-2.0,14.0,-17.0,10.0,-8.0,11.0,-11.0,23.0,-6.0,16.0,1.0,15.0,-10.0,15.0,-12.0,9.0,-4.0,-17.0,17.0,-19.0,15.0,-7.0,13.0,-11.0,14.0,0.0,-12.0,6.0,-9.0,-17.0,6.0,-21.0,8.0,-17.0,-8.0,-26.0,3.0,-24.0,8.0,-22.0,-3.0,-28.0,-6.0,2879.97
-32.0,6.0,28.0,6.0,27.0,6.0,6.0,27.0,7.0,27.0,7.0,7.0,7.0,26.0,8.0,26.0,8.0,25.0,9.0,25.0,25.0,9.0,25.0,25.0,7.0,25.0,7.0,24.0,7.0,25.0,7.0,24.0,6.0,24.0,23.0,5.0,22.0,5.0,21.0,4.0,4.0,4.0,8.0,20.0,8.0,7.0,21.0,7.0,22.0,6.0,23.0,6.0,24.0,6.0,25.0,5.0,26.0,5.0,26.0,4.0,26.0,3.0,3.0,26.0,4.0,27.0,3.0,26.0,3.0,27.0,26.0,4.0,26.0,5.0,4.0,27.0,5.0,26.0,6.0,27.0,6.0,27.0,5.0,27.0,5.0,29.0,7.0,29.0,2880.09
