subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_83,subcarrier_86,subcarrier_88,subcarrier_89,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_124,subcarrier_125,subcarrier_126,timestamp
-112.0,9.0,-11.0,-6.0,9.0,2.0,-7.0,-2.0,-14.0,-13.0,-8.0,-16.0,-15.0,-17.0,-8.0,-12.0,-25.0,-11.0,-17.0,-11.0,-20.0,-23.0,-6.0,-28.0,-6.0,-23.0,-7.0,-23.0,-2.0,-17.0,-5.0,-17.0,-3.0,-16.0,2.0,-15.0,-1.0,-10.0,-2.0,0.0,-7.0,2.0,-6.0,29.0,17.0,28.0,16.0,31.0,13.0,12.0,35.0,32.0,11.0,12.0,22.0,11.0,22.0,15.0,11.0,9.0,7.0,7.0,6.0,3.0,9.0,-3.0,-7.0,12.0,-9.0,8.0,-8.0,7.0,-12.0,5.0,-13.0,-15.0,6.0,-14.0,10.0,-18.0,1192.88
80.0,8.0,16.0,18.0,25.0,21.0,-9.0,39.0,-26.0,19.0,34.0,-24.0,-20.0,-12.0,43.0,33.0,-16.0,42.0,-11.0,54.0,-12.0,-17.0,55.0,-22.0,39.0,-16.0,52.0,-7.0,45.0,-7.0,47.0,-5.0,38.0,-9.0,36.0,-5.0,27.0,3.0,19.0,18.0,4.0,13.0,2.0,60.0,-43.0,60.0,-38.0,59.0,-43.0,-49.0,57.0,59.0,-47.0,-43.0,44.0,-33.0,35.0,34.0,-18.0,28.0,-13.0,21.0,-6.0,26.0,-2.0,11.0,4.0,13.0,16.0,29.0,13.0,21.0,11.0,29.0,15.0,10.0,27.0,13.0,45.0,13.0,1192.88
1.0,29.0,-22.0,-14.0,44.0,29.0,-31.0,7.0,-13.0,16.0,25.0,-28.0,-26.0,-29.0,33.0,42.0,-37.0,21.0,-31.0,43.0,-34.0,-30.0,43.0,-18.0,46.0,-23.0,46.0,-27.0,45.0,-16.0,31.0,-12.0,26.0,-10.0,40.0,-3.0,35.0,-7.0,24.0,21.0,-2.0,7.0,6.0,65.0,-19.0,67.0,-27.0,71.0,-26.0,-23.0,71.0,66.0,-40.0,-29.0,50.0,-27.0,37.0,44.0,-7.0,37.0,-1.0,16.0,4.0,21.0,10.0,17.0,5.0,21.0,1.0,15.0,-9.0,13.0,2.0,52.0,6.0,-3.0,44.0,-5.0,20.0,11.0,1192.89
65.0,30.0,-12.0,-40.0,6.0,9.0,-34.0,17.0,-18.0,3.0,15.0,-40.0,-33.0,-46.0,8.0,3.0,-53.0,12.0,-49.0,6.0,-43.0,-46.0,26.0,-55.0,30.0,-37.0,30.0,-39.0,27.0,-29.0,31.0,-20.0,26.0,-18.0,26.0,-18.0,19.0,-17.0,9.0,16.0,-9.0,13.0,-2.0,62.0,23.0,73.0,22.0,74.0,20.0,16.0,61.0,72.0,16.0,18.0,49.0,8.0,37.0,36.0,15.0,20.0,15.0,19.0,19.0,13.0,14.0,4.0,-1.0,26.0,-16.0,17.0,-15.0,28.0,-10.0,39.0,-31.0,-12.0,37.0,-24.0,18.0,-24.0,1192.89
-112.0,7.0,-33.0,-23.0,-8.0,-18.0,-3.0,-35.0,-3.0,-31.0,-46.0,-5.0,8.0,-24.0,-51.0,-33.0,-24.0,-50.0,-21.0,-55.0,-25.0,-33.0,-40.0,-29.0,-44.0,-23.0,-38.0,-32.0,-36.0,-21.0,-29.0,-29.0,-29.0,-21.0,-23.0,-19.0,-22.0,-19.0,-17.0,-11.0,-8.0,-12.0,-4.0,13.0,70.0,17.0,70.0,19.0,66.0,74.0,24.0,23.0,69.0,67.0,9.0,50.0,7.0,-2.0,39.0,-2.0,31.0,-10.0,22.0,-3.0,10.0,-13.0,-20.0,6.0,-24.0,2.0,-27.0,0.0,-30.0,-6.0,-27.0,-28.0,-13.0,-20.0,-20.0,-36.0,1192.9
-48.0,8.0,35.0,22.0,3.0,-12.0,27.0,8.0,29.0,12.0,-10.0,34.0,18.0,56.0,-1.0,1.0,57.0,-3.0,48.0,0.0,37.0,52.0,-6.0,49.0,-17.0,42.0,-15.0,44.0,-26.0,27.0,-29.0,29.0,-17.0,27.0,-15.0,19.0,-15.0,16.0,-14.0,-6.0,6.0,-8.0,3.0,-66.0,-23.0,-68.0,-26.0,-72.0,-17.0,-16.0,-72.0,-68.0,-11.0,-10.0,-52.0,-19.0,-43.0,-28.0,-22.0,-28.0,-20.0,-12.0,-23.0,-9.0,-25.0,0.0,-7.0,-21.0,10.0,-23.0,15.0,-25.0,21.0,-31.0,21.0,26.0,-17.0,27.0,-32.0,24.0,1192.9
-32.0,5.0,26.0,24.0,-22.0,0.0,32.0,-1.0,22.0,-2.0,-13.0,37.0,38.0,41.0,-7.0,-6.0,30.0,-15.0,59.0,-17.0,46.0,52.0,-6.0,45.0,-20.0,40.0,-8.0,42.0,-18.0,40.0,-21.0,25.0,-17.0,31.0,-19.0,15.0,-17.0,16.0,-18.0,-20.0,3.0,-10.0,9.0,-68.0,-24.0,-73.0,-26.0,-74.0,-28.0,-22.0,-72.0,-71.0,-16.0,-16.0,-50.0,-17.0,-45.0,-27.0,-10.0,-31.0,-16.0,-20.0,-8.0,-12.0,-18.0,-7.0,5.0,-22.0,9.0,-17.0,19.0,-28.0,21.0,-30.0,15.0,19.0,-19.0,23.0,-33.0,19.0,1192.91
-32.0,5.0,29.0,21.0,18.0,31.0,24.0,15.0,26.0,19.0,27.0,18.0,28.0,28.0,34.0,39.0,41.0,24.0,50.0,32.0,43.0,27.0,18.0,36.0,22.0,43.0,19.0,40.0,14.0,38.0,17.0,25.0,13.0,24.0,7.0,23.0,5.0,21.0,5.0,4.0,3.0,-3.0,0.0,-21.0,-66.0,-25.0,-75.0,-30.0,-67.0,-70.0,-33.0,-29.0,-67.0,-53.0,-26.0,-33.0,-20.0,-10.0,-38.0,-4.0,-34.0,-6.0,-27.0,9.0,-26.0,10.0,17.0,-11.0,24.0,2.0,19.0,0.0,35.0,-3.0,30.0,36.0,-1.0,42.0,9.0,45.0,1192.92
96.0,5.0,4.0,9.0,26.0,29.0,-3.0,22.0,-3.0,23.0,28.0,-17.0,-31.0,-22.0,50.0,41.0,-14.0,49.0,-7.0,47.0,-9.0,-10.0,54.0,-7.0,37.0,-10.0,54.0,-5.0,45.0,1.0,36.0,8.0,36.0,6.0,32.0,-2.0,23.0,6.0,19.0,14.0,1.0,9.0,2.0,49.0,-59.0,42.0,-60.0,48.0,-59.0,-62.0,39.0,29.0,-61.0,-49.0,36.0,-44.0,37.0,32.0,-30.0,25.0,-30.0,20.0,-18.0,20.0,-3.0,20.0,16.0,18.0,17.0,17.0,17.0,28.0,19.0,28.0,19.0,16.0,27.0,9.0,36.0,19.0,1192.92
32.0,8.0,36.0,12.0,3.0,22.0,5.0,13.0,9.0,25.0,36.0,16.0,13.0,5.0,40.0,37.0,17.0,55.0,30.0,37.0,23.0,36.0,49.0,30.0,32.0,27.0,33.0,23.0,33.0,23.0,26.0,26.0,27.0,18.0,19.0,21.0,14.0,22.0,5.0,3.0,11.0,1.0,11.0,-41.0,-57.0,-41.0,-65.0,-49.0,-55.0,-64.0,-49.0,-44.0,-59.0,-51.0,-23.0,-40.0,-21.0,-17.0,-27.0,-16.0,-31.0,-9.0,-32.0,6.0,-20.0,15.0,17.0,-11.0,30.0,-2.0,20.0,-7.0,32.0,-3.0,39.0,39.0,-3.0,29.0,2.0,42.0,1192.93
