subcarrier_0,subcarrier_4,subcarrier_5,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_49,subcarrier_51,subcarrier_53,subcarrier_76,subcarrier_78,subcarrier_79,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_110,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
98.0,-6.0,15.0,8.0,3.0,11.0,-3.0,-18.0,-3.0,-21.0,12.0,-15.0,-19.0,-4.0,-18.0,-7.0,-12.0,-27.0,-10.0,-22.0,-18.0,-16.0,-19.0,-23.0,-22.0,-25.0,-21.0,-20.0,-14.0,-30.0,-2.0,-24.0,-5.0,-29.0,-3.0,-21.0,-19.0,-21.0,-11.0,-2.0,-9.0,-13.0,-11.0,-16.0,-2.0,-5.0,-3.0,-16.0,-1.0,-19.0,5.0,-21.0,-20.0,3.0,-24.0,19.0,10.0,-14.0,17.0,-9.0,19.0,-10.0,19.0,-16.0,-1.0,25.0,24.0,-4.0,21.0,6.0,19.0,17.0,2.0,30.0,-4.0,27.0,-6.0,23.0,-8.0,23.0,1385.44
73.0,0.0,-5.0,-2.0,4.0,-9.0,12.0,6.0,-4.0,10.0,1.0,13.0,19.0,10.0,21.0,10.0,9.0,20.0,8.0,19.0,9.0,10.0,25.0,10.0,27.0,14.0,22.0,20.0,14.0,20.0,11.0,24.0,12.0,24.0,3.0,22.0,18.0,19.0,16.0,3.0,8.0,4.0,4.0,11.0,4.0,2.0,-7.0,7.0,0.0,19.0,-4.0,27.0,17.0,-7.0,16.0,-15.0,-21.0,12.0,-24.0,15.0,-22.0,13.0,-29.0,13.0,10.0,-25.0,-29.0,-1.0,-27.0,11.0,-29.0,-24.0,6.0,-25.0,-1.0,-20.0,-3.0,-17.0,-3.0,-10.0,1385.45
93.0,-4.0,-2.0,-11.0,4.0,-8.0,8.0,9.0,-5.0,6.0,-6.0,10.0,19.0,-6.0,24.0,1.0,-6.0,21.0,-11.0,29.0,-4.0,-3.0,36.0,0.0,29.0,-2.0,11.0,5.0,22.0,-3.0,22.0,2.0,22.0,16.0,19.0,15.0,12.0,16.0,11.0,-4.0,-3.0,11.0,9.0,7.0,10.0,4.0,0.0,12.0,2.0,21.0,-4.0,17.0,15.0,-3.0,19.0,-9.0,-14.0,13.0,-20.0,17.0,-22.0,2.0,-25.0,8.0,11.0,-27.0,-27.0,3.0,-19.0,2.0,-31.0,-35.0,1.0,-24.0,-1.0,-15.0,-1.0,-23.0,-3.0,-18.0,1385.45
-98.0,-21.0,18.0,14.0,-18.0,5.0,-7.0,-6.0,-3.0,-14.0,3.0,-17.0,-10.0,0.0,-1.0,-6.0,0.0,-4.0,-8.0,-2.0,-6.0,-7.0,7.0,-1.0,-2.0,-2.0,-2.0,-13.0,1.0,-9.0,0.0,-3.0,-2.0,-9.0,4.0,-3.0,2.0,-9.0,-6.0,-12.0,-14.0,-6.0,2.0,-15.0,6.0,-1.0,5.0,-16.0,-1.0,-22.0,7.0,-19.0,-25.0,9.0,-29.0,9.0,9.0,-31.0,15.0,-35.0,19.0,-36.0,25.0,-38.0,-34.0,31.0,14.0,-32.0,19.0,-32.0,23.0,13.0,-29.0,10.0,-32.0,21.0,-25.0,26.0,-33.0,17.0,1385.46
-98.0,-16.0,-17.0,-8.0,6.0,-4.0,8.0,10.0,-6.0,11.0,2.0,14.0,15.0,6.0,16.0,7.0,10.0,23.0,7.0,21.0,15.0,10.0,19.0,13.0,15.0,15.0,22.0,21.0,17.0,17.0,6.0,23.0,0.0,22.0,-1.0,21.0,16.0,10.0,8.0,6.0,14.0,6.0,-2.0,11.0,-5.0,-3.0,-5.0,15.0,-8.0,6.0,-10.0,17.0,9.0,-16.0,14.0,-20.0,-19.0,10.0,-25.0,5.0,-26.0,-1.0,-26.0,3.0,-3.0,-28.0,-25.0,-3.0,-26.0,-10.0,-26.0,-25.0,-2.0,-27.0,-8.0,-23.0,-5.0,-18.0,-1.0,-20.0,1385.47
98.0,-15.0,4.0,4.0,-9.0,-2.0,-9.0,-11.0,-10.0,-4.0,-5.0,-11.0,-7.0,-11.0,-13.0,-21.0,-21.0,-8.0,-21.0,-20.0,-19.0,-33.0,-3.0,-32.0,-9.0,-33.0,-31.0,-31.0,2.0,-24.0,3.0,-19.0,6.0,-20.0,10.0,-22.0,-9.0,-7.0,-10.0,1.0,5.0,-17.0,-9.0,-4.0,-7.0,-8.0,-8.0,-19.0,-10.0,-20.0,-10.0,-26.0,-17.0,-1.0,-25.0,-5.0,-1.0,-24.0,-1.0,-34.0,10.0,-27.0,9.0,-31.0,-19.0,16.0,14.0,-24.0,21.0,-26.0,11.0,16.0,-16.0,13.0,-11.0,25.0,-17.0,10.0,-12.0,14.0,1385.47
120.0,2.0,11.0,9.0,-5.0,6.0,-4.0,-14.0,7.0,-15.0,10.0,-20.0,-11.0,7.0,-12.0,2.0,13.0,-25.0,11.0,-25.0,5.0,9.0,-25.0,12.0,-30.0,5.0,9.0,-8.0,-24.0,-7.0,-18.0,-9.0,-18.0,-8.0,-13.0,-8.0,-14.0,-14.0,-10.0,-10.0,-10.0,-4.0,3.0,-14.0,-3.0,7.0,5.0,-18.0,9.0,-12.0,13.0,-11.0,-7.0,14.0,-10.0,16.0,21.0,2.0,18.0,-2.0,26.0,9.0,27.0,3.0,12.0,26.0,18.0,10.0,24.0,20.0,20.0,12.0,14.0,25.0,9.0,19.0,7.0,17.0,7.0,17.0,1385.48
-116.0,8.0,11.0,-3.0,8.0,-2.0,0.0,4.0,8.0,0.0,10.0,5.0,0.0,20.0,0.0,21.0,15.0,-5.0,26.0,2.0,28.0,26.0,-6.0,26.0,-5.0,30.0,33.0,28.0,-15.0,22.0,-10.0,18.0,-14.0,24.0,-23.0,13.0,15.0,7.0,5.0,-10.0,-7.0,4.0,6.0,-11.0,15.0,12.0,7.0,-3.0,9.0,7.0,16.0,9.0,10.0,16.0,5.0,22.0,20.0,17.0,23.0,22.0,13.0,26.0,19.0,32.0,39.0,9.0,13.0,15.0,9.0,21.0,2.0,-4.0,22.0,-5.0,24.0,-10.0,21.0,-6.0,14.0,0.0,1385.48
30.0,21.0,13.0,14.0,21.0,14.0,21.0,21.0,13.0,21.0,13.0,20.0,21.0,12.0,21.0,12.0,11.0,21.0,11.0,21.0,11.0,11.0,18.0,11.0,17.0,10.0,10.0,9.0,13.0,9.0,12.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,12.0,12.0,6.0,6.0,13.0,7.0,6.0,7.0,13.0,8.0,13.0,8.0,15.0,16.0,11.0,17.0,12.0,13.0,18.0,14.0,19.0,14.0,19.0,14.0,19.0,19.0,14.0,14.0,20.0,14.0,20.0,14.0,14.0,19.0,13.0,21.0,14.0,21.0,15.0,22.0,14.0,1385.49
98.0,15.0,-4.0,2.0,11.0,0.0,3.0,8.0,3.0,6.0,5.0,0.0,-5.0,10.0,-3.0,13.0,21.0,-9.0,20.0,-7.0,24.0,26.0,-3.0,25.0,-3.0,24.0,21.0,22.0,-4.0,16.0,-4.0,16.0,0.0,10.0,3.0,8.0,4.0,1.0,-2.0,-6.0,-6.0,-41.0,-40.0,-7.0,-43.0,-42.0,-39.0,-13.0,-37.0,-9.0,-39.0,-8.0,-12.0,-30.0,-10.0,-27.0,-26.0,-4.0,-25.0,2.0,-14.0,0.0,-7.0,8.0,9.0,-7.0,-1.0,14.0,-2.0,18.0,-5.0,-4.0,23.0,2.0,18.0,1.0,22.0,-1.0,21.0,-4.0,1385.5
