subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_112,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,timestamp
94.0,-32.0,5.0,5.0,-2.0,0.0,-6.0,4.0,2.0,-10.0,-3.0,-5.0,4.0,2.0,9.0,4.0,14.0,-4.0,14.0,4.0,8.0,16.0,12.0,19.0,9.0,15.0,15.0,11.0,12.0,12.0,9.0,11.0,4.0,12.0,8.0,4.0,6.0,-6.0,7.0,0.0,2.0,-6.0,-2.0,-10.0,-1.0,10.0,-43.0,9.0,-45.0,7.0,-41.0,5.0,-38.0,4.0,-43.0,4.0,-43.0,2.0,-36.0,-34.0,-1.0,-34.0,-26.0,3.0,-25.0,5.0,-23.0,11.0,-18.0,10.0,-21.0,13.0,-16.0,15.0,-13.0,17.0,14.0,18.0,-16.0,18.0,-12.0,14.0,-12.0,16.0,-14.0,9.0,-15.0,11.0,-21.0,1689.43
-51.0,-48.0,12.0,27.0,-18.0,19.0,-5.0,4.0,-8.0,-6.0,-6.0,6.0,1.0,-18.0,21.0,-4.0,15.0,-15.0,25.0,-17.0,-7.0,26.0,-11.0,41.0,-3.0,33.0,37.0,-2.0,42.0,-6.0,-11.0,38.0,-2.0,24.0,19.0,-3.0,22.0,-3.0,4.0,-3.0,1.0,-12.0,2.0,-16.0,-12.0,65.0,-32.0,67.0,-39.0,69.0,-36.0,69.0,-38.0,62.0,-40.0,58.0,-44.0,58.0,-38.0,-33.0,47.0,-35.0,-24.0,46.0,-24.0,34.0,-16.0,37.0,-6.0,46.0,-8.0,25.0,-5.0,33.0,-1.0,43.0,39.0,42.0,5.0,42.0,0.0,40.0,-5.0,38.0,3.0,36.0,1.0,28.0,11.0,1689.44
124.0,-64.0,7.0,29.0,-16.0,21.0,4.0,10.0,-9.0,-10.0,-22.0,0.0,1.0,-11.0,5.0,-15.0,20.0,-22.0,19.0,-20.0,-25.0,29.0,-22.0,38.0,-19.0,32.0,30.0,-18.0,41.0,-18.0,-22.0,26.0,-11.0,23.0,15.0,-7.0,13.0,-5.0,7.0,-2.0,-3.0,-6.0,-7.0,-7.0,-18.0,74.0,-22.0,70.0,-30.0,68.0,-23.0,80.0,-34.0,61.0,-34.0,67.0,-32.0,61.0,-28.0,-23.0,51.0,-21.0,-24.0,50.0,-22.0,47.0,-8.0,33.0,8.0,49.0,3.0,33.0,14.0,32.0,14.0,30.0,31.0,36.0,22.0,42.0,3.0,38.0,4.0,30.0,9.0,43.0,10.0,20.0,17.0,1689.45
9.0,-110.0,32.0,-11.0,-23.0,7.0,-17.0,-7.0,-13.0,10.0,-11.0,11.0,18.0,7.0,15.0,26.0,27.0,13.0,14.0,28.0,14.0,20.0,25.0,22.0,35.0,17.0,7.0,37.0,11.0,26.0,25.0,9.0,27.0,4.0,11.0,10.0,9.0,3.0,2.0,5.0,11.0,-5.0,3.0,-11.0,3.0,-46.0,-55.0,-46.0,-65.0,-42.0,-57.0,-55.0,-58.0,-57.0,-59.0,-50.0,-56.0,-46.0,-54.0,-52.0,-40.0,-43.0,-40.0,-24.0,-42.0,-14.0,-46.0,-13.0,-43.0,-11.0,-38.0,6.0,-38.0,16.0,-30.0,-3.0,4.0,13.0,-36.0,5.0,-52.0,2.0,-45.0,12.0,-46.0,4.0,-38.0,0.0,-37.0,1689.45
38.0,98.0,34.0,-7.0,5.0,-12.0,12.0,-2.0,5.0,-15.0,0.0,-5.0,23.0,4.0,-24.0,4.0,-15.0,14.0,-28.0,11.0,8.0,-36.0,0.0,-40.0,1.0,-31.0,-38.0,0.0,-35.0,9.0,3.0,-34.0,3.0,-26.0,-19.0,1.0,-16.0,8.0,-6.0,3.0,0.0,6.0,9.0,10.0,8.0,-39.0,57.0,-38.0,63.0,-44.0,65.0,-40.0,67.0,-32.0,63.0,-30.0,67.0,-34.0,63.0,49.0,-35.0,51.0,46.0,-30.0,36.0,-40.0,30.0,-24.0,29.0,-39.0,19.0,-28.0,5.0,-41.0,19.0,-37.0,-44.0,-31.0,7.0,-42.0,9.0,-29.0,23.0,-34.0,8.0,-38.0,23.0,-14.0,10.0,1689.46
94.0,-32.0,5.0,-14.0,0.0,1.0,-3.0,-4.0,3.0,8.0,-3.0,3.0,-1.0,15.0,3.0,6.0,8.0,8.0,9.0,18.0,15.0,2.0,18.0,5.0,17.0,1.0,1.0,21.0,1.0,17.0,11.0,-1.0,13.0,1.0,2.0,5.0,1.0,4.0,0.0,-3.0,0.0,-7.0,0.0,-7.0,6.0,-39.0,-18.0,-38.0,-13.0,-40.0,-15.0,-41.0,-11.0,-40.0,-10.0,-34.0,-10.0,-38.0,-15.0,-11.0,-28.0,-11.0,-16.0,-23.0,-11.0,-20.0,-13.0,-11.0,-14.0,-12.0,-15.0,-10.0,-20.0,-12.0,-21.0,-8.0,-6.0,-6.0,-21.0,-13.0,-24.0,-2.0,-20.0,-9.0,-21.0,-3.0,-14.0,-6.0,-24.0,1689.46
-34.0,-30.0,45.0,10.0,7.0,6.0,4.0,0.0,1.0,3.0,-5.0,3.0,-13.0,-14.0,-1.0,-15.0,7.0,-14.0,-1.0,-17.0,-22.0,11.0,-23.0,0.0,-25.0,0.0,4.0,-20.0,7.0,-21.0,-24.0,-4.0,-17.0,-11.0,-8.0,-16.0,-12.0,-14.0,-13.0,-12.0,-14.0,-7.0,-23.0,-7.0,-16.0,-11.0,4.0,-6.0,3.0,-8.0,-1.0,-6.0,6.0,-7.0,11.0,-2.0,17.0,2.0,15.0,18.0,5.0,17.0,18.0,3.0,24.0,10.0,34.0,2.0,18.0,9.0,22.0,11.0,36.0,10.0,23.0,17.0,17.0,13.0,17.0,24.0,16.0,18.0,24.0,22.0,9.0,21.0,11.0,17.0,11.0,1689.51
-93.0,48.0,10.0,-5.0,10.0,-5.0,10.0,1.0,8.0,4.0,2.0,-4.0,1.0,-1.0,-14.0,-8.0,-11.0,-8.0,-17.0,-12.0,-8.0,-17.0,-13.0,-13.0,-12.0,-14.0,-11.0,-14.0,-12.0,-11.0,-12.0,-15.0,-13.0,-9.0,-8.0,-4.0,-5.0,0.0,-2.0,2.0,-2.0,4.0,2.0,10.0,5.0,4.0,36.0,4.0,37.0,8.0,35.0,7.0,36.0,7.0,38.0,13.0,34.0,6.0,35.0,35.0,8.0,31.0,28.0,2.0,27.0,-4.0,23.0,-6.0,25.0,-4.0,21.0,-8.0,20.0,-11.0,18.0,-11.0,-7.0,-8.0,21.0,-6.0,23.0,-13.0,18.0,-9.0,18.0,-5.0,18.0,-1.0,18.0,1689.54
94.0,-32.0,5.0,7.0,17.0,-5.0,0.0,1.0,12.0,-10.0,8.0,-12.0,7.0,11.0,-31.0,0.0,-23.0,-4.0,-23.0,9.0,-2.0,-37.0,-13.0,-37.0,-17.0,-41.0,-36.0,-15.0,-39.0,-10.0,-7.0,-28.0,-5.0,-25.0,-21.0,-7.0,-18.0,3.0,-5.0,6.0,-7.0,4.0,5.0,12.0,10.0,10.0,65.0,7.0,67.0,10.0,67.0,4.0,67.0,8.0,64.0,9.0,68.0,10.0,57.0,64.0,-5.0,61.0,59.0,0.0,49.0,-16.0,51.0,-12.0,39.0,-17.0,41.0,-15.0,31.0,-22.0,36.0,-21.0,-33.0,-18.0,43.0,-26.0,40.0,-27.0,42.0,-18.0,22.0,-21.0,30.0,-6.0,38.0,1689.55
-98.0,-32.0,9.0,-26.0,15.0,-8.0,6.0,-2.0,1.0,12.0,6.0,17.0,13.0,11.0,-8.0,21.0,-12.0,16.0,-26.0,15.0,21.0,-30.0,20.0,-30.0,25.0,-36.0,-25.0,17.0,-27.0,8.0,25.0,-28.0,15.0,-24.0,-19.0,11.0,-11.0,0.0,-12.0,-2.0,11.0,-2.0,5.0,-3.0,13.0,-56.0,29.0,-65.0,28.0,-65.0,27.0,-61.0,30.0,-56.0,24.0,-65.0,32.0,-70.0,27.0,30.0,-54.0,25.0,17.0,-42.0,9.0,-58.0,1.0,-53.0,1.0,-42.0,5.0,-50.0,-13.0,-47.0,-9.0,-32.0,-42.0,-51.0,-8.0,-42.0,-10.0,-34.0,-10.0,-42.0,-10.0,-51.0,-9.0,-30.0,2.0,1689.55
