subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_13,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_94,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-64.0,6.0,3.0,-20.0,-1.0,3.0,-22.0,1.0,2.0,-28.0,1.0,-30.0,0.0,-27.0,-7.0,-28.0,3.0,-27.0,-4.0,-27.0,-3.0,1.0,-29.0,0.0,-32.0,-1.0,-30.0,-8.0,-13.0,13.0,-16.0,-1.0,-16.0,3.0,8.0,-5.0,-5.0,-2.0,7.0,0.0,11.0,-2.0,4.0,19.0,15.0,22.0,15.0,16.0,19.0,20.0,22.0,14.0,21.0,13.0,23.0,23.0,25.0,11.0,25.0,15.0,2.0,16.0,9.0,6.0,11.0,15.0,6.0,8.0,3.0,3.0,3.0,4.0,-13.0,1.0,-1.0,-10.0,7.0,-6.0,3.0,-10.0,-4.0,-16.0,6.0,-17.0,-1.0,-17.0,5.0,-17.0,2121.18
-32.0,9.0,-18.0,-9.0,-15.0,-16.0,-16.0,-19.0,-15.0,-10.0,-25.0,-10.0,-21.0,-14.0,-22.0,-13.0,-20.0,-19.0,-24.0,-22.0,-14.0,-20.0,-11.0,-22.0,-18.0,-12.0,-15.0,-9.0,-14.0,2.0,-7.0,-13.0,-9.0,-8.0,-8.0,-6.0,-2.0,4.0,5.0,-3.0,-2.0,5.0,0.0,20.0,-18.0,18.0,-14.0,20.0,-13.0,24.0,-10.0,18.0,-15.0,20.0,-17.0,30.0,-13.0,27.0,-14.0,26.0,12.0,12.0,-14.0,5.0,6.0,-8.0,10.0,13.0,6.0,-4.0,-3.0,-5.0,6.0,-2.0,-10.0,-6.0,2.0,-12.0,-12.0,-8.0,-3.0,-3.0,-17.0,-7.0,-15.0,-10.0,-14.0,2.0,2121.19
-96.0,9.0,-20.0,18.0,-26.0,-20.0,13.0,-25.0,-31.0,19.0,-28.0,17.0,-31.0,18.0,-27.0,17.0,-29.0,20.0,-24.0,18.0,-26.0,-26.0,18.0,-21.0,22.0,-22.0,9.0,-17.0,12.0,-16.0,10.0,-10.0,11.0,-9.0,-4.0,1.0,2.0,2.0,-1.0,3.0,-3.0,12.0,-5.0,16.0,-28.0,13.0,-30.0,17.0,-29.0,19.0,-28.0,14.0,-29.0,19.0,-26.0,19.0,-27.0,22.0,-24.0,21.0,19.0,14.0,-12.0,9.0,-10.0,-13.0,-10.0,7.0,-7.0,4.0,-6.0,-6.0,-5.0,-5.0,-1.0,-6.0,-5.0,-1.0,-9.0,1.0,-16.0,6.0,-19.0,10.0,-14.0,10.0,-15.0,7.0,2121.19
80.0,7.0,-50.0,7.0,-73.0,-35.0,7.0,-52.0,-30.0,11.0,-52.0,20.0,-52.0,8.0,-48.0,2.0,-50.0,14.0,-44.0,23.0,-58.0,-51.0,19.0,-35.0,20.0,-32.0,18.0,-27.0,24.0,-14.0,18.0,-19.0,5.0,-6.0,-5.0,8.0,6.0,6.0,-6.0,11.0,-4.0,15.0,-12.0,45.0,31.0,48.0,36.0,51.0,40.0,50.0,37.0,55.0,36.0,51.0,35.0,48.0,39.0,42.0,32.0,44.0,42.0,38.0,26.0,33.0,18.0,8.0,8.0,17.0,12.0,13.0,27.0,-2.0,9.0,-11.0,11.0,-15.0,-24.0,8.0,-20.0,-8.0,-17.0,7.0,-11.0,-21.0,-19.0,4.0,-30.0,-4.0,2121.2
-128.0,10.0,20.0,-41.0,39.0,16.0,-61.0,27.0,-1.0,-29.0,38.0,-51.0,22.0,-31.0,42.0,-59.0,34.0,-60.0,26.0,-56.0,23.0,24.0,-43.0,15.0,-27.0,28.0,-39.0,19.0,-26.0,17.0,-19.0,14.0,-27.0,12.0,0.0,-2.0,-7.0,-3.0,12.0,-10.0,9.0,-12.0,12.0,6.0,56.0,0.0,54.0,9.0,58.0,-6.0,65.0,9.0,57.0,-11.0,69.0,-1.0,60.0,-10.0,65.0,-3.0,-8.0,-10.0,39.0,-6.0,35.0,13.0,10.0,-11.0,16.0,-5.0,15.0,1.0,-3.0,-3.0,0.0,-5.0,1.0,-2.0,8.0,-19.0,2.0,-20.0,-1.0,-40.0,7.0,-35.0,18.0,-27.0,2121.2
-112.0,8.0,32.0,-44.0,37.0,33.0,-45.0,24.0,19.0,-68.0,25.0,-43.0,16.0,-57.0,21.0,-69.0,29.0,-63.0,21.0,-54.0,10.0,19.0,-51.0,18.0,-50.0,22.0,-32.0,22.0,-41.0,16.0,-40.0,9.0,-33.0,7.0,-5.0,-1.0,5.0,-3.0,4.0,-7.0,1.0,-3.0,22.0,-56.0,15.0,-56.0,22.0,-56.0,9.0,-69.0,22.0,-61.0,14.0,-55.0,27.0,-62.0,31.0,-44.0,14.0,-56.0,-63.0,-40.0,8.0,-39.0,13.0,6.0,-5.0,-21.0,-1.0,-16.0,6.0,-15.0,-3.0,-1.0,-8.0,6.0,13.0,-10.0,8.0,-1.0,11.0,-8.0,1.0,5.0,30.0,-22.0,14.0,-20.0,2121.21
-79.0,20.0,-46.0,32.0,-27.0,-27.0,36.0,-64.0,-35.0,50.0,-32.0,51.0,-30.0,35.0,-22.0,54.0,-32.0,60.0,-4.0,68.0,-26.0,-20.0,58.0,-13.0,31.0,-12.0,47.0,-7.0,34.0,-4.0,30.0,-10.0,18.0,-6.0,-9.0,0.0,-6.0,-2.0,-17.0,-1.0,-7.0,12.0,-13.0,40.0,-36.0,42.0,-40.0,52.0,-38.0,46.0,-37.0,48.0,-45.0,38.0,-41.0,55.0,-43.0,42.0,-36.0,40.0,34.0,31.0,-22.0,29.0,-18.0,-15.0,-2.0,7.0,-14.0,5.0,-1.0,-3.0,-5.0,17.0,7.0,-9.0,8.0,3.0,-3.0,13.0,-13.0,14.0,-28.0,14.0,-4.0,17.0,-15.0,18.0,2121.22
-15.0,21.0,-15.0,58.0,-31.0,-39.0,71.0,-26.0,-24.0,45.0,-40.0,60.0,-5.0,49.0,-27.0,39.0,-15.0,50.0,-33.0,49.0,-15.0,-20.0,40.0,-14.0,38.0,-11.0,36.0,-21.0,23.0,-6.0,30.0,-5.0,24.0,-8.0,-9.0,11.0,2.0,12.0,-11.0,3.0,-11.0,10.0,-24.0,39.0,-44.0,48.0,-42.0,50.0,-40.0,41.0,-51.0,47.0,-46.0,44.0,-44.0,45.0,-38.0,41.0,-45.0,36.0,40.0,25.0,-24.0,23.0,-20.0,-14.0,-24.0,14.0,-9.0,12.0,-1.0,8.0,-10.0,-5.0,0.0,-7.0,-10.0,20.0,-4.0,18.0,-31.0,24.0,-9.0,21.0,-14.0,28.0,-21.0,26.0,2121.22
-32.0,5.0,20.0,41.0,23.0,19.0,32.0,26.0,14.0,33.0,16.0,47.0,20.0,20.0,35.0,54.0,22.0,40.0,30.0,56.0,46.0,32.0,39.0,27.0,30.0,30.0,31.0,32.0,30.0,28.0,14.0,25.0,14.0,13.0,11.0,5.0,8.0,-10.0,-5.0,-3.0,-5.0,-14.0,-19.0,-37.0,-49.0,-28.0,-51.0,-34.0,-58.0,-35.0,-56.0,-38.0,-38.0,-32.0,-60.0,-29.0,-50.0,-30.0,-42.0,-29.0,-23.0,-20.0,-35.0,-13.0,-36.0,-25.0,-30.0,-1.0,-10.0,2.0,1.0,9.0,-8.0,-13.0,4.0,3.0,-14.0,10.0,1.0,9.0,23.0,5.0,15.0,32.0,6.0,22.0,10.0,32.0,2121.23
32.0,6.0,11.0,-7.0,10.0,8.0,9.0,-2.0,2.0,-6.0,4.0,14.0,-4.0,16.0,-7.0,14.0,-5.0,21.0,2.0,12.0,-11.0,-7.0,31.0,-9.0,22.0,-2.0,24.0,-8.0,18.0,-10.0,18.0,-14.0,16.0,-19.0,-15.0,14.0,9.0,-18.0,8.0,-17.0,-1.0,-17.0,-6.0,6.0,7.0,11.0,5.0,11.0,5.0,18.0,-1.0,22.0,2.0,15.0,-3.0,16.0,-9.0,15.0,2.0,24.0,15.0,23.0,-12.0,29.0,-13.0,-16.0,-13.0,23.0,-17.0,29.0,-18.0,26.0,-19.0,28.0,-25.0,22.0,20.0,-29.0,17.0,-18.0,10.0,-12.0,17.0,-16.0,11.0,-22.0,9.0,-14.0,2121.23
