subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_10,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_19,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_40,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_81,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_126,subcarrier_127,timestamp
-48.0,7.0,13.0,-27.0,3.0,-23.0,8.0,2.0,5.0,-22.0,11.0,-23.0,3.0,-20.0,-23.0,9.0,-16.0,8.0,-22.0,8.0,-17.0,8.0,-14.0,9.0,-13.0,-11.0,6.0,-9.0,7.0,-5.0,4.0,6.0,0.0,-1.0,3.0,-4.0,-4.0,9.0,-7.0,7.0,-10.0,7.0,22.0,28.0,22.0,29.0,29.0,31.0,21.0,32.0,21.0,35.0,21.0,20.0,29.0,19.0,29.0,16.0,27.0,24.0,13.0,21.0,10.0,18.0,9.0,10.0,8.0,7.0,6.0,4.0,6.0,-5.0,5.0,-8.0,9.0,6.0,-17.0,5.0,-12.0,5.0,-21.0,-2.0,7.0,-23.0,2040.17
16.0,9.0,-25.0,-9.0,-26.0,0.0,-31.0,-32.0,-25.0,1.0,-26.0,-5.0,-29.0,4.0,3.0,-24.0,2.0,-20.0,0.0,-19.0,-3.0,-15.0,-4.0,-14.0,-1.0,-6.0,-10.0,-2.0,-4.0,-3.0,-3.0,-1.0,-3.0,3.0,-3.0,7.0,6.0,1.0,9.0,3.0,11.0,4.0,27.0,-22.0,29.0,-22.0,-23.0,-24.0,31.0,-23.0,31.0,-25.0,31.0,26.0,-21.0,29.0,-20.0,26.0,-20.0,-17.0,20.0,-16.0,16.0,-13.0,13.0,-9.0,12.0,-13.0,4.0,-8.0,1.0,-2.0,-3.0,-4.0,-11.0,-10.0,0.0,-17.0,-3.0,-18.0,0.0,-14.0,-24.0,-3.0,2040.17
-32.0,11.0,-44.0,21.0,-77.0,10.0,-45.0,-47.0,-54.0,0.0,-61.0,11.0,-57.0,5.0,3.0,-49.0,5.0,-59.0,5.0,-47.0,1.0,-44.0,-1.0,-37.0,-18.0,-3.0,-25.0,-1.0,-12.0,5.0,-18.0,-1.0,1.0,13.0,6.0,18.0,25.0,9.0,34.0,4.0,25.0,13.0,63.0,-66.0,62.0,-71.0,-68.0,-71.0,75.0,-65.0,74.0,-76.0,75.0,77.0,-72.0,72.0,-61.0,66.0,-58.0,-54.0,49.0,-45.0,45.0,-46.0,23.0,-35.0,26.0,-31.0,17.0,-20.0,-12.0,-5.0,-21.0,-10.0,-31.0,-37.0,6.0,-50.0,2.0,-55.0,12.0,-40.0,-58.0,-12.0,2040.18
32.0,13.0,30.0,58.0,52.0,66.0,40.0,41.0,12.0,62.0,26.0,69.0,44.0,39.0,66.0,33.0,39.0,20.0,36.0,27.0,42.0,14.0,38.0,20.0,33.0,35.0,-3.0,11.0,0.0,20.0,-11.0,-7.0,-1.0,-8.0,-23.0,-7.0,-10.0,-24.0,-11.0,-36.0,-9.0,-34.0,-99.0,-21.0,-84.0,-28.0,-22.0,-21.0,-98.0,-32.0,-99.0,-31.0,-99.0,-92.0,-36.0,-79.0,-35.0,-85.0,-32.0,-32.0,-76.0,-29.0,-61.0,-28.0,-43.0,-20.0,-35.0,-10.0,-35.0,2.0,-6.0,8.0,-5.0,17.0,4.0,23.0,30.0,17.0,31.0,30.0,35.0,33.0,37.0,53.0,2040.18
-127.0,29.0,15.0,55.0,31.0,73.0,39.0,21.0,27.0,39.0,22.0,51.0,16.0,73.0,42.0,15.0,55.0,17.0,49.0,9.0,33.0,24.0,43.0,17.0,37.0,32.0,2.0,17.0,-5.0,13.0,-2.0,5.0,2.0,-16.0,-17.0,-6.0,-16.0,-28.0,-12.0,-26.0,-8.0,-28.0,-85.0,-57.0,-72.0,-51.0,-62.0,-69.0,-78.0,-66.0,-83.0,-76.0,-74.0,-78.0,-61.0,-71.0,-54.0,-75.0,-56.0,-55.0,-60.0,-45.0,-52.0,-38.0,-36.0,-29.0,-44.0,-16.0,-23.0,-9.0,-6.0,3.0,-2.0,23.0,-7.0,18.0,29.0,17.0,33.0,26.0,54.0,18.0,27.0,55.0,2040.19
-110.0,32.0,-18.0,-23.0,-13.0,-17.0,-15.0,-14.0,-13.0,-26.0,-19.0,-18.0,-10.0,-21.0,-28.0,-13.0,-17.0,-11.0,-18.0,-10.0,-15.0,-8.0,-16.0,-5.0,-14.0,-12.0,-2.0,-12.0,-2.0,-7.0,-1.0,0.0,-1.0,5.0,3.0,3.0,4.0,9.0,5.0,9.0,6.0,13.0,32.0,11.0,34.0,19.0,19.0,18.0,34.0,17.0,36.0,15.0,34.0,32.0,16.0,30.0,17.0,29.0,12.0,12.0,24.0,7.0,23.0,7.0,18.0,3.0,12.0,3.0,6.0,-1.0,8.0,-6.0,1.0,-8.0,-8.0,-10.0,-16.0,-6.0,-14.0,-8.0,-13.0,-14.0,-9.0,-17.0,2040.2
-111.0,20.0,-44.0,45.0,-77.0,24.0,-49.0,-59.0,-52.0,32.0,-74.0,41.0,-47.0,12.0,33.0,-43.0,30.0,-50.0,11.0,-44.0,28.0,-36.0,17.0,-24.0,12.0,12.0,-12.0,5.0,-14.0,9.0,-11.0,-10.0,0.0,10.0,-7.0,21.0,23.0,-8.0,28.0,-12.0,41.0,-14.0,77.0,-51.0,75.0,-55.0,-53.0,-67.0,79.0,-62.0,90.0,-62.0,77.0,84.0,-63.0,68.0,-55.0,67.0,-61.0,-52.0,58.0,-43.0,39.0,-40.0,32.0,-40.0,20.0,-29.0,11.0,-24.0,0.0,-12.0,-9.0,-3.0,-33.0,-31.0,11.0,-34.0,16.0,-40.0,10.0,-57.0,-66.0,10.0,2040.2
-32.0,5.0,46.0,-24.0,66.0,-33.0,58.0,66.0,37.0,-32.0,72.0,-22.0,54.0,-12.0,-33.0,60.0,-14.0,52.0,-7.0,61.0,-19.0,39.0,-2.0,41.0,-12.0,-9.0,22.0,0.0,22.0,2.0,7.0,1.0,-9.0,-14.0,9.0,-16.0,-29.0,0.0,-28.0,-4.0,-46.0,-5.0,-72.0,78.0,-54.0,58.0,63.0,65.0,-77.0,67.0,-82.0,73.0,-70.0,-71.0,73.0,-62.0,52.0,-68.0,54.0,55.0,-54.0,44.0,-42.0,44.0,-31.0,35.0,-31.0,28.0,-11.0,16.0,11.0,-6.0,16.0,5.0,26.0,41.0,-10.0,38.0,-10.0,39.0,0.0,56.0,66.0,-19.0,2040.21
-32.0,5.0,16.0,21.0,16.0,16.0,17.0,20.0,17.0,19.0,14.0,18.0,14.0,18.0,18.0,11.0,16.0,12.0,16.0,11.0,16.0,8.0,12.0,7.0,11.0,10.0,2.0,9.0,1.0,4.0,-2.0,-3.0,0.0,-6.0,-3.0,-5.0,-8.0,-6.0,-7.0,-11.0,-8.0,-12.0,-36.0,-9.0,-37.0,-11.0,-13.0,-13.0,-37.0,-11.0,-37.0,-16.0,-37.0,-34.0,-13.0,-33.0,-8.0,-34.0,-12.0,-7.0,-26.0,-6.0,-22.0,-8.0,-15.0,-1.0,-15.0,0.0,-11.0,2.0,-4.0,6.0,2.0,11.0,7.0,8.0,16.0,12.0,12.0,15.0,12.0,11.0,17.0,18.0,2040.21
32.0,6.0,3.0,13.0,2.0,1.0,-3.0,-9.0,4.0,-13.0,-6.0,-19.0,0.0,-3.0,-14.0,5.0,-27.0,2.0,-21.0,11.0,-28.0,6.0,-23.0,22.0,-30.0,-21.0,6.0,-27.0,10.0,-22.0,14.0,15.0,-3.0,19.0,-7.0,20.0,20.0,-5.0,8.0,6.0,19.0,-3.0,5.0,-7.0,-1.0,4.0,2.0,0.0,-7.0,-1.0,-9.0,-2.0,-7.0,-17.0,6.0,-23.0,7.0,-21.0,9.0,13.0,-12.0,20.0,-15.0,6.0,-14.0,17.0,-18.0,14.0,-39.0,14.0,-27.0,10.0,-25.0,13.0,-21.0,-21.0,16.0,-21.0,10.0,-7.0,18.0,-8.0,-20.0,13.0,2040.22
