subcarrier_0,subcarrier_1,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_25,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_34,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_44,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_53,subcarrier_76,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_122,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-95.0,16.0,-32.0,-14.0,1.0,-2.0,-19.0,-6.0,-15.0,-2.0,-18.0,-17.0,1.0,1.0,-25.0,11.0,-21.0,4.0,0.0,-23.0,-19.0,-5.0,-15.0,0.0,8.0,7.0,-9.0,-3.0,-12.0,-10.0,-10.0,-7.0,-2.0,-6.0,-10.0,-4.0,-5.0,-12.0,-8.0,-12.0,-13.0,-17.0,-12.0,-2.0,-13.0,-15.0,-8.0,-8.0,-14.0,-15.0,-2.0,-11.0,-1.0,-6.0,-14.0,6.0,-18.0,-21.0,7.0,-3.0,3.0,8.0,-26.0,-3.0,-27.0,3376.52
-88.0,-128.0,18.0,2.0,12.0,0.0,11.0,8.0,20.0,-2.0,22.0,13.0,9.0,7.0,25.0,15.0,30.0,20.0,12.0,13.0,2.0,0.0,3.0,4.0,4.0,-3.0,3.0,4.0,6.0,2.0,11.0,9.0,3.0,8.0,11.0,3.0,6.0,22.0,12.0,18.0,8.0,22.0,22.0,20.0,16.0,22.0,15.0,20.0,15.0,13.0,4.0,15.0,4.0,3.0,24.0,-10.0,25.0,14.0,-3.0,-5.0,9.0,3.0,26.0,6.0,24.0,3379.18
30.0,-32.0,11.0,12.0,28.0,28.0,10.0,27.0,9.0,27.0,9.0,9.0,27.0,27.0,7.0,27.0,7.0,27.0,27.0,8.0,8.0,25.0,8.0,24.0,23.0,22.0,8.0,21.0,8.0,8.0,17.0,8.0,18.0,8.0,9.0,19.0,20.0,9.0,21.0,10.0,12.0,21.0,13.0,22.0,22.0,12.0,22.0,22.0,23.0,13.0,22.0,12.0,24.0,24.0,12.0,25.0,12.0,11.0,25.0,26.0,26.0,27.0,12.0,27.0,11.0,3379.32
30.0,-32.0,19.0,18.0,17.0,17.0,18.0,16.0,17.0,16.0,17.0,17.0,17.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,13.0,13.0,12.0,15.0,12.0,15.0,15.0,11.0,9.0,11.0,10.0,10.0,12.0,11.0,12.0,12.0,12.0,13.0,13.0,14.0,13.0,12.0,15.0,13.0,13.0,12.0,16.0,13.0,16.0,14.0,15.0,16.0,14.0,17.0,16.0,15.0,16.0,16.0,17.0,19.0,18.0,18.0,3380.15
30.0,-32.0,-16.0,-15.0,17.0,17.0,-16.0,17.0,-16.0,16.0,-16.0,-17.0,16.0,15.0,-17.0,16.0,-17.0,15.0,15.0,-16.0,-16.0,16.0,-15.0,15.0,15.0,14.0,-14.0,14.0,-13.0,-13.0,9.0,-12.0,11.0,-11.0,-11.0,12.0,13.0,-12.0,13.0,-13.0,-12.0,15.0,-12.0,16.0,15.0,-12.0,16.0,16.0,16.0,-12.0,16.0,-13.0,15.0,16.0,-14.0,16.0,-14.0,-15.0,16.0,16.0,17.0,18.0,-16.0,17.0,-16.0,3380.34
30.0,-32.0,16.0,14.0,-20.0,-19.0,15.0,-18.0,15.0,-18.0,15.0,16.0,-18.0,-17.0,16.0,-17.0,16.0,-17.0,-17.0,15.0,14.0,-16.0,14.0,-16.0,-15.0,-15.0,13.0,-15.0,12.0,12.0,-12.0,12.0,-14.0,11.0,12.0,-15.0,-16.0,12.0,-16.0,13.0,13.0,-19.0,12.0,-19.0,-18.0,12.0,-19.0,-18.0,-20.0,12.0,-18.0,13.0,-19.0,-19.0,14.0,-19.0,14.0,14.0,-19.0,-19.0,-20.0,-21.0,15.0,-20.0,15.0,3380.53
30.0,-32.0,-21.0,-21.0,10.0,10.0,-21.0,10.0,-21.0,9.0,-21.0,-21.0,9.0,8.0,-21.0,8.0,-21.0,9.0,9.0,-21.0,-20.0,10.0,-20.0,9.0,9.0,9.0,-18.0,9.0,-17.0,-17.0,5.0,-15.0,6.0,-15.0,-15.0,7.0,8.0,-16.0,8.0,-16.0,-17.0,10.0,-16.0,10.0,10.0,-16.0,10.0,10.0,10.0,-17.0,10.0,-17.0,10.0,10.0,-19.0,10.0,-19.0,-19.0,10.0,10.0,10.0,11.0,-21.0,10.0,-21.0,3380.67
30.0,-32.0,-16.0,-15.0,19.0,19.0,-16.0,18.0,-16.0,17.0,-16.0,-17.0,18.0,18.0,-17.0,17.0,-17.0,17.0,17.0,-16.0,-15.0,16.0,-15.0,16.0,15.0,15.0,-13.0,15.0,-12.0,-12.0,12.0,-12.0,13.0,-12.0,-12.0,14.0,15.0,-12.0,15.0,-13.0,-13.0,18.0,-12.0,19.0,18.0,-12.0,19.0,18.0,19.0,-12.0,18.0,-13.0,18.0,18.0,-14.0,19.0,-14.0,-14.0,19.0,19.0,19.0,20.0,-16.0,20.0,-16.0,3381.06
30.0,-32.0,21.0,21.0,9.0,9.0,20.0,9.0,20.0,9.0,19.0,19.0,10.0,10.0,19.0,10.0,19.0,9.0,9.0,18.0,18.0,8.0,18.0,8.0,7.0,7.0,16.0,7.0,16.0,16.0,7.0,14.0,6.0,14.0,15.0,7.0,7.0,16.0,7.0,17.0,18.0,6.0,19.0,6.0,6.0,19.0,6.0,6.0,5.0,20.0,6.0,19.0,7.0,7.0,20.0,7.0,21.0,19.0,7.0,8.0,8.0,9.0,22.0,9.0,22.0,3381.16
30.0,-32.0,5.0,4.0,25.0,24.0,3.0,24.0,3.0,23.0,3.0,2.0,24.0,24.0,1.0,24.0,2.0,23.0,22.0,3.0,3.0,21.0,3.0,21.0,20.0,19.0,3.0,19.0,3.0,4.0,16.0,1.0,18.0,1.0,2.0,19.0,19.0,3.0,20.0,2.0,3.0,21.0,4.0,22.0,21.0,5.0,22.0,22.0,22.0,6.0,22.0,5.0,22.0,23.0,4.0,23.0,5.0,4.0,23.0,23.0,24.0,26.0,4.0,26.0,4.0,3381.24
30.0,-32.0,17.0,16.0,16.0,16.0,15.0,17.0,14.0,17.0,14.0,14.0,17.0,17.0,13.0,18.0,13.0,17.0,17.0,13.0,13.0,16.0,13.0,15.0,15.0,14.0,12.0,14.0,12.0,12.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,15.0,13.0,15.0,16.0,12.0,17.0,13.0,12.0,17.0,12.0,12.0,12.0,17.0,13.0,17.0,13.0,14.0,17.0,14.0,17.0,16.0,15.0,15.0,15.0,15.0,17.0,15.0,17.0,3381.35
-46.0,32.0,4.0,-2.0,16.0,16.0,5.0,25.0,6.0,16.0,9.0,12.0,18.0,17.0,10.0,14.0,19.0,12.0,16.0,3.0,6.0,-3.0,3.0,0.0,-6.0,-6.0,5.0,-9.0,8.0,9.0,-8.0,-14.0,8.0,-9.0,-12.0,2.0,9.0,-23.0,4.0,-11.0,-20.0,-3.0,-31.0,1.0,8.0,-11.0,11.0,6.0,13.0,-9.0,8.0,-2.0,11.0,12.0,6.0,5.0,-1.0,4.0,29.0,21.0,19.0,22.0,-8.0,22.0,-10.0,3381.96
-48.0,0.0,20.0,12.0,1.0,3.0,8.0,6.0,19.0,0.0,24.0,16.0,6.0,3.0,24.0,1.0,22.0,4.0,4.0,6.0,4.0,0.0,4.0,-4.0,-6.0,1.0,10.0,-2.0,13.0,8.0,-3.0,11.0,-1.0,18.0,8.0,1.0,5.0,11.0,2.0,19.0,28.0,4.0,15.0,2.0,-2.0,18.0,-3.0,-1.0,-9.0,22.0,1.0,8.0,-6.0,5.0,17.0,-1.0,13.0,17.0,-7.0,0.0,-6.0,-3.0,27.0,-5.0,9.0,3382.56
10.0,-95.0,22.0,15.0,-5.0,-2.0,19.0,-4.0,19.0,3.0,20.0,22.0,7.0,3.0,23.0,-2.0,19.0,0.0,1.0,-2.0,14.0,-12.0,10.0,-4.0,-11.0,-6.0,10.0,-11.0,2.0,10.0,5.0,3.0,17.0,-1.0,3.0,7.0,15.0,-1.0,15.0,-8.0,3.0,15.0,6.0,10.0,12.0,6.0,2.0,5.0,3.0,12.0,6.0,12.0,-1.0,9.0,13.0,8.0,18.0,22.0,9.0,5.0,5.0,0.0,14.0,9.0,19.0,3382.66
-108.0,64.0,-13.0,-9.0,-15.0,-6.0,-15.0,-11.0,-16.0,-10.0,-10.0,-18.0,-16.0,-10.0,-10.0,-11.0,-7.0,-9.0,-14.0,-7.0,-16.0,-1.0,-4.0,-2.0,-5.0,-11.0,-6.0,-3.0,-2.0,-5.0,-18.0,-1.0,-15.0,-10.0,-4.0,-13.0,-22.0,-7.0,-14.0,-13.0,-17.0,-23.0,-13.0,-21.0,-23.0,-3.0,-15.0,-11.0,-17.0,-16.0,-12.0,-6.0,-9.0,-8.0,-5.0,-14.0,-15.0,-9.0,-10.0,-18.0,-13.0,-16.0,-28.0,-17.0,-31.0,3382.78
