subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_46,subcarrier_47,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_76,subcarrier_77,subcarrier_79,subcarrier_80,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_102,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
94.0,-32.0,5.0,13.0,-6.0,17.0,-9.0,18.0,-9.0,19.0,-3.0,13.0,-19.0,25.0,-6.0,21.0,-7.0,21.0,-13.0,26.0,-15.0,25.0,27.0,29.0,-16.0,32.0,-12.0,24.0,-12.0,24.0,-9.0,-11.0,-10.0,14.0,-9.0,-8.0,5.0,-6.0,1.0,-4.0,3.0,-28.0,-26.0,5.0,3.0,-28.0,3.0,4.0,-29.0,1.0,-31.0,4.0,-29.0,3.0,2.0,-28.0,3.0,-27.0,-20.0,-2.0,-1.0,-2.0,-15.0,-2.0,-9.0,0.0,-9.0,1.0,-5.0,-1.0,-5.0,-8.0,-6.0,-3.0,-6.0,-6.0,-3.0,-2.0,-8.0,6.0,0.0,5.0,-3.0,5.0,1986.41
-51.0,-48.0,12.0,11.0,-41.0,-6.0,-51.0,-28.0,-43.0,-8.0,-72.0,-22.0,-66.0,-3.0,-60.0,-15.0,-78.0,-27.0,-79.0,-29.0,-64.0,-30.0,-17.0,-30.0,-86.0,-26.0,-73.0,-20.0,-52.0,-16.0,-57.0,-48.0,-37.0,-20.0,-29.0,-28.0,-9.0,0.0,1.0,11.0,56.0,-35.0,-31.0,58.0,64.0,-38.0,64.0,68.0,-33.0,60.0,-39.0,59.0,-31.0,57.0,60.0,-37.0,45.0,-30.0,-28.0,42.0,38.0,39.0,-16.0,33.0,-17.0,21.0,-10.0,9.0,-15.0,5.0,-13.0,2.0,-1.0,1.0,-6.0,3.0,-6.0,-17.0,-7.0,-2.0,-12.0,-11.0,-42.0,-16.0,1986.41
-128.0,0.0,8.0,-11.0,-15.0,-12.0,-16.0,-9.0,-19.0,-9.0,-21.0,-10.0,-26.0,-14.0,-23.0,-15.0,-23.0,-19.0,-26.0,-16.0,-30.0,-16.0,-19.0,-20.0,-28.0,-17.0,-23.0,-15.0,-19.0,-15.0,-21.0,-17.0,-14.0,-11.0,-10.0,-5.0,-8.0,-1.0,-4.0,-1.0,26.0,-1.0,-1.0,29.0,26.0,0.0,30.0,28.0,-5.0,31.0,-3.0,27.0,-3.0,26.0,27.0,-3.0,23.0,-3.0,-3.0,21.0,17.0,16.0,-1.0,13.0,-2.0,8.0,-5.0,4.0,-3.0,5.0,-4.0,3.0,-6.0,0.0,-6.0,-2.0,-5.0,-5.0,-4.0,-5.0,-8.0,-4.0,-9.0,-7.0,1986.42
98.0,32.0,6.0,-18.0,4.0,-21.0,2.0,-20.0,5.0,-19.0,7.0,-22.0,8.0,-26.0,3.0,-29.0,7.0,-28.0,6.0,-31.0,6.0,-31.0,-31.0,-30.0,7.0,-26.0,4.0,-27.0,10.0,-25.0,4.0,6.0,7.0,-16.0,11.0,3.0,-10.0,3.0,-2.0,1.0,6.0,26.0,24.0,8.0,10.0,26.0,14.0,10.0,24.0,14.0,26.0,11.0,25.0,11.0,9.0,20.0,8.0,22.0,20.0,9.0,9.0,5.0,12.0,5.0,8.0,4.0,5.0,4.0,5.0,4.0,0.0,1.0,5.0,2.0,-5.0,1.0,0.0,-3.0,3.0,-5.0,4.0,-8.0,4.0,-9.0,1986.42
94.0,-32.0,5.0,4.0,-18.0,2.0,-20.0,7.0,-19.0,7.0,-24.0,6.0,-24.0,9.0,-29.0,6.0,-28.0,11.0,-26.0,11.0,-30.0,11.0,7.0,10.0,-32.0,9.0,-27.0,6.0,-24.0,3.0,-24.0,-19.0,-19.0,1.0,-13.0,-9.0,-2.0,-2.0,-2.0,-1.0,16.0,-23.0,-26.0,16.0,12.0,-28.0,13.0,13.0,-27.0,12.0,-26.0,12.0,-27.0,13.0,14.0,-24.0,10.0,-21.0,-15.0,11.0,6.0,3.0,-14.0,7.0,-11.0,2.0,-7.0,-1.0,-8.0,-2.0,-7.0,1.0,-1.0,-7.0,-7.0,-3.0,-4.0,-1.0,-4.0,2.0,-6.0,3.0,-11.0,1.0,1986.43
98.0,32.0,6.0,-16.0,-6.0,-15.0,-10.0,-13.0,-13.0,-18.0,-14.0,-22.0,-14.0,-26.0,-16.0,-22.0,-13.0,-25.0,-19.0,-26.0,-16.0,-27.0,-25.0,-24.0,-17.0,-25.0,-15.0,-27.0,-11.0,-23.0,-12.0,-6.0,-5.0,-13.0,-4.0,-4.0,-8.0,3.0,-6.0,2.0,22.0,12.0,14.0,25.0,24.0,17.0,25.0,24.0,13.0,27.0,14.0,25.0,13.0,26.0,23.0,11.0,19.0,12.0,7.0,21.0,15.0,14.0,6.0,11.0,4.0,8.0,0.0,6.0,2.0,3.0,1.0,6.0,-3.0,0.0,-2.0,0.0,-1.0,-6.0,-2.0,-4.0,-5.0,-9.0,-3.0,-9.0,1986.43
120.0,-128.0,7.0,13.0,-9.0,11.0,-12.0,11.0,-11.0,13.0,-13.0,22.0,-15.0,20.0,-13.0,27.0,-18.0,24.0,-15.0,25.0,-17.0,25.0,28.0,30.0,-17.0,23.0,-18.0,24.0,-16.0,24.0,-13.0,-12.0,-15.0,12.0,-8.0,-8.0,3.0,-4.0,-1.0,-1.0,-2.0,-29.0,-28.0,0.0,-4.0,-31.0,-1.0,-5.0,-31.0,-3.0,-30.0,-6.0,-28.0,-2.0,-5.0,-27.0,0.0,-26.0,-22.0,-2.0,-5.0,-6.0,-18.0,-4.0,-9.0,-4.0,-9.0,-6.0,-6.0,-2.0,-4.0,-5.0,-3.0,-8.0,1.0,-5.0,-4.0,2.0,-5.0,1.0,-4.0,1.0,-3.0,4.0,1986.44
-116.0,-64.0,8.0,14.0,4.0,16.0,7.0,19.0,6.0,20.0,9.0,23.0,10.0,28.0,8.0,27.0,9.0,27.0,11.0,30.0,12.0,32.0,32.0,35.0,11.0,29.0,12.0,30.0,6.0,26.0,8.0,4.0,2.0,18.0,0.0,3.0,10.0,-4.0,2.0,-4.0,-25.0,-17.0,-17.0,-31.0,-27.0,-19.0,-28.0,-28.0,-18.0,-27.0,-19.0,-26.0,-19.0,-26.0,-26.0,-18.0,-23.0,-18.0,-9.0,-19.0,-16.0,-16.0,-8.0,-15.0,-7.0,-10.0,-4.0,-5.0,-3.0,-10.0,-1.0,-8.0,-2.0,-5.0,1.0,-4.0,0.0,6.0,-4.0,10.0,0.0,8.0,3.0,8.0,1986.44
-66.0,-32.0,11.0,15.0,-3.0,17.0,-6.0,19.0,-6.0,19.0,-7.0,24.0,-8.0,27.0,-10.0,34.0,-12.0,31.0,-11.0,32.0,-12.0,32.0,33.0,34.0,-11.0,30.0,-10.0,28.0,-11.0,28.0,-13.0,-9.0,-11.0,17.0,-6.0,-5.0,8.0,-4.0,3.0,-1.0,-17.0,-30.0,-28.0,-16.0,-16.0,-28.0,-17.0,-16.0,-30.0,-18.0,-29.0,-16.0,-31.0,-17.0,-15.0,-28.0,-15.0,-25.0,-24.0,-13.0,-15.0,-9.0,-15.0,-10.0,-11.0,-8.0,-10.0,-8.0,-13.0,-8.0,-3.0,-4.0,-2.0,-11.0,1.0,-8.0,-5.0,5.0,-6.0,6.0,-4.0,3.0,-7.0,6.0,1986.45
120.0,-128.0,7.0,7.0,12.0,9.0,12.0,12.0,13.0,13.0,19.0,14.0,18.0,16.0,21.0,16.0,23.0,18.0,22.0,18.0,24.0,18.0,20.0,19.0,22.0,18.0,21.0,21.0,18.0,17.0,15.0,13.0,8.0,13.0,7.0,5.0,10.0,0.0,2.0,-4.0,-26.0,2.0,5.0,-30.0,-30.0,6.0,-29.0,-30.0,6.0,-30.0,5.0,-30.0,4.0,-28.0,-28.0,5.0,-24.0,4.0,4.0,-21.0,-17.0,-12.0,2.0,-11.0,4.0,-11.0,2.0,-9.0,4.0,-6.0,0.0,-7.0,4.0,-4.0,2.0,-3.0,-2.0,0.0,1.0,2.0,3.0,6.0,6.0,6.0,1986.46
