subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_39,subcarrier_41,subcarrier_48,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_108,subcarrier_110,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_119,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_125,subcarrier_126,timestamp
-68.0,-64.0,11.0,6.0,22.0,1.0,20.0,8.0,22.0,3.0,6.0,2.0,18.0,7.0,19.0,6.0,20.0,4.0,19.0,4.0,17.0,16.0,3.0,16.0,6.0,13.0,2.0,11.0,-3.0,11.0,9.0,-3.0,-1.0,6.0,7.0,-5.0,-12.0,-1.0,-7.0,-3.0,32.0,-12.0,30.0,-9.0,30.0,-10.0,-14.0,36.0,-12.0,-15.0,31.0,33.0,-15.0,-13.0,26.0,-14.0,20.0,-15.0,-10.0,17.0,-7.0,24.0,-6.0,0.0,13.0,1.0,7.0,-1.0,6.0,2.0,12.0,14.0,12.0,15.0,8.0,19.0,23.0,9.0,1877.75
-128.0,0.0,8.0,-16.0,12.0,-18.0,11.0,-18.0,13.0,-18.0,-23.0,-21.0,11.0,-20.0,12.0,-17.0,9.0,-17.0,9.0,-17.0,8.0,9.0,-16.0,7.0,-16.0,8.0,-12.0,6.0,-14.0,3.0,4.0,-10.0,-7.0,-1.0,-2.0,1.0,6.0,-5.0,9.0,-7.0,27.0,16.0,30.0,17.0,27.0,15.0,17.0,28.0,13.0,20.0,36.0,29.0,8.0,13.0,22.0,12.0,26.0,13.0,14.0,18.0,12.0,19.0,5.0,3.0,-2.0,1.0,-2.0,0.0,15.0,-9.0,13.0,-12.0,12.0,11.0,-14.0,13.0,18.0,-9.0,1877.76
-34.0,-30.0,45.0,-23.0,2.0,-27.0,2.0,-21.0,5.0,-23.0,-22.0,-22.0,5.0,-21.0,6.0,-19.0,6.0,-18.0,3.0,-21.0,2.0,4.0,-17.0,1.0,-14.0,3.0,-12.0,0.0,-14.0,0.0,-1.0,-6.0,-9.0,-5.0,-6.0,6.0,10.0,-4.0,9.0,-7.0,14.0,27.0,20.0,27.0,22.0,28.0,25.0,21.0,28.0,32.0,18.0,24.0,25.0,22.0,26.0,20.0,19.0,16.0,23.0,10.0,15.0,10.0,9.0,10.0,5.0,4.0,-7.0,6.0,11.0,-16.0,13.0,-13.0,6.0,2.0,-20.0,17.0,10.0,-22.0,1877.76
94.0,-32.0,5.0,-5.0,17.0,-10.0,21.0,-10.0,21.0,-6.0,-9.0,-11.0,20.0,-9.0,21.0,-9.0,19.0,-5.0,18.0,-7.0,17.0,15.0,-8.0,16.0,-6.0,10.0,-9.0,13.0,-9.0,10.0,9.0,-6.0,-6.0,6.0,4.0,-6.0,-2.0,-6.0,-1.0,-6.0,30.0,-3.0,33.0,-2.0,34.0,-3.0,-2.0,32.0,-6.0,-2.0,33.0,34.0,-9.0,-9.0,26.0,-3.0,22.0,-6.0,1.0,24.0,1.0,12.0,-1.0,1.0,14.0,7.0,6.0,-1.0,0.0,-6.0,6.0,-8.0,13.0,19.0,0.0,24.0,17.0,-4.0,1877.77
-92.0,64.0,10.0,-21.0,14.0,-25.0,8.0,-19.0,11.0,-19.0,-20.0,-20.0,12.0,-18.0,10.0,-20.0,7.0,-16.0,10.0,-16.0,10.0,10.0,-14.0,9.0,-16.0,10.0,-10.0,8.0,-14.0,4.0,5.0,-4.0,-7.0,-1.0,-3.0,-1.0,2.0,-11.0,5.0,-11.0,12.0,29.0,19.0,25.0,18.0,31.0,30.0,18.0,27.0,30.0,20.0,19.0,23.0,19.0,21.0,17.0,19.0,19.0,19.0,10.0,11.0,14.0,11.0,10.0,-1.0,-2.0,-7.0,2.0,10.0,-12.0,10.0,-10.0,5.0,5.0,-13.0,8.0,14.0,-17.0,1877.78
-72.0,-128.0,11.0,5.0,29.0,7.0,29.0,7.0,20.0,7.0,7.0,10.0,20.0,10.0,21.0,7.0,19.0,5.0,19.0,13.0,17.0,16.0,11.0,14.0,7.0,11.0,5.0,11.0,12.0,7.0,7.0,4.0,3.0,7.0,5.0,-7.0,-13.0,0.0,-8.0,-1.0,31.0,10.0,31.0,11.0,33.0,7.0,4.0,41.0,1.0,0.0,40.0,34.0,-4.0,-3.0,30.0,-9.0,32.0,-6.0,2.0,25.0,-3.0,24.0,-1.0,3.0,15.0,19.0,-4.0,8.0,3.0,-7.0,8.0,4.0,19.0,11.0,11.0,23.0,15.0,-2.0,1877.78
94.0,-32.0,5.0,11.0,-25.0,14.0,-24.0,14.0,-22.0,4.0,7.0,10.0,-26.0,7.0,-22.0,9.0,-21.0,7.0,-21.0,5.0,-21.0,-21.0,8.0,-18.0,4.0,-15.0,7.0,-20.0,5.0,-16.0,-11.0,4.0,4.0,-6.0,-4.0,5.0,3.0,6.0,-2.0,11.0,-37.0,-11.0,-32.0,-10.0,-40.0,-7.0,-5.0,-44.0,-4.0,-3.0,-41.0,-40.0,-5.0,-3.0,-29.0,-4.0,-35.0,-3.0,-3.0,-24.0,1.0,-15.0,3.0,-11.0,-9.0,-6.0,0.0,-10.0,-17.0,1.0,-16.0,-4.0,-13.0,-20.0,1.0,-18.0,-20.0,12.0,1877.79
75.0,-79.0,20.0,-23.0,-12.0,-22.0,-13.0,-25.0,-11.0,-21.0,-16.0,-19.0,-16.0,-20.0,-12.0,-20.0,-14.0,-15.0,-10.0,-15.0,-8.0,-13.0,-16.0,-11.0,-11.0,-10.0,-12.0,-10.0,-12.0,-8.0,-11.0,-6.0,-5.0,-10.0,-7.0,5.0,6.0,-2.0,9.0,-1.0,-21.0,28.0,-20.0,31.0,-17.0,35.0,34.0,-11.0,36.0,31.0,-11.0,-10.0,36.0,32.0,-7.0,31.0,-10.0,24.0,22.0,-6.0,22.0,-7.0,18.0,6.0,-10.0,-6.0,-10.0,3.0,-3.0,-13.0,-8.0,-18.0,-6.0,-10.0,-19.0,-10.0,-11.0,-21.0,1877.86
95.0,-15.0,21.0,-53.0,-52.0,-34.0,-37.0,-47.0,-39.0,-42.0,-44.0,-38.0,-29.0,-37.0,-25.0,-33.0,-34.0,-22.0,-36.0,-35.0,-28.0,-34.0,-35.0,-34.0,-20.0,-36.0,-21.0,-25.0,-24.0,-25.0,-21.0,-10.0,-8.0,-18.0,-13.0,10.0,13.0,-1.0,20.0,1.0,-70.0,47.0,-69.0,60.0,-63.0,55.0,62.0,-58.0,61.0,64.0,-59.0,-45.0,67.0,65.0,-44.0,55.0,-37.0,52.0,37.0,-38.0,46.0,-27.0,26.0,27.0,-19.0,-17.0,-15.0,-9.0,-9.0,-25.0,-20.0,-23.0,-34.0,-25.0,-37.0,-30.0,-41.0,-51.0,1877.86
108.0,-64.0,6.0,-11.0,19.0,-11.0,18.0,-8.0,18.0,-16.0,-12.0,-9.0,18.0,-10.0,15.0,-11.0,17.0,-12.0,13.0,-11.0,15.0,8.0,-12.0,11.0,-10.0,10.0,-12.0,9.0,-13.0,6.0,5.0,-9.0,-3.0,4.0,-2.0,0.0,2.0,-4.0,7.0,-10.0,29.0,-5.0,37.0,-3.0,31.0,-6.0,-7.0,36.0,-6.0,-15.0,29.0,31.0,-1.0,-15.0,23.0,-11.0,25.0,-3.0,-10.0,17.0,-5.0,18.0,4.0,-5.0,7.0,4.0,9.0,7.0,3.0,-8.0,18.0,3.0,7.0,17.0,-5.0,24.0,12.0,-14.0,1877.87
