subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_114,subcarrier_116,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
94.0,-32.0,5.0,-5.0,18.0,-6.0,15.0,-4.0,18.0,-4.0,22.0,21.0,3.0,21.0,-3.0,-3.0,-2.0,16.0,16.0,1.0,15.0,13.0,3.0,2.0,13.0,6.0,3.0,9.0,6.0,5.0,3.0,-3.0,3.0,-5.0,9.0,-11.0,4.0,-7.0,9.0,-11.0,9.0,10.0,-19.0,26.0,-17.0,33.0,-18.0,33.0,-22.0,35.0,-25.0,37.0,36.0,-22.0,31.0,-17.0,31.0,-19.0,29.0,-16.0,-18.0,28.0,-14.0,19.0,14.0,-6.0,17.0,-1.0,14.0,-5.0,7.0,6.0,5.0,7.0,0.0,5.0,-4.0,5.0,-1.0,13.0,-6.0,8.0,1661.68
-68.0,-64.0,11.0,-20.0,14.0,-41.0,-1.0,-47.0,10.0,-38.0,10.0,9.0,-27.0,0.0,-39.0,-31.0,-33.0,9.0,17.0,-27.0,16.0,15.0,-9.0,-15.0,14.0,11.0,-6.0,11.0,-5.0,7.0,9.0,7.0,14.0,3.0,15.0,10.0,21.0,8.0,27.0,7.0,25.0,36.0,20.0,51.0,5.0,58.0,8.0,73.0,15.0,74.0,2.0,68.0,69.0,11.0,67.0,12.0,70.0,15.0,47.0,9.0,6.0,51.0,12.0,36.0,23.0,12.0,24.0,10.0,19.0,6.0,15.0,0.0,2.0,12.0,-4.0,3.0,-25.0,11.0,-14.0,16.0,-7.0,10.0,1661.69
-98.0,-32.0,9.0,-32.0,-14.0,-28.0,-8.0,-35.0,-16.0,-3.0,-23.0,-27.0,-32.0,-16.0,-34.0,-39.0,-26.0,-13.0,-10.0,-34.0,-21.0,-11.0,-20.0,-23.0,-3.0,-1.0,-11.0,-3.0,-2.0,3.0,-7.0,7.0,5.0,8.0,7.0,12.0,6.0,26.0,19.0,25.0,18.0,10.0,30.0,6.0,52.0,9.0,69.0,15.0,64.0,15.0,62.0,10.0,1.0,69.0,14.0,67.0,3.0,63.0,9.0,53.0,58.0,5.0,50.0,1.0,1.0,39.0,-2.0,24.0,-9.0,15.0,4.0,-7.0,-18.0,4.0,-13.0,0.0,0.0,-7.0,-17.0,-12.0,-17.0,-8.0,1661.69
-98.0,-32.0,9.0,-5.0,13.0,-9.0,12.0,-8.0,10.0,-8.0,12.0,7.0,-5.0,10.0,-5.0,-9.0,-11.0,14.0,14.0,-1.0,11.0,13.0,-5.0,-1.0,8.0,11.0,0.0,9.0,5.0,3.0,7.0,0.0,7.0,-1.0,7.0,-7.0,12.0,-8.0,10.0,-7.0,16.0,17.0,-12.0,22.0,-20.0,25.0,-19.0,28.0,-26.0,25.0,-22.0,29.0,24.0,-22.0,27.0,-24.0,25.0,-17.0,24.0,-16.0,-17.0,18.0,-10.0,17.0,15.0,-12.0,10.0,-6.0,11.0,-2.0,7.0,2.0,-1.0,5.0,0.0,6.0,-7.0,3.0,-2.0,9.0,0.0,11.0,1661.7
-83.0,-48.0,10.0,14.0,2.0,30.0,-2.0,31.0,1.0,39.0,3.0,5.0,24.0,5.0,25.0,31.0,35.0,-3.0,-10.0,35.0,-5.0,-11.0,24.0,15.0,-14.0,-5.0,8.0,-10.0,4.0,-2.0,-4.0,-6.0,-9.0,-15.0,-25.0,3.0,-27.0,-6.0,-25.0,-18.0,-28.0,-32.0,-8.0,-40.0,-43.0,-36.0,-45.0,-44.0,-56.0,-50.0,-51.0,-46.0,-45.0,-51.0,-37.0,-49.0,-50.0,-48.0,-36.0,-55.0,-39.0,-37.0,-42.0,-23.0,-15.0,-28.0,-21.0,-33.0,-5.0,-18.0,-13.0,-3.0,11.0,1.0,12.0,-12.0,13.0,8.0,26.0,-3.0,23.0,2.0,1661.7
-19.0,-48.0,14.0,-23.0,-31.0,-22.0,-22.0,-15.0,-16.0,-26.0,-30.0,-19.0,-14.0,-24.0,-21.0,-22.0,-16.0,-10.0,-19.0,-22.0,-13.0,-9.0,-10.0,-16.0,-10.0,2.0,-13.0,-4.0,-5.0,-2.0,-2.0,8.0,3.0,6.0,6.0,14.0,5.0,23.0,14.0,20.0,14.0,10.0,20.0,-15.0,45.0,-14.0,40.0,-20.0,53.0,-20.0,49.0,-17.0,-16.0,54.0,-18.0,51.0,-15.0,45.0,-16.0,38.0,36.0,-19.0,36.0,-9.0,-9.0,30.0,-14.0,14.0,-14.0,14.0,-10.0,-14.0,-14.0,-5.0,-12.0,-3.0,-9.0,-12.0,-18.0,-21.0,-12.0,-14.0,1661.71
-34.0,-30.0,45.0,23.0,-3.0,25.0,11.0,34.0,-3.0,22.0,-1.0,-3.0,20.0,7.0,18.0,25.0,23.0,-13.0,1.0,19.0,-11.0,-1.0,22.0,18.0,-1.0,-2.0,9.0,-1.0,2.0,1.0,-3.0,-9.0,-14.0,-2.0,-11.0,-8.0,-20.0,-5.0,-22.0,-3.0,-28.0,-20.0,-9.0,-1.0,-50.0,3.0,-53.0,-4.0,-52.0,-4.0,-53.0,-6.0,-9.0,-54.0,-9.0,-51.0,-6.0,-55.0,2.0,-48.0,-45.0,-4.0,-36.0,-2.0,2.0,-35.0,1.0,-21.0,-1.0,-12.0,5.0,4.0,7.0,-6.0,16.0,-1.0,8.0,3.0,6.0,0.0,13.0,11.0,1661.72
94.0,-32.0,5.0,-16.0,1.0,-9.0,-1.0,-14.0,-2.0,-18.0,-6.0,-8.0,-18.0,-5.0,-18.0,-14.0,-14.0,-2.0,-5.0,-15.0,3.0,-2.0,-11.0,-8.0,3.0,0.0,-3.0,-1.0,-4.0,-1.0,1.0,3.0,2.0,3.0,5.0,1.0,8.0,2.0,13.0,5.0,15.0,16.0,7.0,-8.0,31.0,-13.0,31.0,-7.0,32.0,-5.0,32.0,-4.0,1.0,34.0,-2.0,34.0,4.0,32.0,0.0,29.0,24.0,1.0,18.0,0.0,-3.0,14.0,-1.0,15.0,-3.0,11.0,-4.0,-3.0,-3.0,-1.0,-8.0,0.0,-11.0,-5.0,-12.0,-3.0,-9.0,-8.0,1661.72
94.0,-32.0,5.0,5.0,-14.0,14.0,-14.0,7.0,-9.0,6.0,-10.0,-12.0,10.0,-10.0,2.0,0.0,4.0,-12.0,-12.0,6.0,-13.0,-15.0,3.0,4.0,-11.0,-8.0,4.0,-5.0,-4.0,-1.0,-5.0,2.0,-10.0,1.0,-8.0,2.0,-4.0,9.0,-9.0,8.0,-11.0,-13.0,10.0,-22.0,-10.0,-28.0,-11.0,-29.0,-10.0,-31.0,-6.0,-30.0,-30.0,-8.0,-31.0,-4.0,-27.0,-5.0,-26.0,-6.0,-9.0,-19.0,-5.0,-19.0,-15.0,-6.0,-16.0,-6.0,-10.0,-5.0,-7.0,-2.0,0.0,-6.0,0.0,-7.0,0.0,-11.0,5.0,-8.0,8.0,-7.0,1661.73
-68.0,-64.0,11.0,14.0,-6.0,8.0,6.0,11.0,-1.0,14.0,3.0,0.0,15.0,4.0,13.0,11.0,7.0,1.0,9.0,11.0,4.0,0.0,12.0,7.0,-3.0,-1.0,3.0,-3.0,4.0,-1.0,-3.0,-5.0,-1.0,-5.0,-5.0,-8.0,-8.0,-7.0,-9.0,-13.0,-10.0,-8.0,-17.0,-11.0,-24.0,-14.0,-20.0,-18.0,-24.0,-19.0,-22.0,-18.0,-17.0,-28.0,-17.0,-30.0,-16.0,-22.0,-10.0,-25.0,-20.0,-8.0,-19.0,-5.0,-7.0,-14.0,-3.0,-13.0,-3.0,-7.0,0.0,3.0,7.0,-4.0,7.0,-6.0,5.0,0.0,9.0,4.0,8.0,5.0,1661.73
