subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_30,subcarrier_31,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_38,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_114,subcarrier_116,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-128.0,0.0,8.0,-12.0,-16.0,-6.0,-18.0,-9.0,-21.0,-13.0,-19.0,-15.0,-11.0,-16.0,-11.0,-11.0,-8.0,-15.0,-14.0,-7.0,-16.0,-13.0,-3.0,-4.0,-9.0,-9.0,-5.0,-4.0,1.0,1.0,3.0,2.0,8.0,5.0,7.0,8.0,3.0,8.0,9.0,12.0,10.0,10.0,15.0,-14.0,32.0,-13.0,31.0,-15.0,36.0,-17.0,38.0,-16.0,-14.0,36.0,-9.0,37.0,-18.0,32.0,-11.0,27.0,23.0,-11.0,23.0,-7.0,-7.0,11.0,-10.0,4.0,-7.0,6.0,-6.0,-9.0,-4.0,-4.0,-9.0,-14.0,-4.0,-18.0,-8.0,-12.0,-14.0,-14.0,1663.56
-128.0,0.0,8.0,2.0,-15.0,1.0,-22.0,5.0,-22.0,0.0,-26.0,-21.0,1.0,-19.0,-2.0,1.0,-2.0,-19.0,-18.0,0.0,-18.0,-13.0,-6.0,-1.0,-9.0,-7.0,8.0,-3.0,-1.0,-1.0,-3.0,4.0,0.0,9.0,1.0,9.0,1.0,10.0,2.0,12.0,3.0,5.0,20.0,-28.0,14.0,-31.0,18.0,-31.0,21.0,-36.0,27.0,-34.0,-32.0,18.0,-29.0,19.0,-30.0,21.0,-24.0,15.0,17.0,-16.0,6.0,-14.0,-12.0,9.0,-12.0,5.0,-7.0,2.0,-5.0,-4.0,-1.0,-16.0,6.0,-6.0,3.0,-13.0,3.0,-20.0,1.0,-21.0,1663.56
125.0,-48.0,7.0,18.0,0.0,15.0,-9.0,21.0,-4.0,17.0,-14.0,-7.0,18.0,-4.0,21.0,19.0,11.0,-13.0,-10.0,16.0,-10.0,-8.0,10.0,12.0,-1.0,2.0,5.0,-1.0,-5.0,1.0,0.0,3.0,0.0,3.0,-5.0,9.0,-10.0,8.0,-17.0,6.0,-16.0,-16.0,4.0,-21.0,-22.0,-26.0,-23.0,-30.0,-27.0,-34.0,-24.0,-37.0,-34.0,-21.0,-35.0,-17.0,-31.0,-21.0,-23.0,-14.0,-13.0,-20.0,-11.0,-19.0,-6.0,-10.0,-8.0,-11.0,0.0,-5.0,-1.0,3.0,11.0,-5.0,13.0,-5.0,15.0,-3.0,14.0,-5.0,18.0,-4.0,1663.57
105.0,-112.0,6.0,-9.0,-12.0,-16.0,-14.0,-13.0,-14.0,-14.0,-13.0,-12.0,-15.0,-15.0,-14.0,-18.0,-17.0,-10.0,-11.0,-15.0,-12.0,-7.0,-14.0,-12.0,-9.0,-5.0,-9.0,-5.0,-1.0,4.0,3.0,-1.0,6.0,0.0,9.0,-1.0,9.0,6.0,16.0,4.0,19.0,15.0,10.0,-12.0,31.0,-9.0,32.0,-8.0,37.0,-6.0,38.0,-5.0,-2.0,39.0,-5.0,38.0,-6.0,32.0,-8.0,31.0,29.0,-4.0,21.0,-6.0,-3.0,12.0,-8.0,6.0,-3.0,8.0,-9.0,-4.0,-5.0,-10.0,-6.0,-14.0,-11.0,-13.0,-12.0,-14.0,-15.0,-12.0,1663.57
124.0,-64.0,7.0,1.0,1.0,-2.0,9.0,0.0,0.0,-3.0,0.0,-1.0,-2.0,-6.0,-10.0,-14.0,-11.0,-19.0,-16.0,-7.0,-15.0,-17.0,-6.0,-8.0,-19.0,-34.0,-8.0,-20.0,-6.0,-4.0,-5.0,-31.0,-2.0,-21.0,7.0,-20.0,8.0,-16.0,18.0,-9.0,13.0,15.0,-10.0,-11.0,-7.0,-11.0,2.0,-11.0,6.0,-16.0,2.0,-18.0,-17.0,11.0,-11.0,18.0,-18.0,14.0,-17.0,19.0,31.0,-15.0,18.0,-16.0,-12.0,22.0,-9.0,32.0,-16.0,32.0,-1.0,5.0,3.0,27.0,-2.0,25.0,-3.0,12.0,1.0,20.0,3.0,16.0,1663.58
-51.0,-48.0,12.0,-7.0,5.0,-7.0,7.0,-1.0,1.0,1.0,-8.0,-3.0,0.0,-10.0,1.0,-3.0,-3.0,-16.0,-16.0,4.0,-24.0,-30.0,0.0,9.0,-30.0,-33.0,9.0,-30.0,7.0,15.0,12.0,-15.0,17.0,-20.0,18.0,-6.0,14.0,-3.0,14.0,-9.0,16.0,22.0,2.0,-6.0,-9.0,-11.0,-9.0,-11.0,-12.0,-10.0,-2.0,-19.0,-21.0,3.0,-28.0,5.0,-22.0,5.0,-25.0,9.0,10.0,-20.0,16.0,-22.0,-33.0,21.0,-24.0,10.0,-28.0,23.0,-18.0,-26.0,-18.0,21.0,-11.0,17.0,-12.0,23.0,-7.0,12.0,-10.0,16.0,1663.59
-66.0,-32.0,11.0,-13.0,-17.0,-15.0,-20.0,-13.0,-16.0,-11.0,-21.0,-17.0,-10.0,-19.0,-17.0,-13.0,-12.0,-14.0,-14.0,-10.0,-11.0,-12.0,-8.0,-8.0,-9.0,-8.0,-4.0,-2.0,1.0,1.0,6.0,4.0,7.0,3.0,5.0,7.0,10.0,7.0,12.0,9.0,13.0,16.0,12.0,-13.0,29.0,-12.0,30.0,-16.0,32.0,-15.0,39.0,-11.0,-12.0,38.0,-10.0,31.0,-15.0,31.0,-8.0,28.0,23.0,-11.0,23.0,-10.0,-10.0,14.0,-10.0,4.0,-6.0,3.0,-7.0,-4.0,-4.0,-2.0,-7.0,-9.0,-6.0,-13.0,-10.0,-16.0,-10.0,-13.0,1663.63
-46.0,32.0,13.0,-4.0,21.0,-10.0,19.0,-11.0,23.0,-7.0,17.0,21.0,-2.0,20.0,-3.0,-3.0,-4.0,15.0,13.0,-5.0,14.0,15.0,0.0,-5.0,5.0,3.0,-3.0,8.0,-5.0,-4.0,-4.0,-4.0,-2.0,-7.0,-1.0,-10.0,-1.0,-15.0,1.0,-17.0,1.0,4.0,-22.0,31.0,-9.0,35.0,-8.0,38.0,-13.0,35.0,-10.0,39.0,33.0,-11.0,32.0,-12.0,32.0,-9.0,30.0,-10.0,-12.0,22.0,-6.0,18.0,12.0,-2.0,7.0,2.0,6.0,4.0,3.0,-1.0,-3.0,10.0,-2.0,12.0,-9.0,11.0,-6.0,17.0,-6.0,18.0,1663.63
73.0,-111.0,20.0,-14.0,-19.0,-14.0,-17.0,-10.0,-22.0,-11.0,-17.0,-18.0,-9.0,-21.0,-4.0,-13.0,-13.0,-14.0,-17.0,-12.0,-13.0,-15.0,-6.0,-6.0,-4.0,-5.0,-3.0,-5.0,-4.0,3.0,4.0,-1.0,6.0,1.0,5.0,1.0,6.0,8.0,6.0,15.0,9.0,13.0,10.0,-20.0,27.0,-19.0,24.0,-18.0,32.0,-16.0,33.0,-21.0,-19.0,33.0,-15.0,32.0,-17.0,26.0,-18.0,28.0,16.0,-17.0,20.0,-14.0,-14.0,13.0,-7.0,7.0,-4.0,1.0,-10.0,-9.0,-5.0,-8.0,-4.0,-11.0,-4.0,-14.0,-6.0,-14.0,-7.0,-19.0,1663.64
93.0,-47.0,21.0,7.0,16.0,-1.0,17.0,0.0,25.0,-3.0,25.0,19.0,-9.0,22.0,-2.0,-3.0,-1.0,18.0,18.0,-1.0,14.0,16.0,-4.0,0.0,11.0,9.0,5.0,8.0,-3.0,0.0,3.0,-3.0,0.0,-9.0,0.0,-16.0,-4.0,-15.0,-1.0,-12.0,-3.0,-1.0,-17.0,23.0,-22.0,32.0,-22.0,26.0,-30.0,24.0,-29.0,28.0,27.0,-25.0,24.0,-26.0,21.0,-23.0,16.0,-20.0,-17.0,15.0,-12.0,17.0,15.0,-5.0,12.0,-5.0,4.0,0.0,7.0,2.0,-2.0,13.0,-3.0,9.0,-4.0,11.0,-3.0,16.0,-8.0,18.0,1663.65
94.0,-32.0,5.0,18.0,10.0,20.0,5.0,14.0,10.0,20.0,2.0,9.0,16.0,6.0,20.0,18.0,13.0,6.0,6.0,16.0,1.0,0.0,14.0,11.0,1.0,1.0,4.0,4.0,7.0,-5.0,-2.0,1.0,-7.0,1.0,-10.0,-1.0,-11.0,0.0,-15.0,0.0,-22.0,-20.0,-4.0,3.0,-34.0,1.0,-36.0,-1.0,-39.0,-2.0,-39.0,-3.0,-7.0,-40.0,-1.0,-35.0,-2.0,-31.0,1.0,-31.0,-22.0,-4.0,-22.0,-1.0,3.0,-13.0,3.0,-14.0,1.0,-6.0,3.0,6.0,5.0,4.0,8.0,5.0,11.0,2.0,13.0,8.0,14.0,8.0,1663.65
124.0,-64.0,7.0,6.0,25.0,4.0,28.0,4.0,22.0,2.0,21.0,24.0,4.0,22.0,2.0,7.0,7.0,22.0,17.0,4.0,19.0,18.0,6.0,0.0,14.0,8.0,3.0,7.0,-1.0,-4.0,-4.0,-2.0,-8.0,-5.0,-5.0,-14.0,-2.0,-14.0,-10.0,-17.0,-6.0,-12.0,-18.0,25.0,-26.0,25.0,-28.0,31.0,-32.0,30.0,-36.0,33.0,31.0,-34.0,20.0,-34.0,24.0,-25.0,18.0,-25.0,-23.0,20.0,-21.0,16.0,15.0,-16.0,9.0,-9.0,8.0,4.0,7.0,0.0,3.0,10.0,3.0,10.0,3.0,16.0,3.0,14.0,1.0,21.0,1663.66
124.0,-64.0,7.0,15.0,-18.0,21.0,-7.0,18.0,-14.0,15.0,-13.0,-14.0,13.0,-16.0,14.0,12.0,12.0,-18.0,-8.0,15.0,-8.0,-16.0,10.0,10.0,-5.0,-6.0,8.0,-5.0,8.0,1.0,-4.0,-2.0,-2.0,3.0,-6.0,5.0,-8.0,13.0,-7.0,17.0,-9.0,-14.0,15.0,-23.0,-23.0,-30.0,-23.0,-32.0,-18.0,-36.0,-21.0,-39.0,-36.0,-20.0,-30.0,-20.0,-24.0,-9.0,-28.0,-20.0,-10.0,-19.0,-9.0,-12.0,-17.0,-12.0,-9.0,-9.0,-11.0,-6.0,-3.0,-2.0,8.0,-10.0,14.0,-10.0,15.0,-12.0,13.0,-9.0,18.0,-10.0,1663.66
124.0,-64.0,7.0,-13.0,-20.0,-13.0,-12.0,-16.0,-13.0,-19.0,-16.0,-13.0,-13.0,-16.0,-17.0,-17.0,-14.0,-11.0,-16.0,-17.0,-8.0,-11.0,-12.0,-9.0,-11.0,-4.0,-7.0,-3.0,1.0,-3.0,4.0,0.0,8.0,-1.0,13.0,6.0,10.0,5.0,13.0,7.0,15.0,16.0,12.0,-8.0,32.0,-5.0,33.0,-10.0,40.0,-9.0,38.0,-4.0,-10.0,38.0,-9.0,37.0,-10.0,37.0,-6.0,31.0,26.0,-6.0,23.0,-2.0,-6.0,14.0,-4.0,10.0,-6.0,-2.0,-9.0,-6.0,-9.0,-7.0,-8.0,-11.0,-10.0,-3.0,-13.0,-12.0,-12.0,-9.0,1663.67
124.0,-64.0,7.0,6.0,21.0,7.0,20.0,4.0,17.0,2.0,18.0,24.0,8.0,18.0,7.0,10.0,4.0,21.0,16.0,5.0,16.0,19.0,1.0,2.0,13.0,8.0,3.0,10.0,1.0,-2.0,-4.0,-2.0,-4.0,-4.0,-3.0,-8.0,-6.0,-13.0,-3.0,-14.0,-6.0,-7.0,-17.0,21.0,-25.0,22.0,-28.0,26.0,-33.0,24.0,-36.0,25.0,20.0,-31.0,23.0,-30.0,20.0,-26.0,18.0,-24.0,-22.0,18.0,-19.0,8.0,12.0,-10.0,6.0,-6.0,4.0,-2.0,0.0,0.0,8.0,11.0,1.0,19.0,2.0,11.0,2.0,14.0,4.0,20.0,1663.67
124.0,-64.0,7.0,17.0,-8.0,20.0,-6.0,17.0,-7.0,18.0,-6.0,-6.0,16.0,-8.0,21.0,13.0,15.0,-6.0,-8.0,12.0,-4.0,-8.0,7.0,12.0,-4.0,1.0,5.0,-5.0,2.0,-1.0,-2.0,2.0,-8.0,1.0,-6.0,3.0,-10.0,5.0,-14.0,8.0,-17.0,-14.0,4.0,-14.0,-24.0,-19.0,-26.0,-25.0,-29.0,-23.0,-29.0,-24.0,-23.0,-26.0,-18.0,-23.0,-24.0,-22.0,-23.0,-22.0,-17.0,-12.0,-14.0,-15.0,-10.0,-12.0,-9.0,-12.0,0.0,-9.0,3.0,6.0,8.0,-3.0,12.0,-3.0,18.0,-7.0,15.0,-7.0,16.0,2.0,1663.68
124.0,-64.0,7.0,-17.0,-8.0,-15.0,3.0,-27.0,6.0,-19.0,6.0,0.0,-15.0,9.0,-17.0,-16.0,-12.0,1.0,4.0,-15.0,9.0,3.0,-15.0,-11.0,3.0,-5.0,-8.0,-2.0,-4.0,-1.0,-1.0,-4.0,6.0,-8.0,5.0,-10.0,7.0,-11.0,8.0,-13.0,11.0,12.0,-15.0,5.0,30.0,10.0,29.0,8.0,35.0,12.0,31.0,12.0,14.0,31.0,14.0,28.0,13.0,22.0,10.0,23.0,17.0,4.0,18.0,-1.0,1.0,15.0,-2.0,9.0,-1.0,7.0,-2.0,-5.0,-11.0,5.0,-13.0,4.0,-16.0,4.0,-16.0,-4.0,-15.0,0.0,1663.73
-128.0,0.0,8.0,23.0,30.0,17.0,27.0,20.0,38.0,21.0,25.0,24.0,37.0,29.0,27.0,25.0,31.0,24.0,30.0,13.0,28.0,25.0,18.0,11.0,21.0,15.0,3.0,15.0,-4.0,-13.0,-3.0,6.0,-19.0,-6.0,-15.0,-13.0,-17.0,-5.0,-25.0,-18.0,-36.0,-33.0,-18.0,30.0,-44.0,30.0,-53.0,34.0,-61.0,34.0,-65.0,29.0,28.0,-63.0,26.0,-52.0,22.0,-60.0,22.0,-43.0,-35.0,13.0,-24.0,23.0,12.0,-20.0,7.0,-13.0,14.0,-8.0,13.0,14.0,5.0,12.0,2.0,9.0,6.0,24.0,9.0,16.0,21.0,26.0,1663.74
-128.0,0.0,8.0,7.0,28.0,-15.0,34.0,-24.0,34.0,-25.0,55.0,40.0,-2.0,41.0,-21.0,-23.0,-1.0,34.0,35.0,-10.0,30.0,33.0,-20.0,-5.0,16.0,23.0,-12.0,17.0,-1.0,-6.0,-13.0,-8.0,-9.0,-19.0,-12.0,-21.0,-10.0,-19.0,-8.0,-31.0,-7.0,1.0,-32.0,50.0,13.0,58.0,9.0,70.0,6.0,67.0,4.0,61.0,63.0,2.0,61.0,4.0,55.0,2.0,45.0,-12.0,6.0,36.0,-3.0,38.0,31.0,1.0,7.0,-2.0,22.0,11.0,9.0,-11.0,-14.0,12.0,0.0,11.0,-18.0,25.0,-21.0,10.0,-10.0,28.0,1663.74
-98.0,-32.0,9.0,-35.0,-2.0,-51.0,12.0,-37.0,-7.0,-27.0,3.0,18.0,-42.0,-1.0,-46.0,-41.0,-35.0,14.0,7.0,-27.0,0.0,11.0,-16.0,-25.0,2.0,9.0,-18.0,-1.0,-12.0,9.0,-3.0,-11.0,8.0,-9.0,9.0,-11.0,21.0,-15.0,17.0,-15.0,23.0,17.0,-26.0,19.0,53.0,27.0,60.0,29.0,55.0,38.0,56.0,36.0,33.0,55.0,33.0,54.0,24.0,47.0,15.0,39.0,33.0,22.0,35.0,13.0,5.0,18.0,-3.0,13.0,4.0,19.0,-6.0,-19.0,-18.0,7.0,-27.0,16.0,-29.0,4.0,-34.0,-4.0,-23.0,12.0,1663.75
-98.0,-32.0,9.0,6.0,23.0,8.0,17.0,7.0,13.0,15.0,5.0,16.0,13.0,10.0,10.0,16.0,12.0,8.0,11.0,13.0,9.0,6.0,8.0,8.0,5.0,5.0,1.0,5.0,2.0,-3.0,-5.0,3.0,-7.0,0.0,-15.0,1.0,-12.0,-3.0,-15.0,-3.0,-15.0,-20.0,-9.0,21.0,-22.0,19.0,-21.0,21.0,-24.0,22.0,-28.0,20.0,22.0,-26.0,15.0,-24.0,15.0,-30.0,12.0,-24.0,-15.0,7.0,-18.0,10.0,8.0,-10.0,7.0,-4.0,5.0,-2.0,8.0,9.0,11.0,6.0,5.0,10.0,7.0,8.0,13.0,12.0,1.0,11.0,1663.75
94.0,-32.0,5.0,2.0,-24.0,20.0,-20.0,9.0,-16.0,7.0,-22.0,-23.0,6.0,-15.0,8.0,-4.0,3.0,-22.0,-19.0,-1.0,-19.0,-13.0,5.0,5.0,-9.0,-11.0,-4.0,-8.0,4.0,3.0,2.0,5.0,3.0,7.0,4.0,10.0,7.0,14.0,4.0,14.0,5.0,6.0,21.0,-28.0,-6.0,-34.0,-5.0,-37.0,-1.0,-40.0,-1.0,-36.0,-34.0,-6.0,-35.0,5.0,-28.0,0.0,-29.0,-1.0,5.0,-22.0,3.0,-18.0,-10.0,1.0,-5.0,-2.0,-6.0,-3.0,-5.0,3.0,-4.0,-12.0,2.0,-7.0,1.0,-1.0,2.0,-12.0,9.0,-11.0,1663.76
94.0,-32.0,5.0,33.0,2.0,38.0,-13.0,33.0,-14.0,30.0,0.0,-8.0,42.0,-12.0,41.0,34.0,32.0,-4.0,-4.0,27.0,-13.0,9.0,32.0,21.0,1.0,-1.0,16.0,1.0,9.0,4.0,-10.0,4.0,-10.0,12.0,-16.0,13.0,-21.0,12.0,-30.0,13.0,-28.0,-31.0,10.0,-33.0,-38.0,-46.0,-48.0,-51.0,-42.0,-52.0,-46.0,-46.0,-47.0,-49.0,-43.0,-39.0,-40.0,-26.0,-42.0,-31.0,-30.0,-22.0,-31.0,-19.0,-8.0,-18.0,-15.0,-10.0,-2.0,-17.0,2.0,9.0,16.0,-7.0,15.0,0.0,29.0,-12.0,25.0,-3.0,28.0,-6.0,1663.76
125.0,-48.0,7.0,21.0,36.0,17.0,19.0,27.0,21.0,33.0,14.0,15.0,29.0,20.0,12.0,26.0,26.0,22.0,20.0,30.0,19.0,10.0,24.0,18.0,13.0,14.0,6.0,15.0,2.0,-3.0,-8.0,15.0,-14.0,1.0,-19.0,-5.0,-22.0,1.0,-25.0,0.0,-33.0,-43.0,-8.0,30.0,-42.0,30.0,-55.0,35.0,-63.0,26.0,-74.0,28.0,26.0,-57.0,23.0,-54.0,18.0,-53.0,16.0,-51.0,-36.0,15.0,-32.0,15.0,8.0,-18.0,10.0,-13.0,8.0,-2.0,7.0,9.0,6.0,17.0,14.0,12.0,7.0,23.0,18.0,11.0,20.0,23.0,1663.77
-111.0,16.0,9.0,24.0,-34.0,13.0,-33.0,4.0,-31.0,-5.0,-36.0,-35.0,3.0,-32.0,4.0,6.0,8.0,-26.0,-37.0,6.0,-29.0,-31.0,-2.0,0.0,-21.0,-18.0,6.0,-11.0,7.0,6.0,8.0,3.0,0.0,2.0,8.0,14.0,7.0,22.0,10.0,23.0,15.0,4.0,36.0,-55.0,4.0,-55.0,7.0,-62.0,8.0,-70.0,26.0,-69.0,-55.0,15.0,-57.0,11.0,-58.0,11.0,-52.0,16.0,7.0,-33.0,12.0,-21.0,-16.0,3.0,-10.0,4.0,-16.0,-3.0,-5.0,-7.0,4.0,-20.0,13.0,-18.0,6.0,-25.0,-1.0,-31.0,17.0,-30.0,1663.77
-122.0,96.0,8.0,-8.0,-22.0,-12.0,-20.0,-9.0,-16.0,-15.0,-20.0,-17.0,-12.0,-21.0,-13.0,-8.0,-7.0,-16.0,-8.0,-9.0,-13.0,-15.0,-1.0,-3.0,-11.0,-12.0,-2.0,-10.0,3.0,2.0,2.0,-2.0,7.0,0.0,11.0,5.0,9.0,8.0,11.0,10.0,12.0,17.0,11.0,-22.0,18.0,-26.0,23.0,-28.0,28.0,-32.0,28.0,-26.0,-27.0,26.0,-21.0,23.0,-19.0,21.0,-21.0,19.0,23.0,-17.0,14.0,-9.0,-12.0,9.0,-6.0,2.0,-10.0,-1.0,-5.0,-4.0,-10.0,-9.0,1.0,-9.0,-11.0,-11.0,3.0,-11.0,-4.0,-20.0,1663.78
98.0,32.0,6.0,7.0,-3.0,2.0,8.0,-2.0,0.0,0.0,4.0,-4.0,-10.0,-2.0,-7.0,-13.0,-23.0,-1.0,0.0,-18.0,7.0,5.0,-23.0,-24.0,6.0,6.0,-29.0,-1.0,-27.0,-28.0,-20.0,-7.0,-17.0,-6.0,-20.0,-15.0,-15.0,-11.0,-9.0,-17.0,-10.0,-5.0,-21.0,-14.0,0.0,-15.0,7.0,-1.0,9.0,-1.0,12.0,-7.0,-5.0,11.0,-4.0,26.0,4.0,19.0,4.0,24.0,28.0,6.0,23.0,8.0,18.0,27.0,16.0,25.0,24.0,21.0,20.0,20.0,26.0,16.0,17.0,22.0,20.0,18.0,12.0,13.0,13.0,10.0,1663.81
-128.0,0.0,8.0,7.0,-17.0,9.0,-24.0,6.0,-18.0,9.0,-22.0,-26.0,10.0,-20.0,5.0,3.0,2.0,-20.0,-17.0,3.0,-20.0,-16.0,3.0,1.0,-9.0,-8.0,4.0,-9.0,1.0,3.0,3.0,2.0,5.0,4.0,3.0,10.0,5.0,14.0,3.0,12.0,3.0,2.0,17.0,-28.0,-10.0,-35.0,-2.0,-40.0,-2.0,-44.0,-1.0,-38.0,-36.0,-2.0,-32.0,-1.0,-35.0,1.0,-32.0,1.0,1.0,-23.0,0.0,-21.0,-14.0,-3.0,-11.0,-7.0,-5.0,-7.0,-3.0,2.0,-1.0,-13.0,5.0,-21.0,8.0,-11.0,9.0,-14.0,7.0,-19.0,1663.83
94.0,-32.0,5.0,14.0,-21.0,13.0,-16.0,12.0,-18.0,16.0,-20.0,-17.0,12.0,-16.0,13.0,15.0,12.0,-15.0,-15.0,10.0,-18.0,-14.0,6.0,11.0,-6.0,-6.0,4.0,-5.0,5.0,3.0,1.0,5.0,-4.0,1.0,-2.0,11.0,-3.0,9.0,-6.0,15.0,-8.0,-8.0,17.0,-27.0,-10.0,-29.0,-13.0,-39.0,-16.0,-37.0,-13.0,-42.0,-36.0,-13.0,-32.0,-8.0,-34.0,-12.0,-27.0,-12.0,-12.0,-21.0,-9.0,-16.0,-13.0,-11.0,-13.0,-8.0,-4.0,-9.0,-3.0,5.0,8.0,-10.0,10.0,-13.0,13.0,-13.0,12.0,-12.0,12.0,-20.0,1663.84
-102.0,-96.0,9.0,14.0,-6.0,21.0,-8.0,21.0,-6.0,23.0,-5.0,-7.0,20.0,-9.0,17.0,20.0,11.0,-17.0,-7.0,15.0,-5.0,-5.0,14.0,6.0,-5.0,-4.0,8.0,0.0,3.0,3.0,1.0,9.0,-6.0,7.0,-8.0,8.0,-12.0,11.0,-15.0,10.0,-13.0,-16.0,15.0,-7.0,-31.0,-5.0,-34.0,-14.0,-35.0,-16.0,-35.0,-18.0,-15.0,-35.0,-20.0,-32.0,-10.0,-29.0,-8.0,-26.0,-26.0,-3.0,-23.0,-10.0,-7.0,-11.0,-1.0,-9.0,4.0,-7.0,6.0,5.0,15.0,-5.0,12.0,-4.0,15.0,-6.0,16.0,-1.0,19.0,-3.0,1663.84
-68.0,-64.0,11.0,2.0,16.0,0.0,20.0,0.0,18.0,-9.0,24.0,19.0,0.0,21.0,-3.0,-4.0,3.0,13.0,15.0,-3.0,17.0,14.0,-6.0,-4.0,12.0,8.0,-5.0,6.0,-4.0,-3.0,-3.0,-1.0,-7.0,-1.0,-8.0,-7.0,-7.0,-13.0,-9.0,-12.0,-6.0,-9.0,-17.0,25.0,1.0,30.0,-1.0,28.0,-6.0,35.0,-7.0,30.0,33.0,-8.0,27.0,-10.0,24.0,-6.0,26.0,-6.0,-1.0,20.0,-2.0,16.0,9.0,0.0,10.0,1.0,10.0,4.0,8.0,1.0,5.0,15.0,-3.0,13.0,-7.0,10.0,-6.0,17.0,1.0,17.0,1663.85
-108.0,64.0,9.0,-18.0,-2.0,-22.0,3.0,-23.0,-5.0,-20.0,2.0,-5.0,-20.0,4.0,-19.0,-20.0,-17.0,-2.0,3.0,-23.0,5.0,-2.0,-13.0,-16.0,2.0,-1.0,-6.0,2.0,-7.0,-5.0,-2.0,-4.0,5.0,-6.0,11.0,-7.0,12.0,-7.0,17.0,-11.0,13.0,13.0,-13.0,-4.0,27.0,-4.0,31.0,2.0,34.0,0.0,40.0,6.0,7.0,37.0,5.0,39.0,-1.0,34.0,3.0,27.0,20.0,-3.0,22.0,-2.0,-1.0,14.0,-7.0,4.0,-6.0,3.0,-5.0,-16.0,-10.0,-5.0,-15.0,-1.0,-12.0,0.0,-20.0,-1.0,-17.0,-3.0,1663.85
-66.0,-32.0,11.0,7.0,-15.0,13.0,-19.0,0.0,-18.0,11.0,-25.0,-25.0,6.0,-18.0,5.0,8.0,-1.0,-25.0,-16.0,6.0,-15.0,-14.0,7.0,4.0,-11.0,-9.0,-8.0,-4.0,1.0,2.0,3.0,6.0,-1.0,12.0,-5.0,6.0,-3.0,14.0,-1.0,13.0,-3.0,2.0,19.0,-29.0,-7.0,-35.0,-3.0,-37.0,-5.0,-41.0,-3.0,-41.0,-38.0,-1.0,-39.0,8.0,-37.0,2.0,-31.0,-4.0,-4.0,-24.0,-4.0,-18.0,-11.0,-9.0,-9.0,-3.0,-5.0,-5.0,3.0,1.0,3.0,-12.0,4.0,-22.0,10.0,-10.0,7.0,-16.0,8.0,-18.0,1663.86
-46.0,32.0,13.0,-23.0,-4.0,-24.0,-1.0,-27.0,0.0,-28.0,-1.0,5.0,-25.0,-1.0,-23.0,-22.0,-21.0,9.0,-1.0,-22.0,2.0,5.0,-16.0,-14.0,1.0,5.0,-5.0,-4.0,-1.0,2.0,-1.0,-6.0,7.0,-8.0,9.0,-5.0,6.0,-10.0,16.0,-11.0,17.0,15.0,-11.0,-2.0,30.0,0.0,38.0,6.0,40.0,3.0,46.0,6.0,7.0,39.0,11.0,36.0,3.0,35.0,5.0,36.0,30.0,3.0,22.0,5.0,-6.0,18.0,-4.0,12.0,-4.0,8.0,-4.0,-9.0,-14.0,2.0,-16.0,-1.0,-15.0,1.0,-17.0,-4.0,-22.0,-6.0,1663.86
-126.0,32.0,8.0,11.0,-16.0,8.0,-17.0,11.0,-17.0,11.0,-19.0,-19.0,14.0,-19.0,10.0,9.0,11.0,-14.0,-11.0,7.0,-13.0,-13.0,7.0,4.0,-9.0,-11.0,3.0,-4.0,6.0,2.0,-1.0,6.0,-1.0,7.0,-1.0,9.0,-1.0,15.0,0.0,13.0,-5.0,-4.0,18.0,-25.0,-18.0,-32.0,-17.0,-34.0,-16.0,-37.0,-22.0,-31.0,-35.0,-18.0,-30.0,-16.0,-28.0,-11.0,-25.0,-13.0,-12.0,-22.0,-11.0,-13.0,-9.0,-5.0,-9.0,-3.0,0.0,-3.0,3.0,-1.0,4.0,-12.0,7.0,-11.0,9.0,-7.0,13.0,-14.0,11.0,-13.0,1663.87
