subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_21,subcarrier_22,subcarrier_25,subcarrier_26,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_91,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_100,subcarrier_103,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
94.0,-32.0,5.0,8.0,5.0,7.0,7.0,6.0,6.0,11.0,12.0,7.0,15.0,4.0,16.0,5.0,18.0,23.0,6.0,26.0,10.0,28.0,9.0,25.0,11.0,28.0,11.0,22.0,19.0,9.0,19.0,9.0,13.0,8.0,12.0,6.0,6.0,1.0,3.0,0.0,0.0,-2.0,18.0,-26.0,19.0,-27.0,17.0,-24.0,-30.0,13.0,-29.0,13.0,10.0,-24.0,11.0,-23.0,10.0,9.0,-14.0,-9.0,12.0,-10.0,-9.0,13.0,-6.0,14.0,-3.0,13.0,0.0,17.0,-3.0,13.0,16.0,-4.0,12.0,-2.0,11.0,2.0,12.0,2.0,920.524
-99.0,-48.0,9.0,-6.0,3.0,8.0,0.0,3.0,6.0,1.0,16.0,17.0,16.0,6.0,7.0,9.0,12.0,10.0,16.0,16.0,17.0,19.0,16.0,22.0,10.0,17.0,17.0,19.0,21.0,6.0,23.0,4.0,20.0,0.0,22.0,-9.0,23.0,-9.0,22.0,16.0,-17.0,14.0,13.0,1.0,13.0,2.0,10.0,1.0,-4.0,12.0,-6.0,9.0,19.0,-20.0,12.0,-21.0,13.0,5.0,-30.0,-37.0,3.0,-28.0,-30.0,3.0,-32.0,-2.0,-32.0,-2.0,-29.0,-2.0,-42.0,2.0,0.0,-21.0,6.0,-16.0,-5.0,-17.0,2.0,-18.0,920.529
98.0,32.0,6.0,-9.0,2.0,-3.0,2.0,-9.0,9.0,-9.0,0.0,3.0,-18.0,6.0,-7.0,11.0,-12.0,-9.0,24.0,-1.0,20.0,-10.0,19.0,-8.0,19.0,-9.0,18.0,-7.0,-8.0,20.0,4.0,20.0,10.0,14.0,9.0,14.0,7.0,16.0,9.0,9.0,10.0,9.0,-1.0,-21.0,-6.0,-10.0,-5.0,-13.0,-11.0,-13.0,-6.0,-13.0,-23.0,-5.0,-22.0,0.0,-20.0,-23.0,3.0,0.0,-35.0,-4.0,-1.0,-23.0,2.0,-25.0,-4.0,-24.0,4.0,-22.0,-1.0,-20.0,-12.0,-1.0,-23.0,1.0,-12.0,6.0,-13.0,0.0,920.535
98.0,32.0,6.0,-8.0,-7.0,-1.0,-5.0,-6.0,4.0,-6.0,-12.0,4.0,-11.0,5.0,-16.0,5.0,-22.0,-21.0,5.0,-18.0,12.0,-20.0,11.0,-24.0,12.0,-24.0,13.0,-19.0,-17.0,15.0,-14.0,10.0,-10.0,21.0,-6.0,23.0,-4.0,20.0,-5.0,1.0,17.0,5.0,2.0,-12.0,-2.0,-9.0,-5.0,-15.0,-12.0,-6.0,-9.0,-14.0,-20.0,-11.0,-20.0,-12.0,-30.0,-30.0,1.0,-1.0,-35.0,-4.0,5.0,-31.0,0.0,-29.0,4.0,-30.0,1.0,-28.0,5.0,-27.0,-15.0,8.0,-22.0,1.0,-21.0,-5.0,-9.0,-2.0,920.562
-98.0,-32.0,9.0,-6.0,2.0,-8.0,2.0,1.0,-13.0,3.0,-3.0,-16.0,-3.0,-19.0,-4.0,-23.0,-5.0,-5.0,-29.0,-6.0,-31.0,-5.0,-32.0,-6.0,-30.0,-2.0,-30.0,1.0,2.0,-24.0,-1.0,-19.0,3.0,-15.0,2.0,-13.0,1.0,-9.0,2.0,3.0,0.0,2.0,25.0,18.0,28.0,18.0,26.0,16.0,16.0,26.0,14.0,28.0,26.0,13.0,17.0,13.0,16.0,14.0,13.0,14.0,5.0,12.0,15.0,1.0,12.0,-1.0,16.0,0.0,12.0,-2.0,13.0,-1.0,-5.0,16.0,-4.0,14.0,-4.0,14.0,0.0,11.0,920.577
98.0,32.0,6.0,0.0,-9.0,-2.0,-7.0,-9.0,6.0,-11.0,-12.0,6.0,-14.0,10.0,-18.0,10.0,-20.0,-21.0,15.0,-24.0,14.0,-28.0,21.0,-27.0,13.0,-28.0,10.0,-28.0,-26.0,8.0,-23.0,8.0,-19.0,2.0,-14.0,0.0,-11.0,1.0,-9.0,-6.0,-2.0,0.0,-29.0,12.0,-32.0,16.0,-28.0,19.0,19.0,-27.0,18.0,-26.0,-24.0,17.0,-20.0,10.0,-19.0,-19.0,2.0,1.0,-17.0,-3.0,-2.0,-14.0,-4.0,-13.0,-6.0,-16.0,-5.0,-12.0,-6.0,-18.0,-14.0,-9.0,-12.0,-7.0,-10.0,-7.0,-11.0,-8.0,920.594
94.0,-32.0,5.0,-2.0,5.0,-2.0,8.0,11.0,-10.0,5.0,6.0,-16.0,9.0,-17.0,8.0,-21.0,12.0,12.0,-23.0,14.0,-25.0,18.0,-28.0,21.0,-26.0,21.0,-23.0,18.0,19.0,-19.0,18.0,-14.0,11.0,-9.0,11.0,-7.0,8.0,-5.0,7.0,6.0,4.0,-2.0,32.0,0.0,32.0,-3.0,30.0,-3.0,-5.0,28.0,-5.0,30.0,29.0,-1.0,24.0,-4.0,22.0,19.0,1.0,5.0,14.0,8.0,11.0,8.0,4.0,7.0,12.0,9.0,11.0,6.0,13.0,8.0,7.0,16.0,7.0,10.0,5.0,11.0,4.0,10.0,920.599
94.0,-32.0,5.0,-6.0,0.0,-8.0,-2.0,-1.0,-10.0,-4.0,-6.0,-14.0,-10.0,-19.0,-11.0,-19.0,-11.0,-14.0,-24.0,-15.0,-28.0,-17.0,-29.0,-15.0,-30.0,-13.0,-27.0,-11.0,-10.0,-22.0,-7.0,-17.0,-4.0,-14.0,-5.0,-15.0,-2.0,-9.0,1.0,0.0,0.0,-1.0,16.0,28.0,16.0,27.0,18.0,26.0,26.0,18.0,22.0,20.0,17.0,24.0,12.0,19.0,13.0,7.0,16.0,16.0,1.0,14.0,12.0,-5.0,12.0,-4.0,14.0,-4.0,14.0,-9.0,13.0,-6.0,-8.0,12.0,-6.0,13.0,-7.0,9.0,-9.0,8.0,920.605
-126.0,32.0,8.0,-8.0,-4.0,-5.0,-5.0,-9.0,-5.0,-11.0,-13.0,-1.0,-15.0,-5.0,-22.0,-2.0,-18.0,-26.0,-1.0,-33.0,-4.0,-31.0,-13.0,-33.0,-12.0,-27.0,-8.0,-26.0,-20.0,-9.0,-27.0,-10.0,-21.0,-6.0,-14.0,-4.0,-16.0,-7.0,-4.0,1.0,-3.0,-4.0,-6.0,29.0,-7.0,25.0,-3.0,27.0,29.0,-4.0,30.0,-2.0,-7.0,23.0,-6.0,23.0,-10.0,-2.0,15.0,12.0,-6.0,10.0,7.0,-8.0,0.0,-12.0,0.0,-15.0,-1.0,-6.0,0.0,-7.0,-14.0,-5.0,-13.0,-1.0,-15.0,-1.0,-10.0,4.0,920.61
-34.0,-30.0,45.0,3.0,5.0,3.0,6.0,6.0,0.0,9.0,12.0,-8.0,15.0,-7.0,15.0,-6.0,18.0,26.0,-2.0,24.0,-7.0,37.0,-9.0,27.0,-12.0,27.0,0.0,36.0,19.0,-2.0,18.0,4.0,13.0,3.0,10.0,4.0,4.0,0.0,6.0,9.0,-5.0,1.0,12.0,-29.0,12.0,-30.0,9.0,-32.0,-29.0,12.0,-29.0,13.0,3.0,-21.0,8.0,-26.0,1.0,8.0,-24.0,-9.0,4.0,-6.0,-7.0,10.0,-1.0,16.0,-2.0,19.0,7.0,10.0,2.0,13.0,10.0,-1.0,15.0,3.0,10.0,1.0,11.0,-1.0,920.615
