subcarrier_1,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_15,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_37,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_52,subcarrier_53,subcarrier_77,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-64.0,7.0,19.0,4.0,0.0,12.0,-3.0,7.0,-9.0,6.0,5.0,5.0,-20.0,5.0,-23.0,7.0,8.0,10.0,-26.0,11.0,-25.0,10.0,-25.0,11.0,-23.0,8.0,-21.0,7.0,4.0,-14.0,-12.0,-6.0,-10.0,-9.0,-9.0,-11.0,-4.0,-17.0,-2.0,19.0,-3.0,23.0,-5.0,28.0,31.0,-9.0,33.0,33.0,33.0,-13.0,-13.0,22.0,-12.0,17.0,12.0,-6.0,7.0,-2.0,4.0,4.0,8.0,0.0,14.0,19.0,-1.0,25.0,0.0,28.0,3.0,31.0,6.0,32.0,8.0,32.0,31.0,10.0,28.0,2113.01
-128.0,18.0,-8.0,15.0,10.0,-3.0,8.0,2.0,5.0,6.0,9.0,14.0,3.0,18.0,5.0,20.0,23.0,25.0,6.0,25.0,6.0,27.0,5.0,25.0,4.0,24.0,3.0,21.0,20.0,-4.0,-7.0,11.0,-10.0,7.0,-12.0,5.0,-16.0,-1.0,-8.0,-5.0,-18.0,-8.0,-23.0,-10.0,-13.0,-29.0,-15.0,-19.0,-18.0,-30.0,-24.0,-16.0,-21.0,-13.0,-9.0,-11.0,-5.0,-7.0,1.0,-4.0,-2.0,12.0,0.0,0.0,22.0,0.0,26.0,-3.0,30.0,-5.0,29.0,-7.0,30.0,-10.0,-10.0,28.0,-12.0,2113.01
-32.0,-19.0,12.0,-15.0,-12.0,3.0,-10.0,-2.0,-9.0,-6.0,-11.0,-15.0,-11.0,-18.0,-13.0,-21.0,-23.0,-24.0,-16.0,-24.0,-17.0,-24.0,-17.0,-23.0,-14.0,-22.0,-12.0,-20.0,-18.0,-2.0,2.0,-14.0,4.0,-12.0,8.0,-11.0,15.0,-8.0,7.0,5.0,19.0,6.0,24.0,10.0,12.0,30.0,15.0,18.0,18.0,31.0,26.0,15.0,22.0,12.0,7.0,12.0,2.0,8.0,-4.0,5.0,3.0,-15.0,2.0,2.0,-25.0,4.0,-29.0,6.0,-31.0,9.0,-32.0,12.0,-32.0,14.0,15.0,-29.0,16.0,2113.21
-32.0,21.0,-1.0,16.0,11.0,3.0,7.0,6.0,4.0,9.0,13.0,17.0,-1.0,20.0,-1.0,23.0,25.0,27.0,-1.0,28.0,0.0,28.0,1.0,26.0,-1.0,25.0,-2.0,22.0,19.0,-7.0,-9.0,10.0,-12.0,6.0,-13.0,3.0,-17.0,-3.0,-8.0,5.0,-20.0,5.0,-25.0,5.0,4.0,-34.0,1.0,-1.0,-2.0,-37.0,-33.0,-2.0,-27.0,-2.0,-1.0,-16.0,1.0,-9.0,4.0,-4.0,1.0,12.0,5.0,7.0,23.0,8.0,28.0,8.0,31.0,7.0,33.0,5.0,34.0,5.0,3.0,32.0,0.0,2113.22
-96.0,-23.0,-1.0,-17.0,-12.0,-4.0,-7.0,-7.0,-4.0,-10.0,-14.0,-18.0,2.0,-21.0,2.0,-25.0,-27.0,-29.0,1.0,-29.0,1.0,-28.0,1.0,-28.0,1.0,-25.0,3.0,-24.0,-19.0,7.0,9.0,-10.0,11.0,-6.0,13.0,-3.0,15.0,3.0,7.0,-6.0,19.0,-7.0,23.0,-7.0,-5.0,31.0,-4.0,-2.0,-1.0,36.0,31.0,0.0,26.0,0.0,-1.0,14.0,-3.0,7.0,-5.0,2.0,-3.0,-14.0,-7.0,-9.0,-24.0,-10.0,-28.0,-10.0,-31.0,-10.0,-34.0,-8.0,-36.0,-8.0,-5.0,-33.0,-2.0,2113.23
32.0,-4.0,19.0,-4.0,-5.0,10.0,-7.0,6.0,-9.0,2.0,-1.0,-4.0,-18.0,-5.0,-22.0,-5.0,-6.0,-6.0,-26.0,-6.0,-27.0,-5.0,-25.0,-5.0,-24.0,-6.0,-20.0,-6.0,-7.0,-11.0,-7.0,-10.0,-4.0,-11.0,-1.0,-12.0,6.0,-15.0,2.0,17.0,6.0,21.0,7.0,26.0,30.0,5.0,32.0,34.0,33.0,3.0,1.0,24.0,1.0,19.0,13.0,0.0,7.0,1.0,1.0,4.0,8.0,-6.0,11.0,16.0,-12.0,20.0,-13.0,24.0,-12.0,27.0,-11.0,29.0,-10.0,30.0,31.0,-6.0,30.0,2113.23
-32.0,-12.0,-16.0,-8.0,-3.0,-11.0,0.0,-9.0,4.0,-7.0,-8.0,-8.0,14.0,-9.0,17.0,-10.0,-11.0,-12.0,19.0,-13.0,19.0,-13.0,18.0,-14.0,17.0,-12.0,16.0,-11.0,-8.0,12.0,10.0,1.0,9.0,4.0,8.0,7.0,5.0,12.0,2.0,-17.0,4.0,-20.0,6.0,-24.0,-25.0,11.0,-27.0,-27.0,-26.0,16.0,15.0,-18.0,12.0,-15.0,-10.0,6.0,-7.0,2.0,-5.0,-3.0,-7.0,-3.0,-12.0,-17.0,-5.0,-22.0,-6.0,-23.0,-8.0,-26.0,-11.0,-27.0,-12.0,-27.0,-26.0,-13.0,-24.0,2113.24
-96.0,17.0,6.0,13.0,9.0,4.0,4.0,3.0,0.0,3.0,2.0,3.0,-15.0,4.0,-18.0,4.0,5.0,6.0,-25.0,5.0,-27.0,5.0,-26.0,5.0,-26.0,3.0,-23.0,1.0,-1.0,-13.0,-10.0,-7.0,-5.0,-8.0,0.0,-9.0,10.0,-10.0,-8.0,-5.0,-16.0,-7.0,-19.0,-9.0,-11.0,-24.0,-13.0,-15.0,-16.0,-24.0,-22.0,-13.0,-18.0,-11.0,-9.0,-9.0,-6.0,-5.0,-3.0,-1.0,3.0,5.0,6.0,10.0,13.0,11.0,16.0,12.0,19.0,13.0,22.0,13.0,23.0,13.0,12.0,24.0,10.0,2113.3
96.0,-22.0,2.0,-17.0,-12.0,0.0,-8.0,-2.0,-3.0,-5.0,-8.0,-12.0,7.0,-15.0,10.0,-19.0,-22.0,-24.0,13.0,-25.0,14.0,-26.0,15.0,-26.0,14.0,-24.0,15.0,-22.0,-18.0,13.0,11.0,-3.0,11.0,1.0,9.0,6.0,3.0,16.0,6.0,6.0,14.0,8.0,17.0,13.0,16.0,21.0,18.0,20.0,21.0,23.0,19.0,18.0,16.0,15.0,12.0,8.0,7.0,4.0,2.0,1.0,-1.0,-8.0,-3.0,-4.0,-18.0,-5.0,-22.0,-5.0,-27.0,-3.0,-29.0,-2.0,-31.0,0.0,1.0,-30.0,3.0,2113.31
-64.0,20.0,-3.0,15.0,12.0,-1.0,8.0,2.0,5.0,4.0,7.0,9.0,-4.0,12.0,-5.0,15.0,17.0,19.0,-10.0,20.0,-10.0,20.0,-10.0,19.0,-11.0,18.0,-12.0,16.0,14.0,-14.0,-12.0,3.0,-12.0,-1.0,-11.0,-4.0,-9.0,-12.0,-9.0,-9.0,-17.0,-13.0,-21.0,-18.0,-21.0,-25.0,-23.0,-26.0,-26.0,-26.0,-22.0,-22.0,-18.0,-18.0,-15.0,-10.0,-9.0,-5.0,-4.0,-2.0,0.0,7.0,2.0,3.0,18.0,3.0,22.0,3.0,26.0,2.0,27.0,0.0,29.0,0.0,-2.0,29.0,-2.0,2113.4
-64.0,15.0,7.0,13.0,8.0,6.0,5.0,5.0,1.0,6.0,6.0,6.0,-10.0,8.0,-12.0,8.0,10.0,10.0,-17.0,10.0,-18.0,9.0,-19.0,8.0,-19.0,8.0,-17.0,5.0,2.0,-13.0,-11.0,-6.0,-8.0,-8.0,-6.0,-10.0,0.0,-13.0,-7.0,-2.0,-18.0,-4.0,-22.0,-7.0,-8.0,-28.0,-9.0,-11.0,-12.0,-31.0,-26.0,-11.0,-24.0,-10.0,-8.0,-13.0,-6.0,-8.0,-2.0,-4.0,2.0,5.0,4.0,9.0,12.0,12.0,16.0,13.0,20.0,13.0,22.0,13.0,23.0,13.0,12.0,24.0,10.0,2113.41
-32.0,-21.0,4.0,-17.0,-13.0,0.0,-10.0,-1.0,-6.0,-5.0,-8.0,-11.0,2.0,-14.0,3.0,-16.0,-19.0,-20.0,6.0,-21.0,7.0,-22.0,8.0,-20.0,10.0,-19.0,9.0,-18.0,-15.0,10.0,11.0,-4.0,12.0,-2.0,11.0,1.0,9.0,11.0,7.0,10.0,15.0,14.0,18.0,19.0,24.0,21.0,26.0,29.0,28.0,21.0,18.0,22.0,15.0,19.0,13.0,7.0,9.0,3.0,3.0,1.0,-1.0,-9.0,-3.0,-2.0,-19.0,-3.0,-23.0,-2.0,-27.0,0.0,-28.0,2.0,-31.0,3.0,5.0,-30.0,4.0,2113.41
32.0,7.0,16.0,5.0,1.0,10.0,-2.0,9.0,-6.0,7.0,8.0,8.0,-15.0,9.0,-17.0,10.0,11.0,13.0,-20.0,14.0,-20.0,14.0,-19.0,12.0,-19.0,12.0,-18.0,9.0,6.0,-13.0,-12.0,-5.0,-11.0,-8.0,-11.0,-11.0,-8.0,-17.0,0.0,14.0,0.0,19.0,0.0,23.0,26.0,-5.0,28.0,28.0,28.0,-11.0,-13.0,20.0,-11.0,16.0,12.0,-7.0,8.0,-5.0,4.0,0.0,4.0,1.0,9.0,14.0,0.0,19.0,2.0,21.0,3.0,24.0,6.0,24.0,8.0,26.0,26.0,10.0,24.0,2113.53
-32.0,-3.0,-21.0,-1.0,3.0,-14.0,5.0,-10.0,8.0,-7.0,-5.0,-4.0,19.0,-2.0,22.0,-3.0,-3.0,-5.0,25.0,-4.0,25.0,-5.0,25.0,-5.0,24.0,-3.0,21.0,-1.0,1.0,12.0,8.0,9.0,5.0,12.0,3.0,15.0,-2.0,20.0,-3.0,-16.0,-5.0,-21.0,-7.0,-27.0,-30.0,-4.0,-33.0,-35.0,-34.0,0.0,4.0,-26.0,4.0,-21.0,-15.0,3.0,-9.0,1.0,-6.0,-3.0,-6.0,2.0,-11.0,-15.0,6.0,-20.0,5.0,-23.0,7.0,-27.0,3.0,-30.0,1.0,-31.0,-31.0,-1.0,-30.0,2113.53
