subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_25,subcarrier_27,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
94.0,-32.0,5.0,27.0,12.0,25.0,26.0,42.0,17.0,29.0,23.0,47.0,45.0,43.0,36.0,39.0,43.0,40.0,57.0,42.0,47.0,41.0,39.0,41.0,33.0,29.0,31.0,32.0,25.0,27.0,23.0,18.0,15.0,19.0,5.0,19.0,2.0,7.0,1.0,-1.0,1.0,3.0,-4.0,-3.0,-11.0,-1.0,-44.0,-57.0,-45.0,-51.0,-47.0,-60.0,-48.0,-48.0,-52.0,-47.0,-54.0,-48.0,-55.0,-48.0,-41.0,-41.0,-37.0,-42.0,-36.0,-44.0,-35.0,-25.0,-26.0,-25.0,-25.0,-33.0,-20.0,-34.0,-26.0,-20.0,-15.0,-13.0,-1.0,3.0,0.0,-6.0,1.0,6.0,-11.0,16.0,-1.0,27.0,-3.0,2892.82
-57.0,112.0,12.0,4.0,-1.0,-3.0,-2.0,1.0,1.0,-14.0,-1.0,-8.0,-4.0,-20.0,2.0,-11.0,-10.0,1.0,-13.0,-1.0,-25.0,-3.0,-5.0,2.0,-5.0,-29.0,-5.0,-29.0,-23.0,-6.0,-26.0,-17.0,-25.0,-15.0,-22.0,-15.0,-22.0,-20.0,-15.0,-20.0,-14.0,-9.0,-18.0,-9.0,-18.0,-3.0,6.0,-12.0,6.0,-15.0,10.0,-10.0,-14.0,8.0,-15.0,13.0,-16.0,23.0,-3.0,-20.0,27.0,-7.0,29.0,-7.0,25.0,-3.0,21.0,-8.0,17.0,-6.0,-7.0,20.0,-3.0,24.0,23.0,2.0,20.0,6.0,15.0,18.0,0.0,3.0,0.0,4.0,11.0,-2.0,-1.0,-6.0,2.0,2892.82
25.0,-111.0,17.0,1.0,3.0,-6.0,10.0,0.0,2.0,4.0,2.0,8.0,7.0,2.0,-2.0,8.0,-1.0,6.0,4.0,-3.0,10.0,-1.0,4.0,5.0,11.0,15.0,6.0,16.0,21.0,11.0,13.0,8.0,13.0,12.0,12.0,9.0,12.0,19.0,14.0,20.0,9.0,4.0,10.0,4.0,17.0,9.0,9.0,12.0,8.0,18.0,12.0,13.0,15.0,-1.0,19.0,-4.0,28.0,-6.0,24.0,21.0,-11.0,8.0,-14.0,33.0,-3.0,14.0,-7.0,25.0,-9.0,17.0,20.0,2.0,11.0,-10.0,-15.0,11.0,-14.0,15.0,9.0,-11.0,5.0,-8.0,2.0,4.0,0.0,4.0,-14.0,7.0,-3.0,2892.85
90.0,-96.0,5.0,-2.0,1.0,1.0,-8.0,-1.0,-9.0,-1.0,-10.0,-3.0,-11.0,-2.0,-9.0,-6.0,-6.0,0.0,-18.0,-10.0,-16.0,-1.0,-4.0,-6.0,-16.0,-16.0,-18.0,-12.0,-10.0,-19.0,-10.0,-30.0,-8.0,-27.0,-4.0,-17.0,-5.0,-20.0,-3.0,-18.0,-2.0,5.0,-17.0,6.0,-21.0,8.0,3.0,-20.0,4.0,-8.0,5.0,-17.0,-5.0,7.0,-12.0,8.0,-11.0,11.0,-12.0,-13.0,15.0,-16.0,14.0,-19.0,21.0,-15.0,13.0,-20.0,26.0,-10.0,-14.0,16.0,-9.0,18.0,13.0,-9.0,19.0,-8.0,17.0,3.0,-11.0,7.0,-3.0,-8.0,1.0,-4.0,0.0,6.0,-2.0,2892.85
90.0,-96.0,5.0,4.0,-3.0,-12.0,-3.0,1.0,-7.0,2.0,2.0,2.0,0.0,3.0,-3.0,11.0,10.0,4.0,6.0,7.0,5.0,7.0,5.0,6.0,-5.0,15.0,-4.0,14.0,19.0,-10.0,20.0,-9.0,23.0,3.0,14.0,-5.0,24.0,2.0,22.0,0.0,18.0,23.0,7.0,13.0,13.0,13.0,7.0,9.0,2.0,12.0,2.0,11.0,11.0,12.0,8.0,11.0,20.0,0.0,18.0,21.0,1.0,25.0,7.0,15.0,-11.0,23.0,-4.0,19.0,-10.0,7.0,17.0,-17.0,9.0,-6.0,-18.0,10.0,-24.0,-2.0,-3.0,-9.0,-7.0,-13.0,4.0,-1.0,-5.0,3.0,-8.0,1.0,-6.0,2892.86
-57.0,112.0,12.0,-4.0,-10.0,-8.0,-3.0,0.0,-9.0,1.0,-6.0,4.0,-2.0,12.0,-12.0,15.0,11.0,-8.0,20.0,-3.0,10.0,-5.0,-3.0,-5.0,-8.0,23.0,-6.0,26.0,17.0,-6.0,19.0,-8.0,14.0,-8.0,14.0,-4.0,8.0,-7.0,5.0,-7.0,2.0,-1.0,-1.0,0.0,-6.0,-1.0,-3.0,-41.0,3.0,-39.0,1.0,-44.0,-37.0,2.0,-38.0,4.0,-38.0,5.0,-37.0,-31.0,6.0,-33.0,6.0,-27.0,1.0,-23.0,3.0,-22.0,4.0,-20.0,-16.0,-5.0,-17.0,2.0,-2.0,-17.0,-6.0,-9.0,-9.0,-2.0,-15.0,-4.0,-19.0,-18.0,-3.0,-15.0,-9.0,-13.0,-10.0,2892.89
86.0,96.0,5.0,-2.0,-9.0,4.0,-5.0,6.0,-6.0,10.0,-2.0,5.0,-3.0,9.0,1.0,12.0,15.0,2.0,16.0,5.0,23.0,3.0,2.0,3.0,-1.0,26.0,4.0,17.0,17.0,4.0,12.0,2.0,13.0,-1.0,10.0,5.0,6.0,-6.0,7.0,-5.0,10.0,4.0,-7.0,4.0,-3.0,1.0,-23.0,-30.0,-24.0,-32.0,-20.0,-29.0,-35.0,-17.0,-35.0,-20.0,-29.0,-20.0,-29.0,-25.0,-18.0,-20.0,-13.0,-17.0,-16.0,-16.0,-15.0,-15.0,-10.0,-14.0,-8.0,-8.0,-12.0,-8.0,-7.0,-2.0,-6.0,-9.0,-10.0,-7.0,-1.0,-9.0,-11.0,-12.0,-12.0,-9.0,-9.0,-12.0,-7.0,2892.91
86.0,96.0,5.0,-9.0,-4.0,-9.0,-4.0,-7.0,-5.0,-5.0,-4.0,-9.0,-11.0,-5.0,-12.0,8.0,10.0,-16.0,7.0,-17.0,3.0,-14.0,-10.0,-20.0,-16.0,5.0,-14.0,11.0,4.0,-18.0,9.0,-13.0,9.0,-15.0,3.0,-10.0,1.0,-6.0,-1.0,-4.0,1.0,-3.0,-6.0,-2.0,-4.0,-6.0,18.0,-29.0,24.0,-26.0,21.0,-27.0,-28.0,21.0,-27.0,23.0,-27.0,21.0,-26.0,-21.0,20.0,-19.0,16.0,-17.0,16.0,-17.0,17.0,-14.0,9.0,-20.0,-9.0,8.0,-14.0,9.0,9.0,-13.0,4.0,-11.0,4.0,8.0,-13.0,4.0,-14.0,-12.0,6.0,-9.0,-1.0,-17.0,4.0,2892.92
-6.0,-96.0,15.0,-8.0,8.0,1.0,-2.0,-9.0,10.0,-12.0,15.0,2.0,1.0,0.0,-2.0,3.0,-1.0,17.0,-1.0,18.0,7.0,13.0,20.0,14.0,17.0,6.0,23.0,12.0,2.0,27.0,7.0,31.0,1.0,21.0,6.0,16.0,1.0,17.0,3.0,28.0,-6.0,-3.0,21.0,-8.0,20.0,-6.0,10.0,-5.0,4.0,-3.0,4.0,-4.0,0.0,16.0,7.0,2.0,13.0,13.0,15.0,7.0,17.0,8.0,6.0,22.0,8.0,27.0,7.0,26.0,22.0,19.0,23.0,9.0,17.0,6.0,0.0,15.0,-4.0,11.0,1.0,3.0,13.0,-3.0,9.0,9.0,-6.0,-1.0,-5.0,2.0,-15.0,2892.95
-126.0,32.0,8.0,3.0,-2.0,7.0,-12.0,-4.0,-4.0,0.0,-11.0,-2.0,-13.0,5.0,-6.0,-6.0,-4.0,-22.0,-4.0,-17.0,-8.0,-20.0,-10.0,-17.0,-20.0,-9.0,-16.0,-9.0,-10.0,-26.0,-6.0,-24.0,-8.0,-24.0,1.0,-16.0,-9.0,-18.0,3.0,-29.0,7.0,5.0,-26.0,3.0,-16.0,4.0,-8.0,-7.0,-21.0,2.0,-12.0,-14.0,-11.0,-7.0,-14.0,-14.0,-19.0,-15.0,-20.0,-27.0,-6.0,-27.0,-5.0,-18.0,-5.0,-17.0,-9.0,-19.0,-5.0,-27.0,-22.0,-1.0,-23.0,-3.0,1.0,-12.0,13.0,-24.0,2.0,-2.0,-7.0,-4.0,-1.0,-9.0,1.0,-10.0,1.0,-4.0,5.0,2892.95
