subcarrier_0,subcarrier_1,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_52,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_123,subcarrier_125,subcarrier_126,timestamp
80.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,15.0,7.0,11.0,10.0,15.0,10.0,6.0,11.0,24.0,14.0,31.0,16.0,29.0,25.0,26.0,27.0,24.0,28.0,22.0,23.0,14.0,28.0,26.0,32.0,12.0,15.0,18.0,8.0,15.0,13.0,2.0,9.0,1.0,4.0,3.0,-11.0,34.0,-13.0,-8.0,30.0,-11.0,29.0,-14.0,27.0,-13.0,22.0,-18.0,19.0,-8.0,17.0,-8.0,16.0,-16.0,13.0,-4.0,-10.0,17.0,-12.0,2.0,3.0,-8.0,-6.0,1.0,7.0,-4.0,-2.0,-18.0,-6.0,-18.0,5.0,-12.0,-10.0,2.0,10.0,-6.0,-8.0,-6.0,0.0,1441.13
94.0,-32.0,21.0,-9.0,18.0,-18.0,-12.0,18.0,-14.0,13.0,16.0,-8.0,4.0,-8.0,-4.0,-9.0,-7.0,22.0,-4.0,-9.0,-15.0,-1.0,9.0,20.0,7.0,12.0,9.0,-4.0,14.0,3.0,-10.0,7.0,12.0,-20.0,-12.0,6.0,-7.0,3.0,1.0,2.0,4.0,-7.0,-5.0,-8.0,-4.0,-9.0,-2.0,-7.0,-3.0,-6.0,-4.0,-9.0,-8.0,-14.0,2.0,-15.0,-12.0,-13.0,3.0,-17.0,1.0,-17.0,-10.0,8.0,-35.0,13.0,-13.0,16.0,-26.0,21.0,-30.0,10.0,-10.0,26.0,-41.0,12.0,-14.0,26.0,8.0,-19.0,19.0,8.0,-12.0,-18.0,-14.0,20.0,1441.15
94.0,-32.0,4.0,-22.0,2.0,-29.0,-18.0,4.0,-20.0,-6.0,-1.0,-22.0,-7.0,-8.0,-6.0,-15.0,-16.0,-8.0,-16.0,-3.0,-17.0,-9.0,-4.0,-14.0,-9.0,-7.0,1.0,-4.0,-3.0,-10.0,5.0,-5.0,-3.0,8.0,6.0,4.0,7.0,0.0,10.0,4.0,3.0,2.0,7.0,-1.0,-7.0,1.0,1.0,-7.0,-2.0,-14.0,7.0,-11.0,7.0,-14.0,7.0,-14.0,6.0,-14.0,3.0,-20.0,16.0,-21.0,-28.0,10.0,-21.0,14.0,-26.0,12.0,-28.0,22.0,-31.0,21.0,-23.0,20.0,-32.0,18.0,-39.0,16.0,15.0,-30.0,19.0,15.0,-34.0,-29.0,-29.0,7.0,1441.15
94.0,-32.0,11.0,-9.0,21.0,-18.0,-16.0,-3.0,-17.0,9.0,14.0,-22.0,7.0,-19.0,4.0,-19.0,-11.0,2.0,-2.0,13.0,-17.0,11.0,-13.0,-1.0,-1.0,11.0,6.0,-1.0,4.0,-6.0,-1.0,-1.0,9.0,-8.0,-4.0,7.0,-1.0,10.0,-4.0,8.0,-4.0,5.0,-11.0,3.0,-7.0,-3.0,4.0,-9.0,5.0,-14.0,5.0,-11.0,4.0,-8.0,5.0,-8.0,9.0,-8.0,12.0,-17.0,14.0,-18.0,-17.0,17.0,-20.0,21.0,-13.0,20.0,-27.0,18.0,-21.0,18.0,-19.0,26.0,-18.0,26.0,-26.0,29.0,31.0,-17.0,27.0,31.0,-24.0,-22.0,-22.0,24.0,1441.16
94.0,-32.0,-24.0,3.0,-25.0,4.0,0.0,-11.0,6.0,-15.0,-16.0,6.0,-9.0,7.0,-13.0,3.0,10.0,-17.0,7.0,-9.0,2.0,-5.0,4.0,-10.0,2.0,-8.0,-1.0,11.0,-7.0,-8.0,-6.0,-5.0,-7.0,2.0,-1.0,-2.0,0.0,-5.0,0.0,-4.0,-1.0,-7.0,2.0,-9.0,4.0,-3.0,-6.0,2.0,-9.0,-4.0,-7.0,6.0,-13.0,3.0,-15.0,1.0,-18.0,4.0,-21.0,1.0,-17.0,3.0,3.0,-25.0,1.0,-27.0,-2.0,-29.0,2.0,-26.0,-3.0,-37.0,-6.0,-30.0,-5.0,-34.0,-5.0,-36.0,-36.0,-12.0,-30.0,-21.0,0.0,-1.0,1.0,-23.0,1441.16
94.0,-32.0,-25.0,-24.0,-17.0,-12.0,-10.0,-18.0,-2.0,-25.0,-14.0,-8.0,-20.0,0.0,-16.0,-4.0,2.0,-10.0,5.0,-13.0,1.0,-9.0,4.0,-12.0,5.0,-10.0,-5.0,-7.0,-8.0,6.0,-8.0,3.0,-7.0,0.0,3.0,-15.0,2.0,-2.0,3.0,-5.0,8.0,-9.0,11.0,-4.0,-7.0,-6.0,-8.0,-15.0,-11.0,-9.0,-9.0,-14.0,-1.0,-9.0,-8.0,-11.0,-9.0,-5.0,-10.0,-12.0,-7.0,-16.0,-20.0,-10.0,-16.0,-14.0,-20.0,-22.0,-22.0,-17.0,-29.0,-9.0,-29.0,-13.0,-36.0,-13.0,-27.0,-12.0,-23.0,-30.0,-8.0,-18.0,-28.0,-18.0,-27.0,-19.0,1441.17
94.0,-32.0,21.0,-15.0,25.0,-21.0,-13.0,16.0,-13.0,13.0,14.0,-10.0,8.0,-12.0,6.0,-16.0,-11.0,5.0,-4.0,9.0,-12.0,6.0,-8.0,-1.0,2.0,5.0,5.0,-7.0,1.0,-6.0,4.0,-5.0,1.0,-5.0,-5.0,5.0,4.0,11.0,2.0,7.0,1.0,4.0,-10.0,7.0,-6.0,11.0,6.0,-8.0,8.0,-4.0,9.0,-13.0,10.0,-11.0,14.0,-14.0,18.0,-10.0,5.0,-6.0,18.0,-10.0,-12.0,19.0,-18.0,26.0,-16.0,31.0,-16.0,31.0,-14.0,38.0,-15.0,31.0,-7.0,38.0,-10.0,38.0,31.0,-15.0,37.0,24.0,-13.0,-14.0,-20.0,23.0,1441.17
124.0,-64.0,25.0,-1.0,18.0,2.0,1.0,25.0,-3.0,20.0,17.0,-13.0,14.0,-7.0,13.0,-3.0,-14.0,13.0,-5.0,12.0,-3.0,11.0,-7.0,11.0,-2.0,8.0,4.0,5.0,6.0,-1.0,-3.0,2.0,4.0,0.0,4.0,-2.0,2.0,1.0,-8.0,9.0,0.0,1.0,-4.0,8.0,3.0,8.0,4.0,8.0,9.0,1.0,8.0,4.0,10.0,6.0,13.0,2.0,22.0,10.0,11.0,10.0,18.0,3.0,8.0,26.0,10.0,23.0,6.0,29.0,16.0,32.0,14.0,35.0,11.0,30.0,15.0,27.0,17.0,30.0,34.0,13.0,28.0,29.0,15.0,11.0,11.0,33.0,1441.18
-122.0,96.0,-9.0,-25.0,-12.0,-24.0,-14.0,-10.0,-16.0,-4.0,-2.0,-12.0,-6.0,-11.0,-11.0,-8.0,-15.0,-6.0,-10.0,-8.0,-11.0,-10.0,-10.0,-14.0,-13.0,-4.0,3.0,-10.0,0.0,-7.0,2.0,-4.0,-3.0,9.0,-3.0,4.0,-4.0,-1.0,-8.0,0.0,5.0,5.0,4.0,-7.0,-10.0,-12.0,-6.0,-6.0,-14.0,-12.0,-2.0,-10.0,-7.0,-14.0,-10.0,-11.0,1.0,-17.0,-13.0,-17.0,-8.0,-27.0,-16.0,-10.0,-19.0,0.0,-27.0,-15.0,-33.0,-9.0,-35.0,-7.0,-32.0,-5.0,-41.0,-4.0,-34.0,-12.0,2.0,-38.0,-10.0,-13.0,-32.0,-30.0,-32.0,-10.0,1441.18
-102.0,-96.0,-26.0,-8.0,-19.0,0.0,-2.0,-21.0,9.0,-19.0,-12.0,-3.0,-19.0,-1.0,-12.0,3.0,-1.0,-16.0,3.0,-3.0,3.0,-15.0,-6.0,-18.0,-2.0,-5.0,-9.0,-1.0,-3.0,-7.0,3.0,-2.0,-1.0,4.0,4.0,-5.0,3.0,-8.0,6.0,0.0,12.0,-3.0,2.0,-10.0,5.0,-5.0,-7.0,5.0,-14.0,2.0,-6.0,0.0,-14.0,-1.0,-10.0,-4.0,-18.0,2.0,-23.0,4.0,-26.0,-5.0,6.0,-22.0,0.0,-25.0,-7.0,-35.0,-3.0,-31.0,-13.0,-29.0,-13.0,-29.0,-14.0,-31.0,-11.0,-34.0,-28.0,-5.0,-27.0,-37.0,-15.0,0.0,-7.0,-34.0,1441.19
