subcarrier_0,subcarrier_1,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_52,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_123,subcarrier_125,subcarrier_126,timestamp
98.0,32.0,11.0,-18.0,6.0,-15.0,-11.0,0.0,-19.0,-2.0,-3.0,-21.0,-5.0,-17.0,3.0,-19.0,-9.0,-4.0,-11.0,-1.0,-7.0,3.0,-9.0,-8.0,-9.0,-4.0,-4.0,-15.0,-4.0,-4.0,3.0,0.0,-7.0,1.0,4.0,3.0,7.0,-1.0,0.0,1.0,-1.0,4.0,1.0,2.0,-13.0,-8.0,-4.0,-17.0,-6.0,-12.0,-1.0,-13.0,-3.0,-16.0,-3.0,-11.0,1.0,-19.0,-1.0,-30.0,3.0,-18.0,-17.0,3.0,-29.0,3.0,-32.0,17.0,-34.0,11.0,-27.0,13.0,-38.0,15.0,-22.0,21.0,-34.0,12.0,6.0,-29.0,18.0,14.0,-34.0,-26.0,-31.0,7.0,1442.93
98.0,32.0,6.0,0.0,14.0,-1.0,10.0,9.0,7.0,2.0,3.0,18.0,-7.0,18.0,-3.0,18.0,9.0,-16.0,23.0,-2.0,20.0,-9.0,26.0,-7.0,33.0,-15.0,-16.0,39.0,-20.0,37.0,-12.0,29.0,26.0,-18.0,-16.0,21.0,-22.0,14.0,-20.0,7.0,-23.0,7.0,-12.0,-11.0,-6.0,-16.0,-9.0,-2.0,-10.0,-2.0,-12.0,2.0,-9.0,-6.0,-14.0,0.0,-10.0,6.0,-8.0,8.0,-7.0,7.0,24.0,1.0,16.0,4.0,24.0,1.0,17.0,11.0,20.0,7.0,18.0,7.0,17.0,13.0,8.0,17.0,31.0,15.0,15.0,9.0,13.0,6.0,2.0,15.0,1442.94
80.0,2.0,-6.0,6.0,-3.0,9.0,16.0,-10.0,17.0,-11.0,-8.0,21.0,-9.0,23.0,-8.0,28.0,31.0,-14.0,33.0,-7.0,32.0,-5.0,40.0,-7.0,37.0,-7.0,-5.0,33.0,-3.0,27.0,-7.0,30.0,26.0,2.0,0.0,12.0,0.0,12.0,4.0,9.0,1.0,-3.0,6.0,-21.0,-28.0,-23.0,-20.0,-28.0,-21.0,-30.0,-18.0,-29.0,-15.0,-26.0,-10.0,-27.0,-13.0,-21.0,-9.0,-22.0,-7.0,-20.0,-17.0,-2.0,-13.0,0.0,-8.0,0.0,-8.0,8.0,-7.0,9.0,-4.0,9.0,-1.0,7.0,-4.0,11.0,10.0,-1.0,3.0,0.0,0.0,3.0,2.0,1.0,1442.95
16.0,2.0,4.0,-13.0,6.0,-11.0,-9.0,10.0,-12.0,10.0,13.0,-21.0,10.0,-23.0,11.0,-26.0,-26.0,14.0,-31.0,12.0,-36.0,10.0,-32.0,12.0,-34.0,10.0,6.0,-33.0,8.0,-30.0,6.0,-25.0,-25.0,5.0,4.0,-16.0,-2.0,-11.0,-2.0,-7.0,-5.0,-6.0,-8.0,27.0,18.0,30.0,29.0,19.0,26.0,16.0,24.0,19.0,22.0,19.0,21.0,17.0,20.0,17.0,13.0,18.0,13.0,9.0,11.0,6.0,9.0,3.0,14.0,-5.0,3.0,-8.0,2.0,-10.0,5.0,-11.0,2.0,-11.0,5.0,-11.0,-10.0,-1.0,-6.0,-10.0,-1.0,-2.0,-2.0,-4.0,1442.95
-74.0,96.0,-4.0,10.0,-3.0,13.0,17.0,-8.0,9.0,-6.0,-7.0,26.0,-7.0,24.0,-5.0,28.0,30.0,-3.0,31.0,-1.0,35.0,0.0,36.0,1.0,35.0,-3.0,5.0,35.0,3.0,29.0,2.0,29.0,26.0,2.0,5.0,17.0,1.0,11.0,4.0,7.0,3.0,3.0,2.0,-29.0,-21.0,-28.0,-22.0,-23.0,-28.0,-20.0,-21.0,-19.0,-24.0,-18.0,-20.0,-18.0,-17.0,-20.0,-12.0,-15.0,-8.0,-16.0,-15.0,1.0,-13.0,-2.0,-8.0,3.0,-6.0,8.0,-8.0,2.0,-4.0,13.0,1.0,12.0,-7.0,11.0,6.0,-3.0,2.0,9.0,-2.0,0.0,0.0,3.0,1442.96
-54.0,-96.0,-9.0,-9.0,-6.0,-13.0,-12.0,-5.0,-16.0,-8.0,-13.0,-23.0,-10.0,-20.0,-20.0,-23.0,-33.0,-17.0,-25.0,-22.0,-24.0,-18.0,-30.0,-19.0,-25.0,-25.0,-22.0,-21.0,-22.0,-21.0,-19.0,-18.0,-19.0,-19.0,-12.0,-12.0,-7.0,-6.0,-6.0,-4.0,-5.0,-2.0,-2.0,35.0,-17.0,30.0,31.0,-12.0,29.0,-15.0,32.0,-10.0,25.0,-12.0,26.0,-9.0,24.0,-10.0,21.0,-6.0,10.0,-3.0,-2.0,9.0,5.0,10.0,7.0,8.0,6.0,0.0,9.0,-6.0,9.0,-1.0,7.0,-6.0,5.0,-3.0,0.0,4.0,-7.0,-4.0,8.0,6.0,2.0,0.0,1442.96
-91.0,80.0,5.0,-1.0,9.0,0.0,1.0,15.0,7.0,19.0,20.0,3.0,25.0,6.0,27.0,4.0,4.0,32.0,6.0,35.0,2.0,33.0,1.0,35.0,0.0,32.0,33.0,0.0,29.0,-1.0,28.0,-3.0,-4.0,19.0,15.0,0.0,11.0,-3.0,7.0,-3.0,3.0,-7.0,-5.0,-11.0,30.0,-13.0,-15.0,27.0,-16.0,30.0,-16.0,29.0,-13.0,29.0,-12.0,23.0,-13.0,21.0,-13.0,16.0,-12.0,12.0,13.0,-10.0,6.0,-10.0,-2.0,-9.0,-5.0,-4.0,-2.0,-7.0,-9.0,-3.0,-7.0,-2.0,-8.0,-3.0,-6.0,-5.0,-3.0,-2.0,-4.0,-4.0,-3.0,1.0,1442.97
-71.0,-112.0,-6.0,-3.0,-4.0,-9.0,-9.0,-8.0,-17.0,-15.0,-14.0,-16.0,-19.0,-18.0,-24.0,-17.0,-18.0,-28.0,-22.0,-27.0,-20.0,-28.0,-20.0,-29.0,-21.0,-32.0,-25.0,-19.0,-28.0,-14.0,-26.0,-16.0,-15.0,-20.0,-14.0,-9.0,-13.0,-5.0,-9.0,-4.0,-4.0,1.0,1.0,18.0,-31.0,14.0,19.0,-30.0,18.0,-28.0,18.0,-29.0,17.0,-26.0,17.0,-20.0,15.0,-18.0,12.0,-15.0,13.0,-9.0,-8.0,10.0,-3.0,9.0,6.0,5.0,2.0,1.0,1.0,4.0,8.0,-1.0,11.0,-1.0,11.0,1.0,-1.0,12.0,1.0,3.0,8.0,4.0,0.0,-5.0,1442.97
-87.0,-111.0,-11.0,-5.0,-19.0,-2.0,0.0,-18.0,-2.0,-20.0,-30.0,3.0,-26.0,10.0,-35.0,6.0,16.0,-31.0,9.0,-35.0,16.0,-38.0,18.0,-39.0,17.0,-34.0,-39.0,21.0,-23.0,18.0,-27.0,15.0,18.0,-20.0,-16.0,11.0,-14.0,9.0,-10.0,5.0,-5.0,2.0,1.0,-9.0,-39.0,-4.0,-6.0,-39.0,-2.0,-33.0,-2.0,-39.0,1.0,-34.0,1.0,-35.0,7.0,-27.0,3.0,-27.0,5.0,-22.0,-12.0,3.0,-13.0,1.0,-3.0,2.0,-3.0,2.0,-3.0,9.0,5.0,13.0,6.0,8.0,10.0,12.0,5.0,7.0,2.0,7.0,1.0,2.0,4.0,0.0,1442.98
-67.0,-47.0,-11.0,0.0,-9.0,-3.0,-3.0,-19.0,-2.0,-20.0,-22.0,1.0,-27.0,1.0,-29.0,1.0,4.0,-32.0,1.0,-32.0,5.0,-35.0,2.0,-35.0,4.0,-34.0,-29.0,11.0,-31.0,11.0,-27.0,9.0,8.0,-22.0,-18.0,5.0,-10.0,5.0,-6.0,6.0,-4.0,3.0,4.0,-3.0,-35.0,-3.0,0.0,-34.0,0.0,-32.0,-1.0,-32.0,-1.0,-30.0,1.0,-30.0,1.0,-24.0,8.0,-19.0,6.0,-16.0,-13.0,9.0,-8.0,6.0,-2.0,6.0,0.0,8.0,1.0,6.0,3.0,10.0,8.0,6.0,5.0,4.0,4.0,10.0,8.0,4.0,5.0,2.0,1.0,2.0,1442.98
-128.0,0.0,-7.0,-6.0,-7.0,-4.0,-8.0,-11.0,-10.0,-15.0,-17.0,-12.0,-21.0,-12.0,-21.0,-11.0,-11.0,-31.0,-12.0,-29.0,-13.0,-31.0,-11.0,-36.0,-8.0,-29.0,-26.0,-12.0,-26.0,-5.0,-24.0,-7.0,-4.0,-21.0,-16.0,-2.0,-9.0,-1.0,-8.0,0.0,-6.0,2.0,-1.0,18.0,-27.0,16.0,23.0,-21.0,23.0,-21.0,23.0,-21.0,18.0,-20.0,16.0,-11.0,15.0,-16.0,15.0,-9.0,13.0,-9.0,-7.0,8.0,-2.0,8.0,3.0,3.0,3.0,4.0,3.0,2.0,6.0,1.0,7.0,-1.0,6.0,0.0,-1.0,9.0,6.0,-1.0,4.0,6.0,4.0,4.0,1442.99
18.0,35.0,3.0,-8.0,2.0,-11.0,-6.0,10.0,-14.0,9.0,7.0,-20.0,8.0,-26.0,12.0,-24.0,-26.0,11.0,-30.0,15.0,-33.0,13.0,-39.0,9.0,-33.0,5.0,7.0,-32.0,3.0,-29.0,3.0,-25.0,-26.0,4.0,-2.0,-18.0,-1.0,-14.0,-3.0,-8.0,-3.0,-8.0,-7.0,31.0,17.0,30.0,30.0,20.0,27.0,20.0,24.0,17.0,23.0,17.0,23.0,15.0,17.0,13.0,12.0,12.0,8.0,10.0,10.0,3.0,11.0,0.0,12.0,-5.0,6.0,-11.0,9.0,-7.0,1.0,-12.0,4.0,-10.0,3.0,-13.0,-9.0,4.0,-4.0,-10.0,1.0,5.0,-5.0,7.0,1442.99
98.0,32.0,4.0,1.0,9.0,-6.0,-7.0,11.0,-12.0,15.0,21.0,-18.0,17.0,-16.0,28.0,-17.0,-23.0,24.0,-28.0,18.0,-25.0,14.0,-30.0,24.0,-26.0,18.0,27.0,-26.0,19.0,-26.0,8.0,-29.0,-25.0,13.0,12.0,-10.0,-2.0,-14.0,-3.0,-4.0,-4.0,-6.0,-4.0,9.0,33.0,7.0,5.0,33.0,6.0,30.0,4.0,29.0,5.0,28.0,1.0,29.0,0.0,24.0,-2.0,19.0,-2.0,17.0,7.0,-6.0,7.0,-8.0,8.0,-11.0,-1.0,-12.0,2.0,-10.0,-4.0,-11.0,-7.0,-9.0,-9.0,-10.0,-11.0,-3.0,-10.0,-7.0,-7.0,-4.0,-6.0,6.0,1443.0
-128.0,0.0,8.0,-19.0,-2.0,-4.0,2.0,10.0,2.0,11.0,11.0,0.0,18.0,10.0,12.0,0.0,14.0,11.0,16.0,19.0,23.0,9.0,26.0,10.0,33.0,17.0,9.0,31.0,6.0,26.0,-3.0,29.0,26.0,-3.0,-3.0,19.0,-6.0,18.0,-8.0,12.0,-12.0,8.0,-15.0,13.0,6.0,10.0,12.0,2.0,8.0,8.0,21.0,4.0,8.0,1.0,11.0,-3.0,15.0,-1.0,6.0,-7.0,19.0,-4.0,-15.0,14.0,-7.0,11.0,-18.0,11.0,-15.0,11.0,-15.0,15.0,-14.0,6.0,-21.0,8.0,-29.0,2.0,6.0,-24.0,-6.0,-5.0,-19.0,-18.0,-24.0,1.0,1443.01
114.0,32.0,10.0,16.0,16.0,14.0,18.0,11.0,17.0,17.0,9.0,9.0,9.0,6.0,9.0,10.0,10.0,4.0,10.0,4.0,5.0,6.0,9.0,5.0,-1.0,7.0,4.0,0.0,6.0,4.0,6.0,2.0,0.0,0.0,-1.0,-6.0,-7.0,1.0,-3.0,0.0,-6.0,-2.0,-8.0,4.0,-1.0,8.0,5.0,1.0,15.0,2.0,11.0,5.0,11.0,4.0,6.0,8.0,10.0,4.0,11.0,8.0,15.0,15.0,10.0,19.0,11.0,15.0,11.0,16.0,18.0,25.0,11.0,24.0,19.0,17.0,20.0,24.0,22.0,15.0,24.0,20.0,18.0,19.0,27.0,10.0,22.0,18.0,1443.01
98.0,32.0,4.0,7.0,1.0,13.0,3.0,-9.0,2.0,-8.0,-5.0,5.0,-19.0,11.0,-20.0,6.0,2.0,-23.0,4.0,-26.0,-1.0,-24.0,5.0,-24.0,3.0,-27.0,-29.0,-6.0,-35.0,1.0,-30.0,1.0,-7.0,-29.0,-30.0,-7.0,-19.0,-11.0,-12.0,-16.0,-19.0,-18.0,-11.0,-12.0,-1.0,-13.0,-14.0,-1.0,-16.0,1.0,-16.0,5.0,-15.0,-2.0,-15.0,4.0,-16.0,10.0,-8.0,13.0,-5.0,15.0,14.0,-2.0,17.0,-7.0,8.0,3.0,33.0,-1.0,23.0,0.0,27.0,0.0,23.0,16.0,29.0,6.0,20.0,16.0,18.0,18.0,12.0,12.0,15.0,5.0,1443.02
98.0,32.0,-5.0,-11.0,-5.0,-6.0,2.0,12.0,-2.0,8.0,1.0,-9.0,15.0,-14.0,7.0,-15.0,-13.0,20.0,-23.0,20.0,-18.0,29.0,-22.0,29.0,-15.0,30.0,25.0,-21.0,25.0,-12.0,25.0,-3.0,-6.0,24.0,16.0,4.0,16.0,7.0,23.0,10.0,11.0,9.0,8.0,8.0,-8.0,-1.0,2.0,-11.0,6.0,-15.0,-1.0,-11.0,3.0,-17.0,6.0,-21.0,-5.0,-22.0,1.0,-20.0,-11.0,-22.0,-18.0,-15.0,-16.0,-17.0,-17.0,-14.0,-8.0,-29.0,-15.0,-18.0,-8.0,-34.0,-12.0,-16.0,-4.0,-24.0,-28.0,-11.0,-23.0,-26.0,-3.0,9.0,-11.0,-15.0,1443.02
94.0,-32.0,-22.0,-13.0,-6.0,-14.0,-22.0,-6.0,-5.0,-20.0,-22.0,-13.0,-12.0,-6.0,-14.0,-1.0,-1.0,-2.0,-1.0,-8.0,2.0,-5.0,-11.0,0.0,0.0,-16.0,-3.0,-15.0,-12.0,-3.0,0.0,-2.0,-7.0,-1.0,4.0,-10.0,-3.0,5.0,2.0,0.0,17.0,-1.0,11.0,-12.0,7.0,-12.0,-10.0,-7.0,-11.0,-10.0,-16.0,-6.0,-13.0,-16.0,-11.0,-6.0,-10.0,0.0,-10.0,-17.0,-10.0,-26.0,-8.0,-18.0,-18.0,-16.0,-19.0,-13.0,-37.0,-21.0,-26.0,-22.0,-34.0,-25.0,-35.0,-17.0,-32.0,-25.0,-21.0,-34.0,-27.0,-22.0,-25.0,-27.0,-24.0,-26.0,1443.03
94.0,-32.0,-4.0,-29.0,-4.0,-28.0,-18.0,-2.0,-25.0,-4.0,-3.0,-21.0,4.0,-14.0,-1.0,-15.0,-21.0,-12.0,-13.0,-14.0,-6.0,-10.0,-10.0,2.0,-8.0,-1.0,6.0,-12.0,-2.0,4.0,5.0,-5.0,-2.0,-6.0,7.0,-9.0,-2.0,-2.0,8.0,1.0,7.0,2.0,1.0,1.0,-9.0,-4.0,-12.0,-7.0,4.0,-8.0,-5.0,-11.0,-4.0,-16.0,-10.0,-9.0,-5.0,-7.0,2.0,-19.0,-9.0,-26.0,-31.0,4.0,-19.0,-3.0,-32.0,-3.0,-34.0,-4.0,-27.0,5.0,-36.0,1.0,-34.0,6.0,-29.0,-1.0,0.0,-25.0,-3.0,8.0,-26.0,-28.0,-33.0,1.0,1443.04
124.0,-64.0,0.0,5.0,1.0,12.0,11.0,0.0,17.0,6.0,0.0,20.0,6.0,22.0,5.0,26.0,30.0,9.0,26.0,16.0,29.0,15.0,30.0,14.0,29.0,14.0,13.0,27.0,10.0,21.0,11.0,21.0,19.0,10.0,9.0,12.0,8.0,8.0,7.0,4.0,2.0,-2.0,-2.0,-33.0,-1.0,-33.0,-35.0,-3.0,-36.0,-5.0,-31.0,-6.0,-31.0,-4.0,-28.0,-7.0,-24.0,-6.0,-19.0,-5.0,-18.0,-7.0,-8.0,-11.0,-8.0,-7.0,-8.0,-2.0,-11.0,1.0,-10.0,0.0,-7.0,7.0,-8.0,5.0,-7.0,3.0,12.0,-7.0,4.0,2.0,-5.0,-3.0,-1.0,1.0,1443.05
-128.0,0.0,4.0,-4.0,9.0,-5.0,-7.0,16.0,-8.0,14.0,19.0,-14.0,19.0,-20.0,20.0,-25.0,-28.0,22.0,-28.0,21.0,-30.0,20.0,-28.0,22.0,-34.0,20.0,19.0,-29.0,19.0,-33.0,12.0,-27.0,-25.0,13.0,6.0,-16.0,5.0,-9.0,-1.0,-9.0,-3.0,-1.0,-7.0,13.0,31.0,12.0,8.0,36.0,9.0,34.0,10.0,30.0,5.0,31.0,4.0,31.0,3.0,25.0,4.0,26.0,0.0,16.0,20.0,-3.0,9.0,-6.0,5.0,-7.0,9.0,-7.0,1.0,-12.0,-3.0,-12.0,-1.0,-8.0,-7.0,-9.0,-10.0,-7.0,-8.0,-6.0,-4.0,-4.0,-4.0,1.0,1443.05
94.0,-32.0,9.0,1.0,14.0,6.0,6.0,16.0,7.0,21.0,22.0,5.0,18.0,2.0,25.0,6.0,-2.0,31.0,4.0,28.0,0.0,28.0,-2.0,33.0,-6.0,34.0,34.0,-2.0,23.0,-8.0,23.0,-3.0,-6.0,17.0,18.0,-7.0,10.0,-3.0,10.0,-2.0,2.0,0.0,-9.0,-19.0,31.0,-18.0,-17.0,24.0,-17.0,31.0,-17.0,23.0,-20.0,23.0,-18.0,16.0,-13.0,21.0,-14.0,13.0,-8.0,8.0,9.0,-14.0,3.0,-9.0,2.0,-9.0,-3.0,-4.0,-4.0,-9.0,-7.0,-4.0,-7.0,-4.0,-9.0,-1.0,-4.0,-9.0,2.0,6.0,-11.0,-4.0,-3.0,-2.0,1443.06
94.0,-32.0,1.0,11.0,0.0,14.0,13.0,6.0,18.0,7.0,11.0,24.0,10.0,26.0,9.0,30.0,27.0,16.0,25.0,22.0,33.0,20.0,26.0,21.0,30.0,21.0,23.0,28.0,18.0,23.0,17.0,23.0,17.0,12.0,10.0,12.0,11.0,6.0,6.0,1.0,2.0,-7.0,-1.0,-35.0,-1.0,-38.0,-39.0,-2.0,-35.0,-2.0,-33.0,-3.0,-34.0,-3.0,-36.0,-2.0,-26.0,-7.0,-17.0,-8.0,-13.0,-13.0,-4.0,-11.0,-9.0,-7.0,-8.0,-2.0,-11.0,1.0,-5.0,1.0,-10.0,10.0,-5.0,5.0,-8.0,10.0,2.0,-5.0,2.0,8.0,-5.0,-1.0,-1.0,3.0,1443.06
124.0,-64.0,-12.0,0.0,-7.0,6.0,3.0,-16.0,10.0,-16.0,-14.0,18.0,-15.0,15.0,-20.0,19.0,23.0,-22.0,17.0,-21.0,29.0,-24.0,28.0,-15.0,26.0,-21.0,-18.0,26.0,-16.0,26.0,-14.0,24.0,26.0,-10.0,-6.0,14.0,-3.0,9.0,0.0,9.0,2.0,-1.0,13.0,-5.0,-33.0,0.0,-1.0,-34.0,-1.0,-30.0,-2.0,-30.0,2.0,-32.0,-2.0,-33.0,-1.0,-25.0,3.0,-21.0,5.0,-20.0,-15.0,1.0,-11.0,2.0,-10.0,9.0,-8.0,10.0,0.0,11.0,2.0,9.0,8.0,7.0,8.0,1.0,7.0,5.0,9.0,1.0,5.0,4.0,-2.0,2.0,1443.07
94.0,-32.0,0.0,5.0,5.0,12.0,5.0,12.0,15.0,12.0,11.0,14.0,19.0,17.0,23.0,20.0,12.0,25.0,14.0,25.0,19.0,26.0,17.0,25.0,17.0,22.0,25.0,15.0,24.0,9.0,26.0,16.0,7.0,18.0,12.0,6.0,12.0,0.0,8.0,-1.0,2.0,-3.0,-2.0,-30.0,22.0,-24.0,-26.0,19.0,-32.0,18.0,-26.0,15.0,-27.0,17.0,-26.0,13.0,-19.0,8.0,-23.0,3.0,-18.0,9.0,1.0,-13.0,1.0,-7.0,0.0,-8.0,-9.0,-7.0,-8.0,-4.0,-9.0,2.0,-10.0,6.0,-13.0,4.0,-1.0,-8.0,4.0,-3.0,-10.0,-3.0,-3.0,5.0,1443.07
114.0,32.0,12.0,32.0,9.0,24.0,23.0,7.0,20.0,2.0,4.0,16.0,4.0,7.0,10.0,15.0,11.0,5.0,7.0,4.0,7.0,4.0,8.0,7.0,4.0,-2.0,5.0,0.0,12.0,4.0,2.0,5.0,8.0,2.0,0.0,-1.0,2.0,4.0,-2.0,6.0,0.0,1.0,-7.0,-1.0,11.0,-10.0,-8.0,13.0,-5.0,6.0,-9.0,12.0,-7.0,14.0,-6.0,8.0,-8.0,15.0,-6.0,19.0,-6.0,21.0,16.0,-11.0,15.0,-10.0,27.0,-5.0,36.0,-11.0,29.0,-12.0,30.0,-11.0,31.0,-6.0,29.0,-11.0,-10.0,35.0,-5.0,-6.0,26.0,25.0,24.0,-8.0,1443.1
94.0,-32.0,7.0,10.0,0.0,7.0,11.0,1.0,13.0,-5.0,-11.0,4.0,-14.0,14.0,-17.0,14.0,15.0,-19.0,23.0,-22.0,15.0,-25.0,25.0,-27.0,14.0,-32.0,-23.0,23.0,-31.0,18.0,-24.0,15.0,7.0,-25.0,-23.0,1.0,-17.0,-4.0,-22.0,-9.0,-15.0,-14.0,-13.0,-21.0,0.0,-14.0,-5.0,5.0,-7.0,3.0,-10.0,3.0,-12.0,15.0,-7.0,16.0,-3.0,21.0,-10.0,16.0,0.0,21.0,4.0,4.0,16.0,0.0,23.0,8.0,24.0,8.0,15.0,12.0,20.0,14.0,16.0,22.0,21.0,14.0,25.0,19.0,23.0,24.0,12.0,9.0,8.0,19.0,1443.11
98.0,32.0,-5.0,12.0,-12.0,9.0,-1.0,-21.0,-2.0,-18.0,-20.0,-5.0,-27.0,-3.0,-25.0,-7.0,1.0,-23.0,-7.0,-30.0,-4.0,-31.0,-15.0,-30.0,-6.0,-25.0,-38.0,-14.0,-24.0,-14.0,-23.0,-15.0,-15.0,-18.0,-25.0,-12.0,-17.0,-16.0,-9.0,-22.0,-6.0,-14.0,-3.0,-5.0,-13.0,-13.0,-6.0,-10.0,-3.0,-10.0,-14.0,-12.0,-12.0,-1.0,-6.0,0.0,-18.0,2.0,-27.0,-1.0,-22.0,-5.0,8.0,-14.0,9.0,-20.0,15.0,-15.0,10.0,-8.0,16.0,-9.0,17.0,-10.0,20.0,-10.0,27.0,-20.0,-7.0,30.0,-9.0,-4.0,28.0,16.0,21.0,-1.0,1443.12
94.0,-32.0,-18.0,-8.0,-21.0,-7.0,-3.0,-20.0,-6.0,-20.0,-20.0,3.0,-13.0,1.0,-9.0,12.0,5.0,-14.0,3.0,-9.0,5.0,-4.0,0.0,-7.0,-1.0,-6.0,-9.0,-2.0,-9.0,0.0,-6.0,-7.0,-1.0,0.0,-7.0,-4.0,2.0,-13.0,0.0,-6.0,6.0,-5.0,8.0,-12.0,0.0,-10.0,-10.0,1.0,-13.0,-3.0,-16.0,-8.0,-17.0,-5.0,-13.0,-8.0,-16.0,-6.0,-20.0,-7.0,-18.0,-14.0,-7.0,-22.0,-11.0,-18.0,-20.0,-27.0,-13.0,-32.0,-17.0,-28.0,-22.0,-25.0,-27.0,-34.0,-27.0,-22.0,-28.0,-20.0,-28.0,-20.0,-16.0,-16.0,-17.0,-28.0,1443.12
-34.0,-32.0,12.0,11.0,19.0,18.0,11.0,19.0,7.0,17.0,15.0,-1.0,16.0,2.0,16.0,-1.0,0.0,9.0,-2.0,4.0,2.0,10.0,-1.0,12.0,7.0,4.0,7.0,7.0,7.0,-4.0,1.0,-5.0,6.0,8.0,-2.0,6.0,-11.0,4.0,-6.0,2.0,1.0,-2.0,-3.0,6.0,-2.0,4.0,5.0,-2.0,6.0,8.0,5.0,4.0,15.0,5.0,14.0,0.0,18.0,7.0,19.0,9.0,9.0,11.0,7.0,18.0,18.0,23.0,18.0,26.0,25.0,20.0,18.0,29.0,14.0,22.0,28.0,24.0,20.0,24.0,26.0,27.0,29.0,19.0,20.0,17.0,21.0,23.0,1443.13
-91.0,80.0,-14.0,6.0,-9.0,5.0,4.0,-10.0,2.0,-14.0,-14.0,-7.0,-15.0,-9.0,-16.0,2.0,-4.0,-29.0,-7.0,-21.0,-9.0,-28.0,-9.0,-30.0,-10.0,-24.0,-31.0,-10.0,-25.0,-7.0,-27.0,-14.0,-14.0,-27.0,-18.0,-8.0,-9.0,-15.0,-10.0,-14.0,-5.0,-18.0,2.0,1.0,-11.0,7.0,4.0,-13.0,6.0,-18.0,-5.0,-14.0,-5.0,-14.0,-15.0,-13.0,-8.0,-1.0,-13.0,1.0,-17.0,-5.0,-9.0,-13.0,-7.0,-17.0,2.0,-18.0,9.0,-23.0,13.0,-16.0,10.0,-18.0,13.0,-21.0,18.0,-20.0,-20.0,18.0,-15.0,1.0,18.0,10.0,9.0,-10.0,1443.15
-71.0,-112.0,-9.0,3.0,-15.0,-5.0,2.0,-4.0,-10.0,3.0,-4.0,-17.0,-17.0,-28.0,1.0,-22.0,-21.0,-2.0,-27.0,7.0,-33.0,-5.0,-35.0,-9.0,-32.0,-4.0,-1.0,-30.0,-6.0,-38.0,7.0,-31.0,-26.0,10.0,8.0,-25.0,9.0,-23.0,11.0,-20.0,-1.0,-10.0,15.0,6.0,1.0,11.0,1.0,-6.0,16.0,-4.0,13.0,-2.0,7.0,-9.0,0.0,-27.0,8.0,-15.0,5.0,-14.0,1.0,-19.0,-10.0,-9.0,-17.0,-4.0,-14.0,-15.0,-23.0,-21.0,-29.0,-15.0,-21.0,-19.0,-13.0,-26.0,0.0,-19.0,-24.0,-3.0,-25.0,-22.0,3.0,-8.0,2.0,-14.0,1443.16
18.0,33.0,0.0,16.0,1.0,16.0,-1.0,-5.0,-3.0,-3.0,-13.0,7.0,-13.0,4.0,-20.0,3.0,-11.0,-18.0,2.0,-22.0,-6.0,-28.0,-5.0,-18.0,6.0,-27.0,-22.0,-5.0,-21.0,0.0,-25.0,-12.0,-11.0,-20.0,-16.0,-9.0,-15.0,-14.0,-10.0,-9.0,-5.0,-20.0,-4.0,-2.0,-15.0,-2.0,-1.0,-7.0,-9.0,-2.0,-19.0,-7.0,-8.0,4.0,-9.0,2.0,-11.0,1.0,-18.0,2.0,-18.0,4.0,8.0,-13.0,20.0,-9.0,19.0,-4.0,22.0,-12.0,11.0,-5.0,17.0,-8.0,13.0,-1.0,19.0,-4.0,9.0,38.0,8.0,4.0,20.0,14.0,13.0,0.0,1443.16
