subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_126,subcarrier_127,timestamp
-98.0,-32.0,9.0,-13.0,-21.0,-10.0,-15.0,-15.0,-21.0,-24.0,-9.0,-28.0,-8.0,-23.0,-3.0,-16.0,-4.0,-33.0,-15.0,-7.0,2.0,-24.0,4.0,-23.0,0.0,-23.0,2.0,-24.0,-19.0,-6.0,-14.0,0.0,-2.0,4.0,-11.0,-5.0,-8.0,-3.0,-9.0,-5.0,6.0,-6.0,4.0,0.0,3.0,-12.0,-5.0,28.0,-10.0,35.0,-7.0,31.0,-10.0,39.0,-1.0,31.0,-4.0,40.0,39.0,-1.0,43.0,-6.0,32.0,-6.0,33.0,32.0,3.0,39.0,2.0,34.0,-11.0,21.0,-3.0,19.0,4.0,14.0,13.0,-8.0,14.0,-7.0,7.0,4.0,-8.0,9.0,5.0,-11.0,0.0,-9.0,-11.0,9.0,-12.0,-9.0,-18.0,1959.18
124.0,-64.0,7.0,6.0,12.0,17.0,-3.0,10.0,-1.0,-2.0,21.0,-3.0,24.0,-3.0,24.0,-5.0,17.0,-5.0,0.0,12.0,22.0,-9.0,22.0,-7.0,18.0,-13.0,25.0,-3.0,0.0,12.0,7.0,7.0,-5.0,9.0,0.0,6.0,-1.0,-1.0,2.0,-3.0,-1.0,-6.0,1.0,-8.0,-2.0,-14.0,-17.0,-21.0,-19.0,-25.0,-15.0,-25.0,-20.0,-28.0,-20.0,-25.0,-16.0,-26.0,-26.0,-12.0,-21.0,-5.0,-25.0,-5.0,-32.0,-20.0,7.0,-29.0,-12.0,-27.0,-11.0,-19.0,4.0,-23.0,-9.0,-9.0,-20.0,-2.0,-3.0,-6.0,-5.0,4.0,-5.0,4.0,1.0,13.0,5.0,9.0,-5.0,12.0,5.0,3.0,9.0,1959.19
94.0,-32.0,5.0,17.0,8.0,8.0,17.0,0.0,11.0,21.0,6.0,17.0,13.0,15.0,5.0,21.0,9.0,20.0,15.0,15.0,17.0,18.0,4.0,9.0,8.0,25.0,16.0,9.0,8.0,6.0,13.0,10.0,9.0,-7.0,-4.0,-3.0,-8.0,6.0,-1.0,-8.0,-6.0,0.0,2.0,-1.0,-11.0,-5.0,-32.0,-3.0,-27.0,-9.0,-31.0,-2.0,-35.0,-7.0,-35.0,-8.0,-42.0,-9.0,-14.0,-33.0,-12.0,-30.0,-15.0,-35.0,-14.0,-16.0,-20.0,-7.0,-34.0,-8.0,-20.0,3.0,-9.0,-3.0,-16.0,-3.0,-3.0,-7.0,-2.0,-3.0,-8.0,-11.0,-2.0,-10.0,10.0,2.0,8.0,-2.0,15.0,-1.0,16.0,11.0,-9.0,1959.19
120.0,-128.0,7.0,12.0,12.0,16.0,5.0,19.0,9.0,14.0,21.0,9.0,9.0,12.0,20.0,20.0,20.0,19.0,8.0,12.0,16.0,13.0,7.0,17.0,0.0,21.0,17.0,8.0,11.0,20.0,-3.0,6.0,3.0,8.0,10.0,5.0,-12.0,0.0,-4.0,1.0,-7.0,-5.0,-17.0,1.0,-8.0,-10.0,20.0,-25.0,21.0,-16.0,24.0,-22.0,21.0,-21.0,20.0,-29.0,14.0,-24.0,-28.0,14.0,-31.0,13.0,-35.0,18.0,-31.0,-21.0,9.0,-27.0,11.0,-25.0,15.0,-26.0,5.0,-14.0,-3.0,-13.0,-12.0,6.0,-13.0,-1.0,-8.0,-11.0,9.0,3.0,-3.0,16.0,-8.0,8.0,10.0,3.0,-3.0,3.0,14.0,1959.2
108.0,-64.0,6.0,11.0,-7.0,-3.0,19.0,-10.0,14.0,17.0,-8.0,22.0,0.0,25.0,-3.0,18.0,-8.0,21.0,26.0,-8.0,-11.0,19.0,-4.0,16.0,-13.0,7.0,-10.0,7.0,9.0,-15.0,7.0,-13.0,2.0,-4.0,4.0,5.0,4.0,3.0,-1.0,0.0,-8.0,-5.0,-5.0,8.0,-8.0,6.0,-29.0,4.0,-28.0,10.0,-29.0,3.0,-30.0,10.0,-27.0,6.0,-34.0,2.0,8.0,-34.0,7.0,-21.0,8.0,-20.0,4.0,7.0,-14.0,5.0,-30.0,9.0,-15.0,-3.0,-24.0,9.0,-25.0,0.0,-14.0,-9.0,-9.0,-7.0,11.0,-11.0,7.0,-5.0,1.0,-12.0,9.0,-3.0,5.0,2.0,7.0,6.0,-6.0,1959.21
94.0,-32.0,5.0,1.0,12.0,25.0,-1.0,18.0,3.0,9.0,27.0,5.0,23.0,6.0,20.0,18.0,25.0,3.0,8.0,25.0,22.0,2.0,30.0,-3.0,19.0,11.0,0.0,10.0,2.0,-3.0,-5.0,8.0,9.0,15.0,2.0,11.0,-5.0,1.0,-8.0,2.0,2.0,0.0,-5.0,-11.0,-12.0,-7.0,14.0,-23.0,19.0,-23.0,20.0,-30.0,21.0,-29.0,19.0,-29.0,14.0,-28.0,-30.0,16.0,-27.0,10.0,-21.0,8.0,-27.0,-22.0,24.0,-25.0,17.0,-20.0,10.0,-20.0,6.0,-12.0,6.0,-1.0,-3.0,12.0,-6.0,9.0,-12.0,8.0,-1.0,5.0,-1.0,2.0,6.0,-3.0,1.0,-6.0,4.0,0.0,16.0,1959.21
1.0,19.0,48.0,7.0,13.0,15.0,3.0,12.0,4.0,6.0,21.0,3.0,18.0,10.0,18.0,9.0,26.0,7.0,5.0,17.0,26.0,10.0,9.0,7.0,9.0,8.0,12.0,1.0,0.0,9.0,2.0,0.0,2.0,4.0,-10.0,2.0,-3.0,2.0,4.0,-5.0,-9.0,-4.0,-6.0,0.0,-5.0,-8.0,-4.0,-32.0,-2.0,-34.0,-1.0,-31.0,-6.0,-29.0,-4.0,-35.0,0.0,-27.0,-33.0,-1.0,-33.0,-3.0,-30.0,-4.0,-32.0,-28.0,-9.0,-25.0,0.0,-25.0,1.0,-14.0,2.0,-17.0,-8.0,-13.0,2.0,-2.0,-12.0,-15.0,-11.0,-11.0,6.0,-6.0,-4.0,7.0,5.0,3.0,5.0,9.0,10.0,-1.0,11.0,1959.22
108.0,-64.0,6.0,4.0,18.0,13.0,-4.0,17.0,6.0,7.0,21.0,1.0,13.0,10.0,18.0,9.0,16.0,3.0,7.0,22.0,19.0,9.0,19.0,10.0,17.0,7.0,17.0,7.0,3.0,16.0,3.0,11.0,1.0,11.0,1.0,7.0,-1.0,7.0,-3.0,0.0,-6.0,0.0,-9.0,-2.0,-9.0,-4.0,15.0,-26.0,18.0,-27.0,17.0,-28.0,18.0,-29.0,18.0,-30.0,12.0,-33.0,-30.0,14.0,-29.0,12.0,-26.0,13.0,-28.0,-23.0,8.0,-23.0,10.0,-21.0,8.0,-16.0,6.0,-12.0,8.0,-10.0,-8.0,2.0,-4.0,-3.0,-2.0,1.0,3.0,-1.0,3.0,5.0,6.0,5.0,4.0,11.0,3.0,4.0,12.0,1959.27
-110.0,33.0,25.0,-17.0,42.0,33.0,-16.0,41.0,-6.0,-7.0,44.0,3.0,45.0,-7.0,59.0,-10.0,57.0,-7.0,-6.0,56.0,51.0,-2.0,49.0,-1.0,54.0,3.0,48.0,-4.0,-8.0,35.0,-10.0,30.0,-1.0,28.0,-4.0,22.0,-11.0,11.0,-11.0,5.0,-12.0,-6.0,-17.0,-12.0,-15.0,-18.0,54.0,-40.0,59.0,-39.0,66.0,-41.0,64.0,-52.0,63.0,-47.0,63.0,-51.0,-53.0,59.0,-49.0,64.0,-51.0,59.0,-50.0,-41.0,40.0,-39.0,49.0,-36.0,34.0,-37.0,27.0,-23.0,25.0,-13.0,-5.0,24.0,-6.0,0.0,-5.0,5.0,4.0,15.0,0.0,18.0,-6.0,19.0,-6.0,20.0,7.0,1.0,27.0,1959.27
101.0,81.0,22.0,-3.0,-18.0,-18.0,-2.0,-20.0,-7.0,-4.0,-17.0,-8.0,-25.0,-10.0,-22.0,-10.0,-13.0,-4.0,-7.0,-23.0,-26.0,-12.0,-21.0,2.0,-21.0,-2.0,-20.0,-1.0,-7.0,-14.0,-10.0,-20.0,-8.0,2.0,-2.0,-6.0,-1.0,1.0,6.0,0.0,-5.0,-2.0,8.0,2.0,12.0,7.0,-1.0,24.0,0.0,29.0,-1.0,35.0,3.0,36.0,1.0,34.0,-2.0,36.0,41.0,1.0,31.0,1.0,39.0,-5.0,25.0,21.0,-2.0,30.0,3.0,23.0,-1.0,7.0,0.0,10.0,-4.0,3.0,14.0,6.0,9.0,1.0,-6.0,-3.0,-7.0,-7.0,-1.0,-2.0,6.0,-2.0,-16.0,-5.0,-18.0,1.0,-11.0,1959.28
