subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_8,subcarrier_10,subcarrier_11,subcarrier_13,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_27,subcarrier_28,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_35,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_41,subcarrier_42,subcarrier_44,subcarrier_46,subcarrier_47,subcarrier_49,subcarrier_50,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_79,subcarrier_80,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_98,subcarrier_99,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_114,subcarrier_115,subcarrier_117,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-103.0,-112.0,9.0,6.0,-10.0,-12.0,3.0,-3.0,-10.0,-14.0,2.0,-29.0,2.0,-22.0,5.0,-21.0,-4.0,-23.0,0.0,-28.0,2.0,-32.0,-8.0,1.0,-7.0,-31.0,-8.0,-6.0,-26.0,-17.0,-27.0,-12.0,-15.0,-20.0,-18.0,14.0,-4.0,-6.0,16.0,-10.0,-17.0,7.0,-14.0,-12.0,-21.0,7.0,-10.0,-20.0,-8.0,-6.0,-7.0,-27.0,0.0,-38.0,-6.0,-15.0,-22.0,-4.0,-32.0,0.0,-23.0,8.0,-38.0,20.0,-36.0,19.0,-26.0,-26.0,23.0,15.0,-18.0,-28.0,21.0,-14.0,17.0,-21.0,15.0,-18.0,15.0,2557.83
108.0,-64.0,6.0,0.0,-13.0,-3.0,13.0,4.0,13.0,-14.0,11.0,-20.0,5.0,-21.0,3.0,-22.0,10.0,-16.0,9.0,-17.0,10.0,-21.0,-4.0,-2.0,3.0,-22.0,-5.0,-3.0,-24.0,-17.0,-17.0,-7.0,-14.0,-11.0,-15.0,-11.0,0.0,5.0,-19.0,-11.0,12.0,-6.0,10.0,1.0,10.0,-5.0,12.0,-2.0,13.0,-8.0,17.0,0.0,17.0,7.0,20.0,28.0,10.0,16.0,5.0,19.0,19.0,16.0,21.0,22.0,17.0,23.0,18.0,23.0,19.0,17.0,23.0,8.0,15.0,11.0,17.0,11.0,16.0,16.0,10.0,2557.99
98.0,32.0,6.0,-8.0,10.0,2.0,-3.0,-8.0,3.0,14.0,11.0,13.0,3.0,22.0,9.0,11.0,7.0,20.0,13.0,23.0,15.0,15.0,12.0,18.0,6.0,10.0,18.0,9.0,5.0,5.0,5.0,13.0,19.0,-3.0,17.0,11.0,6.0,6.0,7.0,12.0,-2.0,10.0,0.0,16.0,1.0,10.0,-5.0,13.0,-6.0,16.0,-13.0,18.0,-14.0,10.0,-21.0,-17.0,7.0,-27.0,11.0,-24.0,15.0,-29.0,0.0,-31.0,2.0,-33.0,6.0,6.0,-23.0,-28.0,1.0,-2.0,-17.0,-1.0,-18.0,-3.0,-13.0,0.0,-14.0,2557.99
102.0,96.0,6.0,-3.0,3.0,-10.0,20.0,8.0,7.0,5.0,5.0,-8.0,15.0,-14.0,11.0,-28.0,16.0,-8.0,20.0,-11.0,18.0,-20.0,15.0,11.0,13.0,-19.0,9.0,6.0,-19.0,-17.0,-15.0,-4.0,-7.0,-14.0,-13.0,-7.0,7.0,9.0,-3.0,-4.0,7.0,-1.0,13.0,-1.0,12.0,3.0,14.0,4.0,17.0,10.0,12.0,9.0,11.0,10.0,13.0,17.0,18.0,13.0,27.0,13.0,29.0,3.0,27.0,9.0,22.0,9.0,43.0,22.0,2.0,6.0,14.0,23.0,5.0,16.0,5.0,20.0,2.0,17.0,2.0,2558.0
73.0,-111.0,20.0,6.0,-3.0,-4.0,8.0,3.0,15.0,-10.0,9.0,-18.0,13.0,-15.0,16.0,-17.0,10.0,-12.0,15.0,-20.0,14.0,-19.0,13.0,10.0,12.0,-24.0,5.0,7.0,-16.0,-20.0,-21.0,-2.0,-8.0,-16.0,-8.0,-8.0,2.0,3.0,-7.0,-8.0,6.0,-10.0,7.0,-5.0,13.0,-4.0,16.0,-5.0,20.0,4.0,22.0,1.0,16.0,5.0,21.0,25.0,9.0,23.0,10.0,19.0,14.0,26.0,18.0,25.0,19.0,16.0,15.0,17.0,15.0,11.0,21.0,17.0,14.0,19.0,8.0,15.0,11.0,9.0,13.0,2558.1
-56.0,-128.0,12.0,0.0,-4.0,-4.0,-18.0,-17.0,-12.0,9.0,-13.0,9.0,-17.0,4.0,-28.0,7.0,-27.0,13.0,-33.0,9.0,-27.0,17.0,-32.0,-24.0,-20.0,18.0,-25.0,-16.0,18.0,23.0,16.0,0.0,4.0,22.0,6.0,6.0,-11.0,-11.0,-3.0,-1.0,-14.0,-7.0,-12.0,-6.0,-14.0,-8.0,-16.0,-11.0,-19.0,-16.0,-15.0,-21.0,-17.0,-28.0,-14.0,-6.0,-21.0,-13.0,-31.0,-6.0,-36.0,-9.0,-33.0,-15.0,-29.0,-11.0,-35.0,-39.0,-6.0,0.0,-34.0,-30.0,-2.0,-24.0,1.0,-22.0,-4.0,-17.0,-1.0,2558.12
93.0,-47.0,21.0,20.0,20.0,23.0,18.0,15.0,13.0,19.0,11.0,17.0,10.0,19.0,11.0,17.0,12.0,13.0,11.0,13.0,8.0,9.0,7.0,10.0,7.0,4.0,5.0,4.0,2.0,1.0,-4.0,-2.0,-2.0,-3.0,-6.0,-3.0,-32.0,-32.0,-10.0,-10.0,-35.0,-12.0,-35.0,-9.0,-38.0,-10.0,-36.0,-10.0,-34.0,-11.0,-30.0,-11.0,-28.0,-5.0,-24.0,-22.0,0.0,-18.0,0.0,-13.0,1.0,-10.0,0.0,-5.0,8.0,0.0,5.0,5.0,7.0,8.0,14.0,16.0,11.0,13.0,15.0,17.0,16.0,21.0,18.0,2558.13
-56.0,-128.0,12.0,-37.0,39.0,45.0,-48.0,-27.0,-30.0,30.0,-50.0,33.0,-30.0,37.0,-39.0,26.0,-32.0,27.0,-31.0,22.0,-26.0,29.0,-26.0,-12.0,-21.0,12.0,-16.0,-11.0,10.0,5.0,4.0,1.0,10.0,-5.0,13.0,-66.0,-17.0,-15.0,-73.0,-75.0,-13.0,-76.0,-6.0,-83.0,-15.0,-87.0,-11.0,-76.0,-7.0,-71.0,-5.0,-65.0,1.0,-51.0,-7.0,-8.0,-42.0,-4.0,-32.0,-2.0,-10.0,-9.0,-11.0,-17.0,1.0,-14.0,4.0,24.0,-21.0,-29.0,41.0,33.0,-24.0,46.0,-23.0,45.0,-36.0,46.0,-20.0,2558.14
-126.0,32.0,8.0,-9.0,60.0,41.0,-13.0,-21.0,-3.0,42.0,-6.0,37.0,-4.0,53.0,-26.0,35.0,-13.0,37.0,-17.0,36.0,-7.0,29.0,-6.0,-15.0,-7.0,16.0,-2.0,8.0,7.0,0.0,2.0,8.0,2.0,-12.0,12.0,-52.0,-36.0,-37.0,-64.0,-62.0,-31.0,-74.0,-34.0,-70.0,-44.0,-74.0,-36.0,-72.0,-34.0,-61.0,-30.0,-66.0,-26.0,-54.0,-33.0,-21.0,-29.0,-18.0,-26.0,-1.0,-25.0,-4.0,3.0,-6.0,9.0,0.0,13.0,23.0,-9.0,-7.0,25.0,42.0,-14.0,41.0,-23.0,49.0,-17.0,43.0,-7.0,2558.15
115.0,48.0,7.0,-11.0,-17.0,-17.0,-15.0,-12.0,-15.0,-17.0,-11.0,-16.0,-13.0,-16.0,-8.0,-19.0,-14.0,-14.0,-9.0,-17.0,-9.0,-11.0,-9.0,-10.0,-8.0,-4.0,-6.0,-5.0,-1.0,-1.0,5.0,-3.0,0.0,5.0,5.0,-2.0,27.0,28.0,3.0,5.0,32.0,4.0,33.0,5.0,32.0,5.0,30.0,7.0,33.0,7.0,30.0,6.0,26.0,6.0,18.0,19.0,2.0,13.0,1.0,13.0,0.0,7.0,1.0,2.0,-4.0,5.0,-10.0,-4.0,-2.0,-13.0,-15.0,-10.0,-12.0,-14.0,-16.0,-21.0,-13.0,-21.0,-17.0,2558.15
-10.0,96.0,15.0,-6.0,9.0,6.0,0.0,4.0,-5.0,18.0,10.0,20.0,9.0,21.0,7.0,19.0,7.0,24.0,11.0,22.0,14.0,17.0,10.0,19.0,19.0,15.0,12.0,20.0,11.0,9.0,3.0,18.0,12.0,-1.0,18.0,8.0,6.0,1.0,9.0,9.0,-2.0,17.0,3.0,17.0,4.0,17.0,-7.0,16.0,-10.0,15.0,-10.0,14.0,-12.0,16.0,-23.0,-24.0,16.0,-22.0,16.0,-30.0,13.0,-22.0,11.0,-30.0,20.0,-34.0,10.0,5.0,-30.0,-32.0,9.0,3.0,-24.0,1.0,-20.0,-1.0,-27.0,4.0,-25.0,2558.16
-10.0,96.0,15.0,5.0,6.0,-1.0,9.0,5.0,16.0,-8.0,18.0,-9.0,14.0,-10.0,15.0,-14.0,18.0,-15.0,25.0,-13.0,23.0,-24.0,24.0,14.0,10.0,-17.0,12.0,13.0,-26.0,-11.0,-18.0,1.0,-8.0,-17.0,-12.0,-8.0,13.0,14.0,-4.0,-3.0,12.0,2.0,18.0,9.0,15.0,5.0,20.0,12.0,21.0,10.0,9.0,15.0,11.0,21.0,18.0,14.0,24.0,14.0,25.0,9.0,29.0,6.0,34.0,12.0,30.0,8.0,32.0,27.0,6.0,1.0,23.0,31.0,-3.0,23.0,-1.0,22.0,-2.0,18.0,-2.0,2558.16
98.0,32.0,6.0,-14.0,7.0,6.0,3.0,3.0,0.0,12.0,4.0,14.0,8.0,22.0,5.0,17.0,8.0,17.0,15.0,19.0,11.0,21.0,13.0,17.0,20.0,12.0,15.0,21.0,10.0,5.0,2.0,17.0,15.0,1.0,16.0,5.0,10.0,5.0,5.0,6.0,5.0,10.0,6.0,10.0,7.0,17.0,2.0,19.0,1.0,26.0,-5.0,17.0,-5.0,25.0,-8.0,-16.0,22.0,-14.0,18.0,-21.0,20.0,-27.0,19.0,-15.0,13.0,-13.0,10.0,17.0,-16.0,-24.0,5.0,7.0,-25.0,18.0,-22.0,6.0,-13.0,11.0,-19.0,2558.19
98.0,32.0,6.0,3.0,-6.0,-10.0,-10.0,-7.0,-9.0,-10.0,-8.0,-11.0,-17.0,-10.0,-11.0,-14.0,-14.0,-11.0,-19.0,-16.0,-22.0,-10.0,-25.0,-23.0,-19.0,-1.0,-25.0,-23.0,-3.0,3.0,3.0,-19.0,-13.0,6.0,-11.0,2.0,-13.0,-4.0,3.0,-8.0,-9.0,-11.0,-10.0,-15.0,-2.0,-12.0,-9.0,-17.0,-9.0,-19.0,1.0,-26.0,-2.0,-21.0,-2.0,2.0,-26.0,5.0,-23.0,11.0,-26.0,3.0,-25.0,12.0,-21.0,13.0,-21.0,-21.0,20.0,21.0,-15.0,-17.0,19.0,-20.0,15.0,-16.0,14.0,-13.0,11.0,2558.21
-128.0,0.0,8.0,7.0,-8.0,0.0,3.0,8.0,10.0,-13.0,4.0,-11.0,13.0,-15.0,15.0,-20.0,11.0,-15.0,16.0,-18.0,10.0,-25.0,8.0,9.0,11.0,-25.0,5.0,3.0,-19.0,-21.0,-16.0,-3.0,-10.0,-13.0,-14.0,-6.0,5.0,5.0,-12.0,-3.0,9.0,-6.0,8.0,-5.0,14.0,-3.0,18.0,1.0,14.0,3.0,17.0,4.0,19.0,8.0,19.0,19.0,13.0,15.0,17.0,19.0,18.0,22.0,24.0,25.0,23.0,23.0,19.0,22.0,12.0,15.0,25.0,24.0,11.0,18.0,10.0,14.0,10.0,17.0,12.0,2558.25
-66.0,-32.0,11.0,-13.0,0.0,7.0,-10.0,-11.0,-10.0,10.0,-14.0,15.0,-16.0,17.0,-4.0,12.0,-10.0,12.0,-13.0,15.0,-13.0,23.0,-14.0,-11.0,-11.0,19.0,-6.0,-2.0,20.0,18.0,20.0,3.0,5.0,15.0,11.0,3.0,1.0,4.0,3.0,3.0,-10.0,9.0,-10.0,5.0,-8.0,8.0,-9.0,10.0,-17.0,2.0,-21.0,2.0,-19.0,4.0,-28.0,-28.0,-7.0,-32.0,-8.0,-26.0,-15.0,-25.0,-10.0,-27.0,-12.0,-26.0,-17.0,-17.0,-27.0,-21.0,-13.0,-19.0,-19.0,-12.0,-21.0,-14.0,-14.0,-12.0,-11.0,2558.28
-46.0,32.0,13.0,4.0,-7.0,1.0,13.0,13.0,15.0,-7.0,13.0,-13.0,16.0,-18.0,17.0,-16.0,12.0,-14.0,17.0,-24.0,17.0,-26.0,10.0,9.0,2.0,-30.0,6.0,4.0,-26.0,-19.0,-18.0,-2.0,-15.0,-15.0,-17.0,-9.0,7.0,10.0,-12.0,0.0,15.0,4.0,10.0,5.0,12.0,4.0,25.0,4.0,16.0,7.0,15.0,8.0,16.0,18.0,25.0,16.0,20.0,23.0,17.0,21.0,24.0,17.0,31.0,13.0,34.0,2.0,22.0,23.0,11.0,13.0,25.0,15.0,12.0,28.0,18.0,19.0,13.0,19.0,4.0,2558.29
98.0,32.0,6.0,-11.0,4.0,8.0,-4.0,-8.0,1.0,13.0,1.0,18.0,6.0,21.0,-8.0,19.0,3.0,18.0,4.0,22.0,9.0,19.0,6.0,0.0,11.0,23.0,10.0,14.0,9.0,9.0,7.0,16.0,14.0,2.0,9.0,4.0,3.0,4.0,9.0,12.0,-2.0,9.0,-2.0,19.0,-6.0,16.0,-5.0,10.0,-8.0,14.0,-14.0,11.0,-15.0,11.0,-19.0,-23.0,10.0,-27.0,11.0,-25.0,0.0,-22.0,2.0,-31.0,8.0,-29.0,-1.0,3.0,-30.0,-20.0,-3.0,-11.0,-23.0,-5.0,-22.0,1.0,-18.0,-1.0,-19.0,2558.33
70.0,97.0,20.0,-17.0,-28.0,-30.0,-10.0,-11.0,-11.0,-26.0,-9.0,-30.0,-12.0,-25.0,-11.0,-24.0,-9.0,-20.0,-7.0,-16.0,-9.0,-12.0,-10.0,-10.0,-12.0,-6.0,-9.0,-11.0,0.0,-1.0,4.0,-2.0,-3.0,5.0,0.0,6.0,26.0,27.0,5.0,9.0,31.0,10.0,31.0,9.0,31.0,9.0,35.0,11.0,33.0,9.0,31.0,10.0,28.0,7.0,24.0,21.0,3.0,16.0,4.0,14.0,2.0,7.0,-2.0,2.0,-5.0,-1.0,-4.0,-7.0,-4.0,-8.0,-15.0,-18.0,-10.0,-21.0,-11.0,-25.0,-13.0,-25.0,-12.0,2558.34
90.0,-95.0,21.0,-61.0,13.0,-8.0,-62.0,-73.0,-72.0,-1.0,-45.0,-2.0,-59.0,-1.0,-65.0,-9.0,-47.0,-3.0,-47.0,2.0,-34.0,4.0,-34.0,-24.0,-28.0,14.0,-23.0,-13.0,10.0,7.0,13.0,-2.0,7.0,5.0,14.0,-52.0,13.0,12.0,-58.0,-61.0,21.0,-70.0,20.0,-68.0,25.0,-68.0,30.0,-65.0,25.0,-60.0,28.0,-62.0,26.0,-51.0,21.0,19.0,-43.0,6.0,-29.0,16.0,-24.0,10.0,-3.0,-6.0,0.0,-11.0,6.0,-1.0,-23.0,-22.0,20.0,9.0,-44.0,28.0,-52.0,17.0,-67.0,22.0,-61.0,2558.34
102.0,96.0,6.0,-2.0,9.0,-2.0,8.0,-1.0,3.0,16.0,4.0,0.0,5.0,8.0,25.0,15.0,9.0,9.0,21.0,14.0,26.0,7.0,24.0,28.0,23.0,1.0,23.0,21.0,-2.0,-6.0,-12.0,13.0,15.0,-13.0,6.0,0.0,10.0,7.0,12.0,14.0,2.0,15.0,11.0,7.0,0.0,14.0,9.0,16.0,0.0,24.0,2.0,25.0,-7.0,27.0,-3.0,-9.0,26.0,-19.0,20.0,-20.0,27.0,-14.0,20.0,-21.0,23.0,-23.0,15.0,20.0,-21.0,-24.0,15.0,21.0,-11.0,7.0,-16.0,15.0,-14.0,11.0,-9.0,2558.37
-2.0,-32.0,15.0,-1.0,-7.0,-10.0,-6.0,-10.0,-17.0,-1.0,-18.0,-5.0,-16.0,3.0,-28.0,3.0,-27.0,0.0,-33.0,1.0,-30.0,5.0,-29.0,-30.0,-23.0,11.0,-17.0,-17.0,15.0,13.0,12.0,-5.0,-5.0,19.0,0.0,5.0,-11.0,-12.0,-1.0,-1.0,-8.0,-14.0,-14.0,-10.0,-8.0,-13.0,-15.0,-16.0,-12.0,-21.0,-12.0,-12.0,-8.0,-24.0,-14.0,-10.0,-28.0,-8.0,-30.0,-1.0,-36.0,1.0,-31.0,-3.0,-38.0,9.0,-33.0,-33.0,8.0,5.0,-30.0,-22.0,7.0,-24.0,10.0,-18.0,4.0,-26.0,3.0,2558.4
124.0,-64.0,7.0,-12.0,-2.0,9.0,0.0,-6.0,-8.0,17.0,-5.0,17.0,-17.0,12.0,-5.0,20.0,-2.0,24.0,-4.0,29.0,-3.0,27.0,-2.0,1.0,6.0,24.0,5.0,8.0,15.0,23.0,9.0,12.0,13.0,8.0,16.0,8.0,-1.0,-3.0,5.0,7.0,-14.0,8.0,-12.0,9.0,-14.0,4.0,-21.0,2.0,-16.0,2.0,-21.0,2.0,-26.0,-2.0,-23.0,-26.0,-7.0,-28.0,-12.0,-25.0,-5.0,-27.0,-13.0,-28.0,-17.0,-26.0,-19.0,-18.0,-29.0,-25.0,-15.0,-27.0,-27.0,-6.0,-20.0,-11.0,-14.0,-14.0,-17.0,2558.42
98.0,32.0,6.0,-5.0,-1.0,2.0,-10.0,-12.0,-13.0,-8.0,-21.0,-1.0,-23.0,9.0,-26.0,0.0,-23.0,5.0,-27.0,20.0,-23.0,9.0,-26.0,-26.0,-18.0,15.0,-21.0,-14.0,16.0,20.0,19.0,-11.0,-5.0,20.0,-2.0,1.0,-17.0,-12.0,-3.0,-7.0,-15.0,-5.0,-17.0,-7.0,-12.0,-10.0,-22.0,-8.0,-19.0,-16.0,-8.0,-17.0,-16.0,-24.0,-6.0,-12.0,-24.0,-8.0,-28.0,-11.0,-28.0,0.0,-29.0,-8.0,-36.0,0.0,-32.0,-36.0,3.0,0.0,-27.0,-25.0,7.0,-24.0,9.0,-21.0,0.0,-22.0,7.0,2558.45
90.0,-96.0,5.0,14.0,-6.0,-13.0,4.0,2.0,5.0,-18.0,-2.0,-20.0,2.0,-17.0,-5.0,-22.0,2.0,-28.0,-1.0,-26.0,2.0,-26.0,0.0,-5.0,-10.0,-22.0,-13.0,-10.0,-22.0,-20.0,-11.0,-16.0,-19.0,-5.0,-19.0,-16.0,-2.0,1.0,-11.0,-7.0,4.0,-14.0,7.0,-18.0,6.0,-11.0,12.0,-22.0,14.0,-15.0,18.0,-15.0,23.0,-9.0,22.0,23.0,0.0,24.0,5.0,29.0,1.0,30.0,2.0,29.0,12.0,32.0,10.0,3.0,26.0,30.0,11.0,12.0,27.0,7.0,19.0,7.0,19.0,5.0,20.0,2558.47
94.0,-32.0,5.0,-2.0,7.0,4.0,-6.0,-2.0,-1.0,10.0,0.0,11.0,-4.0,13.0,0.0,15.0,0.0,18.0,0.0,16.0,3.0,15.0,0.0,3.0,6.0,10.0,8.0,8.0,12.0,5.0,1.0,15.0,11.0,-1.0,10.0,7.0,1.0,1.0,7.0,6.0,-2.0,5.0,-3.0,9.0,-6.0,11.0,-13.0,6.0,-9.0,7.0,-10.0,10.0,-14.0,7.0,-15.0,-16.0,1.0,-18.0,-2.0,-16.0,-2.0,-19.0,-7.0,-16.0,1.0,-16.0,-8.0,-7.0,-22.0,-15.0,-11.0,-3.0,-14.0,-3.0,-15.0,-5.0,-14.0,-2.0,-12.0,2558.5
98.0,32.0,6.0,7.0,-4.0,-2.0,13.0,8.0,5.0,-12.0,20.0,-18.0,12.0,-12.0,13.0,-20.0,12.0,-15.0,15.0,-23.0,13.0,-24.0,7.0,6.0,3.0,-26.0,-3.0,1.0,-23.0,-18.0,-16.0,-5.0,-7.0,-12.0,-11.0,-8.0,1.0,0.0,-6.0,0.0,8.0,-7.0,13.0,0.0,12.0,-8.0,13.0,-3.0,18.0,-1.0,13.0,-1.0,17.0,-1.0,24.0,19.0,10.0,20.0,10.0,18.0,14.0,21.0,19.0,14.0,21.0,19.0,16.0,19.0,17.0,19.0,20.0,21.0,15.0,9.0,7.0,12.0,9.0,13.0,10.0,2558.51
86.0,96.0,5.0,23.0,-1.0,9.0,31.0,20.0,24.0,3.0,25.0,13.0,22.0,2.0,17.0,8.0,19.0,9.0,14.0,8.0,12.0,-1.0,17.0,12.0,13.0,-2.0,9.0,11.0,-4.0,-8.0,-7.0,-1.0,-3.0,-6.0,-7.0,-3.0,-24.0,-25.0,-6.0,-5.0,-31.0,-3.0,-29.0,-1.0,-26.0,-6.0,-26.0,-3.0,-28.0,-5.0,-22.0,-5.0,-30.0,-3.0,-19.0,-17.0,1.0,-19.0,-1.0,-11.0,-1.0,-4.0,-5.0,3.0,-3.0,-2.0,-1.0,0.0,4.0,6.0,-2.0,0.0,19.0,4.0,31.0,5.0,16.0,11.0,19.0,2558.54
94.0,-32.0,5.0,41.0,72.0,58.0,29.0,26.0,4.0,56.0,23.0,49.0,9.0,57.0,12.0,43.0,22.0,48.0,12.0,22.0,20.0,20.0,19.0,22.0,17.0,10.0,17.0,10.0,-9.0,1.0,-7.0,11.0,8.0,-22.0,3.0,-53.0,-17.0,-16.0,-55.0,-57.0,-29.0,-58.0,-29.0,-62.0,-26.0,-62.0,-28.0,-57.0,-26.0,-61.0,-27.0,-62.0,-21.0,-41.0,-8.0,-16.0,-36.0,-7.0,-17.0,-13.0,-19.0,-2.0,-4.0,3.0,9.0,-1.0,12.0,15.0,9.0,16.0,39.0,38.0,9.0,45.0,8.0,78.0,5.0,45.0,22.0,2558.55
94.0,-32.0,5.0,53.0,25.0,28.0,71.0,60.0,62.0,4.0,51.0,19.0,40.0,8.0,43.0,26.0,49.0,7.0,40.0,21.0,41.0,10.0,28.0,28.0,30.0,2.0,26.0,8.0,-4.0,-10.0,-13.0,4.0,0.0,-16.0,-19.0,25.0,-52.0,-49.0,20.0,23.0,-63.0,26.0,-63.0,16.0,-61.0,20.0,-64.0,24.0,-67.0,13.0,-58.0,18.0,-50.0,16.0,-54.0,-44.0,-13.0,-26.0,14.0,-13.0,4.0,-16.0,-1.0,-9.0,-8.0,13.0,18.0,-6.0,23.0,21.0,-6.0,6.0,45.0,-5.0,45.0,9.0,43.0,23.0,48.0,2558.55
-10.0,96.0,15.0,5.0,-1.0,3.0,4.0,9.0,11.0,3.0,19.0,2.0,17.0,7.0,21.0,6.0,13.0,0.0,23.0,4.0,25.0,-6.0,23.0,22.0,21.0,-10.0,22.0,20.0,-13.0,-11.0,-13.0,9.0,7.0,-18.0,3.0,-3.0,6.0,11.0,2.0,3.0,10.0,7.0,10.0,15.0,6.0,10.0,9.0,14.0,6.0,14.0,2.0,17.0,0.0,18.0,-1.0,-4.0,20.0,-4.0,27.0,-10.0,29.0,-8.0,27.0,-6.0,27.0,-10.0,25.0,21.0,-16.0,-17.0,23.0,19.0,-10.0,13.0,-11.0,10.0,-11.0,15.0,-10.0,2558.61
98.0,32.0,6.0,-6.0,-4.0,0.0,-11.0,-10.0,-18.0,-3.0,-21.0,-4.0,-23.0,-3.0,-24.0,3.0,-23.0,1.0,-29.0,2.0,-22.0,5.0,-30.0,-27.0,-24.0,14.0,-21.0,-22.0,12.0,13.0,19.0,-9.0,-14.0,19.0,-2.0,4.0,-8.0,-8.0,3.0,-2.0,-10.0,-2.0,-16.0,-8.0,-16.0,-14.0,-16.0,-12.0,-14.0,-18.0,-7.0,-23.0,-10.0,-19.0,-9.0,-3.0,-30.0,0.0,-31.0,-11.0,-27.0,-5.0,-30.0,0.0,-32.0,1.0,-34.0,-32.0,3.0,1.0,-24.0,-22.0,3.0,-26.0,5.0,-25.0,7.0,-19.0,9.0,2558.64
98.0,32.0,6.0,11.0,-7.0,-7.0,-4.0,-8.0,-10.0,-15.0,-12.0,-16.0,-16.0,-20.0,-16.0,-17.0,-19.0,-13.0,-19.0,-22.0,-22.0,-10.0,-23.0,-25.0,-30.0,-2.0,-26.0,-26.0,-2.0,6.0,8.0,-20.0,-15.0,9.0,-10.0,-10.0,-11.0,-6.0,-9.0,-13.0,-9.0,-15.0,-9.0,-16.0,-5.0,-21.0,-2.0,-25.0,4.0,-19.0,5.0,-22.0,13.0,-23.0,11.0,12.0,-23.0,16.0,-23.0,21.0,-25.0,16.0,-19.0,24.0,-21.0,26.0,-18.0,-12.0,30.0,24.0,-17.0,-13.0,26.0,-17.0,17.0,-22.0,20.0,-7.0,19.0,2558.77
113.0,16.0,7.0,-10.0,6.0,8.0,-11.0,1.0,-6.0,17.0,-7.0,20.0,-3.0,19.0,-9.0,24.0,-3.0,27.0,1.0,27.0,3.0,31.0,3.0,2.0,-3.0,21.0,6.0,13.0,20.0,15.0,17.0,14.0,17.0,13.0,15.0,4.0,7.0,2.0,10.0,12.0,0.0,15.0,-6.0,10.0,-6.0,12.0,-9.0,8.0,-16.0,11.0,-15.0,7.0,-15.0,10.0,-26.0,-27.0,1.0,-24.0,3.0,-29.0,0.0,-35.0,2.0,-36.0,-8.0,-28.0,0.0,-9.0,-28.0,-32.0,-14.0,-11.0,-25.0,-12.0,-19.0,-8.0,-27.0,-3.0,-24.0,2558.78
