subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_46,subcarrier_48,subcarrier_49,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_76,subcarrier_77,subcarrier_78,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_86,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_118,subcarrier_119,subcarrier_122,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
98.0,32.0,6.0,-17.0,26.0,-8.0,18.0,-16.0,25.0,13.0,-3.0,26.0,-18.0,19.0,-4.0,28.0,-18.0,24.0,1.0,20.0,-11.0,-11.0,20.0,-14.0,20.0,-13.0,12.0,-9.0,15.0,-13.0,13.0,-16.0,18.0,-15.0,8.0,-18.0,-17.0,6.0,-10.0,-13.0,-9.0,6.0,5.0,-15.0,5.0,-1.0,8.0,-4.0,-6.0,1.0,-9.0,-15.0,-13.0,-11.0,-15.0,-12.0,-18.0,-22.0,-13.0,-21.0,-14.0,-22.0,-23.0,-18.0,-28.0,-15.0,-19.0,-26.0,-10.0,-26.0,-10.0,-30.0,-16.0,-17.0,-12.0,-16.0,-12.0,-20.0,-15.0,-6.0,-21.0,-12.0,-13.0,-2.0,2.0,-18.0,2.0,3454.58
94.0,-32.0,5.0,-2.0,-13.0,10.0,-13.0,22.0,-20.0,-10.0,16.0,-22.0,17.0,-21.0,14.0,-17.0,19.0,-19.0,20.0,-18.0,11.0,19.0,-18.0,13.0,-15.0,14.0,-5.0,16.0,-7.0,8.0,-6.0,17.0,-9.0,9.0,-3.0,12.0,11.0,-6.0,13.0,10.0,10.0,-2.0,3.0,10.0,-2.0,8.0,1.0,6.0,3.0,12.0,0.0,-6.0,-7.0,22.0,-8.0,21.0,-6.0,28.0,-16.0,31.0,-12.0,27.0,25.0,-14.0,28.0,-11.0,-11.0,25.0,-12.0,29.0,-3.0,22.0,-8.0,21.0,4.0,20.0,-2.0,15.0,5.0,11.0,15.0,19.0,11.0,23.0,1.0,7.0,12.0,3454.68
94.0,-32.0,5.0,7.0,24.0,34.0,3.0,20.0,1.0,9.0,43.0,24.0,48.0,8.0,40.0,8.0,42.0,-2.0,44.0,19.0,35.0,59.0,9.0,46.0,22.0,28.0,28.0,22.0,12.0,26.0,21.0,23.0,17.0,21.0,15.0,16.0,9.0,12.0,8.0,5.0,7.0,8.0,11.0,9.0,18.0,5.0,18.0,1.0,-8.0,22.0,-12.0,-29.0,-38.0,16.0,-39.0,19.0,-46.0,20.0,-46.0,13.0,-45.0,22.0,25.0,-61.0,12.0,-50.0,-33.0,9.0,-55.0,13.0,-43.0,10.0,-34.0,10.0,-32.0,14.0,-17.0,15.0,-22.0,13.0,-14.0,14.0,10.0,-11.0,24.0,25.0,32.0,3454.69
94.0,-32.0,5.0,-10.0,41.0,-31.0,39.0,-26.0,44.0,56.0,3.0,39.0,14.0,35.0,-5.0,49.0,-17.0,47.0,6.0,33.0,1.0,15.0,31.0,-5.0,40.0,-15.0,34.0,-20.0,18.0,-20.0,35.0,-19.0,22.0,-5.0,14.0,-17.0,-16.0,14.0,-22.0,-16.0,-12.0,9.0,1.0,-12.0,5.0,-10.0,15.0,-14.0,-12.0,-1.0,-16.0,-21.0,-26.0,-21.0,-23.0,-33.0,-37.0,-41.0,-30.0,-42.0,-35.0,-45.0,-52.0,-23.0,-49.0,-27.0,-31.0,-49.0,-28.0,-51.0,-22.0,-31.0,-34.0,-30.0,-23.0,-9.0,-30.0,-16.0,-26.0,-8.0,-18.0,0.0,-15.0,-4.0,12.0,-8.0,4.0,3454.7
-40.0,-127.0,29.0,-36.0,-17.0,-9.0,-44.0,-23.0,-26.0,-19.0,-64.0,-2.0,-46.0,-13.0,-37.0,-7.0,-52.0,-12.0,-39.0,-13.0,-47.0,-38.0,-1.0,-55.0,-11.0,-34.0,-25.0,-24.0,-5.0,-30.0,-20.0,-20.0,-14.0,-24.0,-22.0,-17.0,-8.0,-12.0,-3.0,-12.0,-8.0,-16.0,-13.0,-7.0,-18.0,-2.0,-4.0,10.0,15.0,-13.0,15.0,30.0,34.0,-6.0,44.0,-5.0,49.0,-9.0,51.0,-10.0,44.0,1.0,3.0,54.0,-10.0,47.0,58.0,-8.0,49.0,-4.0,53.0,-18.0,35.0,-6.0,34.0,-13.0,13.0,-10.0,13.0,-19.0,25.0,-22.0,17.0,-9.0,-5.0,-10.0,-10.0,3454.7
-20.0,-63.0,30.0,-1.0,47.0,-12.0,44.0,-4.0,24.0,50.0,28.0,49.0,35.0,48.0,-13.0,38.0,18.0,38.0,21.0,24.0,10.0,8.0,45.0,-1.0,28.0,-6.0,31.0,8.0,32.0,-4.0,34.0,-11.0,21.0,-18.0,18.0,-9.0,-11.0,17.0,-9.0,-15.0,-13.0,11.0,13.0,-10.0,15.0,-5.0,19.0,-10.0,-10.0,11.0,-21.0,-32.0,-35.0,-15.0,-46.0,-20.0,-42.0,-25.0,-42.0,-31.0,-35.0,-30.0,-45.0,-35.0,-40.0,-45.0,-52.0,-29.0,-35.0,-24.0,-42.0,-17.0,-41.0,-18.0,-20.0,-12.0,-34.0,-2.0,-35.0,-7.0,-10.0,4.0,-6.0,-8.0,28.0,-12.0,9.0,3454.71
-98.0,-32.0,9.0,-27.0,7.0,-46.0,-9.0,-34.0,-1.0,3.0,-31.0,30.0,-42.0,30.0,-55.0,-11.0,-29.0,22.0,-23.0,8.0,-16.0,-43.0,16.0,-27.0,15.0,-25.0,6.0,-33.0,4.0,-26.0,1.0,-25.0,0.0,-17.0,-8.0,-20.0,-18.0,-14.0,-27.0,-19.0,-13.0,-7.0,-7.0,-16.0,-6.0,-12.0,-10.0,-4.0,4.0,-22.0,7.0,19.0,30.0,-21.0,33.0,-26.0,41.0,-24.0,47.0,-26.0,48.0,-34.0,-23.0,43.0,-34.0,49.0,41.0,-23.0,49.0,-25.0,41.0,-18.0,36.0,-22.0,31.0,-23.0,15.0,-22.0,-5.0,-21.0,17.0,-10.0,6.0,-16.0,-3.0,-23.0,-34.0,3454.71
-98.0,-32.0,9.0,-16.0,14.0,-11.0,20.0,-12.0,22.0,22.0,-13.0,28.0,-12.0,28.0,-9.0,29.0,-10.0,32.0,-12.0,26.0,-11.0,-13.0,23.0,-12.0,24.0,-11.0,21.0,-14.0,21.0,-12.0,18.0,-16.0,16.0,-16.0,9.0,-17.0,-14.0,7.0,-15.0,-10.0,-13.0,5.0,3.0,-8.0,4.0,-10.0,-3.0,-8.0,-8.0,-8.0,-4.0,-3.0,1.0,-22.0,1.0,-26.0,5.0,-29.0,4.0,-34.0,7.0,-36.0,-31.0,6.0,-29.0,4.0,7.0,-29.0,3.0,-26.0,4.0,-23.0,0.0,-23.0,-7.0,-20.0,-7.0,-15.0,-6.0,-10.0,-12.0,-8.0,-13.0,-14.0,-3.0,-10.0,2.0,3454.8
98.0,32.0,6.0,45.0,33.0,30.0,8.0,24.0,43.0,31.0,33.0,28.0,25.0,45.0,39.0,48.0,41.0,29.0,17.0,47.0,22.0,36.0,38.0,21.0,38.0,20.0,34.0,-6.0,43.0,4.0,36.0,1.0,38.0,-14.0,33.0,-10.0,-12.0,22.0,-14.0,-14.0,-10.0,16.0,9.0,-8.0,17.0,8.0,15.0,3.0,-5.0,15.0,-9.0,-26.0,-31.0,17.0,-41.0,17.0,-43.0,12.0,-52.0,10.0,-58.0,9.0,9.0,-61.0,-1.0,-64.0,-49.0,-6.0,-49.0,-1.0,-35.0,2.0,-42.0,-3.0,-25.0,11.0,-31.0,-2.0,-30.0,10.0,-34.0,13.0,-11.0,8.0,26.0,8.0,34.0,3454.8
98.0,32.0,6.0,13.0,-24.0,11.0,-41.0,-3.0,-31.0,-56.0,17.0,-45.0,-11.0,-30.0,9.0,-52.0,-4.0,-41.0,-7.0,-65.0,5.0,4.0,-38.0,-2.0,-52.0,9.0,-45.0,11.0,-39.0,21.0,-39.0,18.0,-37.0,18.0,-26.0,13.0,16.0,-25.0,20.0,22.0,10.0,-18.0,-14.0,0.0,-9.0,13.0,3.0,14.0,7.0,18.0,-3.0,-2.0,-1.0,39.0,-4.0,42.0,-12.0,54.0,-18.0,57.0,-9.0,50.0,51.0,-4.0,48.0,-11.0,-11.0,55.0,-1.0,50.0,-6.0,41.0,1.0,29.0,12.0,34.0,9.0,33.0,10.0,18.0,21.0,18.0,29.0,22.0,3.0,8.0,-20.0,3454.81
