subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,subcarrier_13,subcarrier_14,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_37,subcarrier_38,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_52,subcarrier_76,subcarrier_78,subcarrier_79,subcarrier_80,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_84,subcarrier_85,subcarrier_86,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_92,subcarrier_93,subcarrier_94,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_102,subcarrier_103,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_108,subcarrier_109,subcarrier_110,subcarrier_111,subcarrier_112,subcarrier_113,subcarrier_115,subcarrier_116,subcarrier_118,subcarrier_120,subcarrier_121,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-25.0,113.0,30.0,0.0,10.0,0.0,7.0,9.0,-7.0,6.0,-15.0,-11.0,11.0,-13.0,11.0,10.0,12.0,-21.0,13.0,17.0,-24.0,17.0,-22.0,20.0,-19.0,18.0,-19.0,18.0,17.0,-16.0,-15.0,18.0,-9.0,15.0,-5.0,15.0,-6.0,11.0,0.0,9.0,4.0,6.0,33.0,29.0,11.0,34.0,13.0,33.0,12.0,30.0,10.0,34.0,11.0,32.0,8.0,28.0,27.0,7.0,23.0,20.0,15.0,12.0,17.0,10.0,10.0,14.0,15.0,18.0,7.0,8.0,17.0,4.0,18.0,2.0,19.0,22.0,5.0,3.0,3.0,23.0,22.0,4.0,22.0,2.0,17.0,949.865
-5.0,-79.0,31.0,6.0,-14.0,5.0,-10.0,-8.0,13.0,-6.0,14.0,12.0,-7.0,17.0,-7.0,-2.0,-9.0,26.0,-9.0,-10.0,28.0,-10.0,30.0,-13.0,26.0,-14.0,20.0,-14.0,-11.0,16.0,15.0,-14.0,14.0,-11.0,10.0,-10.0,7.0,-12.0,-1.0,-6.0,-2.0,-10.0,-26.0,-23.0,-30.0,-26.0,-26.0,-24.0,-22.0,-26.0,-25.0,-28.0,-22.0,-24.0,-20.0,-21.0,-21.0,-21.0,-17.0,-14.0,-18.0,-17.0,-9.0,-17.0,-4.0,-18.0,-4.0,-22.0,0.0,4.0,-22.0,5.0,-20.0,4.0,-20.0,-21.0,4.0,5.0,4.0,-22.0,-18.0,2.0,-23.0,0.0,-16.0,949.871
80.0,0.0,5.0,7.0,8.0,5.0,12.0,11.0,1.0,12.0,-3.0,-9.0,12.0,-8.0,14.0,21.0,18.0,-8.0,22.0,20.0,-13.0,18.0,-12.0,23.0,-6.0,22.0,-8.0,25.0,20.0,-8.0,0.0,22.0,0.0,14.0,1.0,18.0,3.0,6.0,2.0,7.0,5.0,7.0,33.0,31.0,-6.0,30.0,-6.0,30.0,-8.0,30.0,-9.0,29.0,-9.0,25.0,-5.0,29.0,24.0,-7.0,20.0,20.0,1.0,1.0,21.0,7.0,13.0,5.0,13.0,5.0,14.0,13.0,12.0,14.0,12.0,6.0,8.0,14.0,10.0,9.0,16.0,16.0,11.0,8.0,11.0,7.0,6.0,949.877
-10.0,96.0,15.0,11.0,-2.0,8.0,7.0,9.0,6.0,8.0,5.0,4.0,16.0,7.0,15.0,17.0,25.0,13.0,20.0,26.0,16.0,25.0,15.0,30.0,17.0,24.0,16.0,26.0,22.0,19.0,12.0,20.0,15.0,12.0,15.0,5.0,13.0,6.0,7.0,0.0,7.0,5.0,21.0,21.0,-29.0,19.0,-33.0,18.0,-33.0,15.0,-33.0,15.0,-30.0,21.0,-32.0,15.0,17.0,-29.0,17.0,17.0,-19.0,-16.0,10.0,-12.0,19.0,-11.0,17.0,-6.0,19.0,21.0,-5.0,20.0,0.0,21.0,-4.0,-1.0,22.0,20.0,21.0,4.0,4.0,18.0,-5.0,15.0,-4.0,949.882
94.0,-32.0,5.0,7.0,-8.0,13.0,-1.0,-2.0,14.0,1.0,11.0,16.0,8.0,17.0,5.0,9.0,7.0,26.0,10.0,12.0,27.0,10.0,24.0,9.0,29.0,5.0,27.0,8.0,5.0,27.0,21.0,4.0,17.0,-1.0,15.0,-2.0,10.0,-5.0,7.0,-6.0,2.0,-1.0,-7.0,-7.0,-35.0,-8.0,-33.0,-8.0,-32.0,-13.0,-34.0,-11.0,-34.0,-10.0,-30.0,-8.0,-5.0,-27.0,-5.0,-2.0,-24.0,-20.0,2.0,-20.0,7.0,-19.0,6.0,-16.0,11.0,9.0,-16.0,13.0,-14.0,13.0,-16.0,-13.0,14.0,11.0,14.0,-12.0,-12.0,13.0,-13.0,10.0,-16.0,949.887
-98.0,-32.0,9.0,14.0,3.0,8.0,5.0,7.0,6.0,9.0,7.0,6.0,16.0,6.0,18.0,21.0,24.0,10.0,23.0,27.0,14.0,25.0,11.0,24.0,12.0,25.0,15.0,24.0,19.0,14.0,13.0,16.0,13.0,14.0,13.0,10.0,9.0,6.0,9.0,0.0,7.0,4.0,26.0,25.0,-26.0,24.0,-27.0,25.0,-27.0,20.0,-26.0,23.0,-25.0,19.0,-25.0,22.0,22.0,-20.0,20.0,19.0,-15.0,-13.0,17.0,-9.0,20.0,-7.0,18.0,-5.0,18.0,19.0,1.0,18.0,-2.0,20.0,0.0,4.0,23.0,18.0,22.0,-1.0,2.0,18.0,2.0,19.0,3.0,949.892
108.0,-64.0,6.0,-2.0,-12.0,1.0,-9.0,-12.0,7.0,-11.0,10.0,11.0,-12.0,12.0,-14.0,-18.0,-22.0,18.0,-21.0,-20.0,18.0,-26.0,16.0,-28.0,15.0,-24.0,13.0,-24.0,-22.0,12.0,7.0,-22.0,6.0,-19.0,0.0,-17.0,2.0,-12.0,-4.0,-10.0,-6.0,-8.0,-33.0,-34.0,-9.0,-34.0,-9.0,-34.0,-9.0,-33.0,-9.0,-34.0,-7.0,-33.0,-8.0,-32.0,-25.0,-8.0,-22.0,-25.0,-10.0,-8.0,-20.0,-13.0,-13.0,-15.0,-12.0,-14.0,-12.0,-11.0,-18.0,-8.0,-16.0,-6.0,-20.0,-18.0,-8.0,-8.0,-8.0,-19.0,-20.0,-5.0,-18.0,-6.0,-15.0,949.898
52.0,64.0,3.0,-4.0,-8.0,-1.0,-13.0,-9.0,3.0,-10.0,7.0,10.0,-16.0,7.0,-16.0,-20.0,-21.0,13.0,-21.0,-24.0,13.0,-23.0,11.0,-28.0,13.0,-25.0,10.0,-24.0,-22.0,3.0,4.0,-22.0,3.0,-19.0,-2.0,-16.0,-4.0,-9.0,-4.0,-7.0,-5.0,-5.0,-31.0,-30.0,-6.0,-33.0,-6.0,-31.0,-4.0,-29.0,-5.0,-32.0,-2.0,-28.0,-2.0,-27.0,-27.0,-4.0,-22.0,-21.0,-6.0,-8.0,-17.0,-9.0,-18.0,-10.0,-15.0,-15.0,-12.0,-12.0,-14.0,-10.0,-15.0,-9.0,-18.0,-16.0,-8.0,-5.0,-9.0,-19.0,-16.0,-10.0,-11.0,-10.0,-15.0,949.904
-128.0,0.0,8.0,-12.0,0.0,-13.0,-3.0,-2.0,-12.0,-8.0,-13.0,-11.0,-14.0,-14.0,-15.0,-17.0,-15.0,-15.0,-20.0,-20.0,-21.0,-20.0,-21.0,-21.0,-22.0,-20.0,-23.0,-22.0,-16.0,-20.0,-20.0,-14.0,-15.0,-12.0,-15.0,-4.0,-10.0,1.0,-9.0,1.0,-5.0,0.0,-15.0,-12.0,34.0,-11.0,31.0,-10.0,31.0,-10.0,35.0,-11.0,30.0,-9.0,29.0,-12.0,-8.0,26.0,-8.0,-10.0,20.0,19.0,-12.0,14.0,-13.0,14.0,-19.0,12.0,-15.0,-17.0,5.0,-22.0,4.0,-19.0,5.0,3.0,-19.0,-18.0,-16.0,5.0,4.0,-21.0,7.0,-16.0,5.0,949.909
108.0,-64.0,6.0,-8.0,-9.0,-6.0,-13.0,-12.0,2.0,-9.0,4.0,7.0,-14.0,9.0,-17.0,-21.0,-23.0,10.0,-27.0,-27.0,8.0,-28.0,7.0,-27.0,7.0,-28.0,9.0,-30.0,-30.0,3.0,2.0,-23.0,0.0,-18.0,-5.0,-14.0,-3.0,-8.0,-6.0,-9.0,-8.0,-4.0,-35.0,-34.0,5.0,-37.0,5.0,-34.0,6.0,-30.0,7.0,-34.0,8.0,-33.0,11.0,-33.0,-27.0,5.0,-28.0,-24.0,1.0,-6.0,-24.0,-6.0,-18.0,-6.0,-18.0,-6.0,-18.0,-16.0,-14.0,-16.0,-15.0,-12.0,-13.0,-16.0,-14.0,-14.0,-10.0,-16.0,-13.0,-14.0,-15.0,-16.0,-12.0,949.915
