subcarrier_0,subcarrier_1,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_10,subcarrier_11,timestamp
30.0,-32.0,-12.0,20.0,-11.0,20.0,20.0,-11.0,5210.65
30.0,-32.0,25.0,-10.0,25.0,-10.0,-9.0,24.0,5210.65
30.0,-32.0,-2.0,26.0,-1.0,25.0,25.0,-3.0,5210.76
30.0,-32.0,-29.0,4.0,-28.0,4.0,4.0,-28.0,5211.48
30.0,-32.0,-7.0,27.0,-8.0,25.0,27.0,-8.0,5211.66
30.0,-32.0,-18.0,18.0,-19.0,18.0,18.0,-19.0,5212.48
30.0,-32.0,17.0,16.0,17.0,16.0,16.0,16.0,5212.68
30.0,-32.0,-26.0,6.0,-26.0,6.0,6.0,-25.0,5213.48
30.0,-32.0,9.0,-25.0,10.0,-24.0,-24.0,9.0,5213.65
30.0,-32.0,3.0,-26.0,5.0,-26.0,-26.0,4.0,5214.48
30.0,-32.0,4.0,23.0,3.0,23.0,23.0,2.0,5214.66
30.0,-32.0,-17.0,-22.0,-15.0,-21.0,-21.0,-15.0,5215.49
30.0,-32.0,-23.0,-14.0,-23.0,-13.0,-14.0,-23.0,5215.67
-114.0,-32.0,0.0,26.0,0.0,26.0,26.0,-1.0,5216.31
-94.0,32.0,-23.0,-15.0,-23.0,-15.0,-15.0,-23.0,5216.32
-72.0,-128.0,-23.0,7.0,-23.0,7.0,7.0,-24.0,5216.33
30.0,-32.0,-26.0,8.0,-26.0,8.0,9.0,-25.0,5216.49
30.0,-32.0,-3.0,-27.0,-2.0,-26.0,-26.0,-2.0,5216.66
30.0,-32.0,1.0,-27.0,2.0,-26.0,-26.0,1.0,5217.49
30.0,-32.0,-2.0,25.0,-2.0,25.0,25.0,-2.0,5217.68
30.0,-32.0,-20.0,17.0,-20.0,17.0,17.0,-19.0,5218.49
30.0,-32.0,23.0,13.0,22.0,13.0,12.0,22.0,5218.68
30.0,-32.0,-16.0,21.0,-16.0,20.0,20.0,-16.0,5219.49
30.0,-32.0,-8.0,-26.0,-7.0,-26.0,-26.0,-7.0,5219.68
