subcarrier_0,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,timestamp
98.0,-4.0,11.0,-7.0,4.0,-6.0,8.0,-13.0,2975.49
-128.0,3.0,-8.0,-12.0,-3.0,-2.0,-11.0,7.0,2975.5
98.0,2.0,-5.0,3.0,-11.0,4.0,-9.0,3.0,2975.5
-128.0,-4.0,-7.0,-2.0,-8.0,-7.0,-11.0,-1.0,2975.51
-128.0,-2.0,0.0,-7.0,9.0,4.0,9.0,-12.0,2975.51
124.0,-4.0,6.0,-9.0,-6.0,-10.0,1.0,-13.0,2975.52
104.0,-5.0,-16.0,10.0,-9.0,-1.0,-12.0,7.0,2975.53
-98.0,-5.0,-9.0,1.0,-9.0,-4.0,-16.0,11.0,2975.53
98.0,16.0,-4.0,-2.0,-4.0,13.0,-4.0,16.0,2975.54
-98.0,2.0,-11.0,11.0,0.0,9.0,-9.0,9.0,2975.54
98.0,9.0,11.0,1.0,7.0,5.0,5.0,3.0,2975.55
98.0,-34.0,0.0,-34.0,-6.0,-31.0,1.0,-27.0,2975.55
98.0,7.0,-32.0,9.0,-38.0,0.0,-34.0,7.0,2975.56
86.0,20.0,-28.0,20.0,-31.0,18.0,-33.0,10.0,2975.58
-125.0,-8.0,-13.0,0.0,-14.0,1.0,-17.0,-1.0,2975.61
-105.0,-6.0,15.0,-3.0,20.0,-10.0,14.0,-11.0,2975.61
86.0,10.0,-29.0,8.0,-30.0,14.0,-35.0,7.0,2975.64
-68.0,50.0,67.0,49.0,52.0,63.0,64.0,44.0,2975.66
-39.0,-74.0,27.0,-52.0,35.0,-65.0,44.0,-61.0,2975.66
8.0,-8.0,87.0,-3.0,56.0,-17.0,92.0,-15.0,2975.67
28.0,61.0,-37.0,61.0,-49.0,83.0,-43.0,61.0,2975.67
94.0,8.0,-73.0,-14.0,-61.0,-3.0,-82.0,-9.0,2975.68
-125.0,44.0,-31.0,70.0,-25.0,60.0,-27.0,80.0,2975.69
94.0,21.0,16.0,26.0,21.0,28.0,19.0,31.0,2975.69
124.0,-13.0,-4.0,-8.0,-6.0,-12.0,-13.0,-2.0,2975.71
104.0,-5.0,16.0,0.0,8.0,-5.0,18.0,-16.0,2975.71
94.0,-27.0,-34.0,-51.0,-63.0,-32.0,-37.0,-44.0,2975.74
-66.0,28.0,-34.0,21.0,-61.0,44.0,-43.0,45.0,2975.74
-46.0,-12.0,-21.0,-14.0,-21.0,-12.0,-20.0,-17.0,2975.75
104.0,29.0,4.0,29.0,0.0,25.0,0.0,27.0,2975.76
124.0,-64.0,-55.0,-48.0,-22.0,-62.0,-22.0,-59.0,2975.76
94.0,-32.0,57.0,-21.0,59.0,-12.0,69.0,3.0,2975.77
98.0,11.0,-6.0,9.0,-2.0,12.0,-1.0,11.0,2975.78
98.0,9.0,10.0,6.0,13.0,-2.0,8.0,1.0,2975.78
-3.0,7.0,-5.0,17.0,-2.0,14.0,1.0,13.0,2975.79
-108.0,17.0,-19.0,20.0,-19.0,19.0,-22.0,17.0,2975.84
-108.0,-23.0,-20.0,-26.0,-25.0,-25.0,-24.0,-27.0,2975.85
