epoch,generator_loss,discriminator_loss,reconstruction_loss,feature_matching_loss
1,19.276748657226562,11.223353385925293,7.784712314605713,0.2669224143028259
2,18.43551254272461,11.22520637512207,7.456682205200195,0.2509390115737915
3,18.595046997070312,11.226618766784668,7.416619300842285,0.2536889910697937
4,18.64657974243164,11.226016998291016,7.558734893798828,0.2533222436904907
5,17.792320251464844,11.218219757080078,7.235910892486572,0.23467208445072174
6,17.416715621948242,11.214887619018555,7.452000617980957,0.23927834630012512
7,17.227176666259766,11.213016510009766,7.2652788162231445,0.23116633296012878
8,16.802440643310547,11.209636688232422,7.15150785446167,0.22341369092464447
9,16.35812759399414,11.208263397216797,6.698659896850586,0.20500323176383972
10,15.614802360534668,11.204181671142578,6.460232734680176,0.19730757176876068
11,14.943550109863281,11.200849533081055,6.34276008605957,0.19187122583389282
12,14.983833312988281,11.203811645507812,6.264033317565918,0.18556198477745056
13,14.774698257446289,11.207818984985352,6.143184185028076,0.18382254242897034
14,15.004934310913086,11.202911376953125,6.303585052490234,0.18839430809020996
15,14.184030532836914,11.202390670776367,6.036886215209961,0.17722514271736145
16,14.83089828491211,11.206521987915039,6.329662322998047,0.19115300476551056
17,13.161373138427734,11.19332504272461,5.715899467468262,0.16631808876991272
18,12.722429275512695,11.196172714233398,5.550758361816406,0.16227290034294128
19,12.867053985595703,11.196114540100098,5.646490097045898,0.16114315390586853
20,12.988594055175781,11.202539443969727,5.766050338745117,0.1619587242603302
21,12.998533248901367,11.200087547302246,5.825733184814453,0.16472642123699188
22,12.666499137878418,11.198457717895508,5.659019947052002,0.15733246505260468
23,12.33714485168457,11.199151039123535,5.581092357635498,0.14816315472126007
24,11.815673828125,11.191007614135742,5.38728141784668,0.1483679711818695
25,12.043037414550781,11.198987007141113,5.519421577453613,0.14997676014900208
26,11.661857604980469,11.194293022155762,5.423183917999268,0.14418533444404602
27,11.715412139892578,11.188766479492188,5.42555046081543,0.1453274041414261
28,11.49439811706543,11.186159133911133,5.3481645584106445,0.14893902838230133
29,11.697038650512695,11.192826271057129,5.460176467895508,0.1462918519973755
30,11.280786514282227,11.18111515045166,5.344476222991943,0.14130251109600067
31,10.989800453186035,11.182632446289062,5.22390079498291,0.13295671343803406
32,11.025968551635742,11.187529563903809,5.224471569061279,0.1331210732460022
33,10.52705192565918,11.175178527832031,5.0459980964660645,0.13013172149658203
34,10.458480834960938,11.184494018554688,4.995318412780762,0.129881352186203
35,10.6087646484375,11.17656135559082,5.110007286071777,0.13151049613952637
36,10.372091293334961,11.176950454711914,5.026134490966797,0.1277959942817688
37,10.304767608642578,11.166986465454102,5.027871131896973,0.13103559613227844
38,10.477611541748047,11.172685623168945,5.083096027374268,0.13034245371818542
39,10.046628952026367,11.168573379516602,4.917690753936768,0.12041258066892624
40,9.989606857299805,11.158524513244629,4.8958845138549805,0.12371079623699188
41,10.317193984985352,11.160808563232422,5.037336826324463,0.13088646531105042
42,9.74428939819336,11.158699035644531,4.778617858886719,0.12122893333435059
43,10.51500129699707,11.175240516662598,5.166433334350586,0.1268562227487564
44,10.699251174926758,11.180639266967773,5.321595668792725,0.12451968342065811
45,10.373590469360352,11.176801681518555,5.191956520080566,0.12379014492034912
46,9.599471092224121,11.168371200561523,4.826320648193359,0.11265525966882706
47,9.46055793762207,11.150973320007324,4.804605960845947,0.1190863847732544
48,9.800048828125,11.159111976623535,4.944730281829834,0.11509951949119568
49,9.51941967010498,11.150323867797852,4.790176868438721,0.12069657444953918
50,9.07369327545166,11.142460823059082,4.575102806091309,0.1131802648305893
51,9.40639591217041,11.150222778320312,4.744367599487305,0.11372242122888565
52,9.581842422485352,11.163474082946777,4.8658552169799805,0.11521635949611664
53,8.984564781188965,11.139537811279297,4.5793328285217285,0.10914690792560577
54,9.668686866760254,11.160750389099121,4.865365505218506,0.11708724498748779
55,9.51899528503418,11.158995628356934,4.825710773468018,0.11506772041320801
56,9.247204780578613,11.147092819213867,4.67056941986084,0.12179060280323029
57,9.225509643554688,11.1304292678833,4.7207841873168945,0.11551868915557861
58,9.131017684936523,11.128976821899414,4.659142971038818,0.11575616151094437
59,8.730831146240234,11.12309455871582,4.466272354125977,0.10976991057395935
60,9.313542366027832,11.110895156860352,4.774648189544678,0.12213432788848877
61,9.349926948547363,11.1356840133667,4.798459053039551,0.11784146726131439
62,8.943894386291504,11.117796897888184,4.635381698608398,0.11912115663290024
63,8.924184799194336,11.099045753479004,4.611988067626953,0.11696505546569824
64,9.85919189453125,11.091980934143066,5.063855171203613,0.12409652769565582
65,9.609297752380371,11.105679512023926,5.045085906982422,0.12642034888267517
66,9.026395797729492,11.081904411315918,4.7039265632629395,0.121385857462883
67,9.048261642456055,11.023235321044922,4.724818706512451,0.11942210048437119
68,9.090739250183105,10.986908912658691,4.712477207183838,0.12555398046970367
69,9.065764427185059,10.982271194458008,4.742469310760498,0.13256652653217316
70,8.929037094116211,10.994304656982422,4.6822943687438965,0.12634849548339844
71,8.452651977539062,10.849573135375977,4.4537248611450195,0.12126617878675461
72,9.254426956176758,10.976018905639648,4.850533485412598,0.12238515913486481
73,8.791377067565918,10.839733123779297,4.582716941833496,0.12919701635837555
74,8.763114929199219,10.796584129333496,4.574898719787598,0.13007521629333496
75,9.219161987304688,10.651573181152344,4.835300445556641,0.1343543827533722
76,9.040696144104004,10.847932815551758,4.8121113777160645,0.12555135786533356
77,8.583248138427734,10.720855712890625,4.484700679779053,0.1416480392217636
78,8.955223083496094,10.708385467529297,4.767691612243652,0.13221263885498047
79,8.326414108276367,10.645654678344727,4.360281944274902,0.1296326071023941
80,8.964508056640625,10.689491271972656,4.684980392456055,0.13365991413593292
81,8.701261520385742,10.6943359375,4.571320533752441,0.13306978344917297
82,8.720491409301758,10.675952911376953,4.5642619132995605,0.14247635006904602
83,9.007555961608887,10.43475341796875,4.783688068389893,0.13296064734458923
84,8.45374870300293,10.3963041305542,4.472414970397949,0.1417665183544159
85,8.833877563476562,10.566243171691895,4.701066493988037,0.1409633606672287
86,9.049715995788574,10.49367904663086,4.846601486206055,0.14802756905555725
87,8.575895309448242,10.436249732971191,4.550060749053955,0.14326772093772888
88,8.873940467834473,10.481949806213379,4.7330827713012695,0.1359841227531433
89,8.635065078735352,10.328813552856445,4.626222610473633,0.14001990854740143
90,8.563267707824707,10.177608489990234,4.554494857788086,0.14366662502288818
91,8.672273635864258,10.516685485839844,4.595383644104004,0.14186635613441467
92,8.449872016906738,10.425776481628418,4.5079874992370605,0.14448493719100952
93,8.79383373260498,10.483919143676758,4.671288013458252,0.15579359233379364
94,8.58034896850586,9.900351524353027,4.501239776611328,0.14424225687980652
95,8.831453323364258,10.140521049499512,4.703706741333008,0.1529981642961502
96,8.403611183166504,10.118792533874512,4.5147294998168945,0.15320098400115967
97,8.45693588256836,10.416533470153809,4.535111427307129,0.14843358099460602
98,8.320734024047852,10.219076156616211,4.469620704650879,0.13560178875923157
99,8.608908653259277,10.061012268066406,4.64169454574585,0.1497032195329666
100,8.862375259399414,10.227110862731934,4.7388153076171875,0.15826138854026794
101,8.735116004943848,10.051506996154785,4.633920192718506,0.15486547350883484
102,8.340418815612793,9.939249038696289,4.48394775390625,0.1523759663105011
103,8.320588111877441,10.137947082519531,4.459432601928711,0.14671334624290466
104,8.224184036254883,10.418363571166992,4.357915878295898,0.15028421580791473
105,8.127888679504395,10.165517807006836,4.355710029602051,0.14033696055412292
106,8.214357376098633,10.28288745880127,4.391815185546875,0.14252564311027527
107,8.04273796081543,9.755847930908203,4.274248123168945,0.14998970925807953
108,8.05325698852539,9.963287353515625,4.279198169708252,0.14255747199058533
109,8.36013126373291,9.909161567687988,4.443654537200928,0.14596886932849884
110,8.555032730102539,9.529801368713379,4.5984086990356445,0.15800169110298157
111,8.554320335388184,9.619782447814941,4.606753826141357,0.15778109431266785
112,8.080754280090332,9.578141212463379,4.367057800292969,0.1568424105644226
113,9.1935453414917,9.733105659484863,4.883801460266113,0.1631442904472351
114,8.07667350769043,9.940043449401855,4.357985973358154,0.14355748891830444
115,8.17213249206543,9.69102668762207,4.408140659332275,0.15334442257881165
116,8.489287376403809,9.827107429504395,4.54225492477417,0.15347754955291748
117,8.236164093017578,9.726438522338867,4.3761701583862305,0.1455439329147339
118,8.530096054077148,9.86779499053955,4.531176567077637,0.14656706154346466
119,8.696941375732422,9.462730407714844,4.649039268493652,0.163519948720932
120,8.412993431091309,9.574834823608398,4.5514984130859375,0.15487372875213623
121,8.424710273742676,9.523191452026367,4.5381269454956055,0.15926843881607056
122,8.456583023071289,9.35517692565918,4.596696376800537,0.16234934329986572
123,8.314798355102539,9.554773330688477,4.522681713104248,0.14885608851909637
124,8.861345291137695,9.712432861328125,4.787798881530762,0.1522514522075653
125,8.558855056762695,9.324454307556152,4.600758075714111,0.16333705186843872
126,8.364803314208984,9.459946632385254,4.609786033630371,0.15980538725852966
127,8.335283279418945,9.582609176635742,4.579792022705078,0.15307193994522095
128,8.513566970825195,9.277425765991211,4.602118492126465,0.1635439693927765
129,8.289100646972656,9.616511344909668,4.497117519378662,0.15287652611732483
130,8.463367462158203,9.634590148925781,4.5606489181518555,0.16313348710536957
131,7.865538597106934,9.671010971069336,4.2492876052856445,0.1531943827867508
132,8.142367362976074,9.188831329345703,4.375908851623535,0.1537327766418457
133,8.153579711914062,9.59417724609375,4.364640235900879,0.15005168318748474
134,8.230140686035156,9.688871383666992,4.4822282791137695,0.14646285772323608
135,8.127594947814941,9.651626586914062,4.434137344360352,0.14927172660827637
136,7.98834228515625,9.644770622253418,4.298635005950928,0.15970852971076965
137,8.021159172058105,9.581682205200195,4.324142932891846,0.14636962115764618
138,8.19575309753418,9.663788795471191,4.420352458953857,0.14835236966609955
139,8.318662643432617,9.506326675415039,4.503961086273193,0.1513374149799347
140,8.164175987243652,9.917160987854004,4.4261064529418945,0.14139991998672485
141,8.232712745666504,9.302166938781738,4.462841033935547,0.16540634632110596
142,7.804868698120117,9.43144702911377,4.283355712890625,0.15368971228599548
143,8.154766082763672,9.1622314453125,4.471009254455566,0.1642853319644928
144,8.435169219970703,9.084514617919922,4.586727619171143,0.16101112961769104
145,8.22606086730957,9.282459259033203,4.49635124206543,0.15335378050804138
146,8.240205764770508,9.507842063903809,4.528692722320557,0.1490611582994461
147,8.319282531738281,8.99372386932373,4.539069175720215,0.16105292737483978
148,8.254480361938477,9.502567291259766,4.484838962554932,0.15033435821533203
149,8.139204025268555,9.350137710571289,4.4295148849487305,0.1486515998840332
150,7.634242534637451,9.208757400512695,4.143108367919922,0.1406897008419037
151,7.979984760284424,8.839888572692871,4.336718559265137,0.16567392647266388
152,8.229310989379883,8.971844673156738,4.457816123962402,0.15749064087867737
153,7.989477157592773,9.823240280151367,4.372497081756592,0.14134082198143005
154,8.032166481018066,9.219072341918945,4.363668441772461,0.15656685829162598
155,8.379161834716797,9.38585376739502,4.54213285446167,0.1623656302690506
156,7.973472595214844,9.291674613952637,4.333854675292969,0.1561344563961029
157,7.596767425537109,9.524225234985352,4.12476110458374,0.15048334002494812
158,8.067122459411621,8.993491172790527,4.391360759735107,0.1534435898065567
159,7.928779602050781,9.40921401977539,4.303612232208252,0.15122348070144653
160,7.881694316864014,9.720115661621094,4.329840660095215,0.1430436074733734
161,8.48851203918457,8.902603149414062,4.6595330238342285,0.1637548804283142
162,8.408332824707031,8.579715728759766,4.587497234344482,0.16725417971611023
163,7.9538469314575195,9.045037269592285,4.369637966156006,0.14125613868236542
164,8.417601585388184,8.87195873260498,4.592584609985352,0.16403070092201233
165,7.636662483215332,9.232967376708984,4.183388710021973,0.1465452015399933
166,8.295743942260742,9.183589935302734,4.506651878356934,0.15275263786315918
167,7.706936836242676,8.871925354003906,4.204356670379639,0.15002253651618958
168,8.039094924926758,8.528568267822266,4.416531562805176,0.15770241618156433
169,7.991633415222168,8.90060043334961,4.300198078155518,0.1677720844745636
170,7.720317363739014,8.586050987243652,4.255695343017578,0.16037216782569885
171,8.048541069030762,9.001973152160645,4.411154270172119,0.1521901935338974
172,8.235082626342773,8.61599349975586,4.465364456176758,0.1538330614566803
173,7.9700236320495605,9.379779815673828,4.331216335296631,0.15509620308876038
174,8.448347091674805,8.401983261108398,4.616882801055908,0.16999733448028564
175,7.4658613204956055,9.177227020263672,4.062122344970703,0.14600056409835815
176,7.906156539916992,9.302512168884277,4.239701271057129,0.16016024351119995
177,7.579643249511719,9.083723068237305,4.084248065948486,0.15732485055923462
178,7.75489616394043,8.796600341796875,4.286386489868164,0.1489599347114563
179,7.56625509262085,9.620596885681152,4.139212608337402,0.14438754320144653
180,7.4108381271362305,9.768782615661621,4.10739803314209,0.151630699634552
181,8.126026153564453,8.563278198242188,4.386349678039551,0.1708364635705948
182,8.190133094787598,8.688834190368652,4.454955577850342,0.159598246216774
183,8.26414680480957,8.558343887329102,4.487961769104004,0.1661178171634674
184,7.9458842277526855,8.365442276000977,4.310643196105957,0.16619668900966644
185,7.53829288482666,8.453445434570312,4.089443206787109,0.164757639169693
186,8.205818176269531,9.022518157958984,4.481529235839844,0.15080368518829346
187,8.053412437438965,8.70743179321289,4.438551425933838,0.14746719598770142
188,7.76435661315918,8.884316444396973,4.256810188293457,0.15533536672592163
189,7.787384033203125,9.077676773071289,4.246639251708984,0.14284703135490417
190,8.06833267211914,8.638853073120117,4.436282157897949,0.16723811626434326
191,7.964818000793457,8.978245735168457,4.402614593505859,0.15700209140777588
192,8.048044204711914,8.720561027526855,4.457390785217285,0.16460949182510376
193,8.125417709350586,8.777729034423828,4.4584245681762695,0.15182319283485413
194,8.152957916259766,8.956024169921875,4.486300468444824,0.14770253002643585
195,7.907189846038818,8.639524459838867,4.368215560913086,0.15222588181495667
196,7.701092720031738,8.76914119720459,4.227099895477295,0.16000846028327942
197,7.650055885314941,8.860553741455078,4.240578651428223,0.14960381388664246
198,8.091004371643066,8.465010643005371,4.477349281311035,0.16980981826782227
199,7.864188194274902,8.563260078430176,4.397987365722656,0.149809792637825
200,7.818512916564941,9.212135314941406,4.255276203155518,0.14869986474514008
