(30-32j),(1+0j),(21-12j),(20-11j),(20-11j),(20-11j),(20-12j),(19-12j),(19-12j),(18-12j),(19-13j),(19-13j),(18-13j),(18-13j),(18-13j),(18-12j),(19-12j),(19-12j),(19-12j),(18-11j),(18-11j),(18-10j),(18-10j),(17-9j),(17-9j),(17-8j),(17-8j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(15-10j),(16-10j),(16-10j),(16-10j),(17-9j),(18-9j),(18-9j),(19-9j),(20-9j),(19-9j),(20-8j),(21-9j),(20-8j),(21-8j),(20-8j),(20-8j),(20-8j),(20-8j),(20-9j),(21-9j),(20-10j),(20-10j),(20-10j),(20-10j),(21-11j),(22-11j)
(30-32j),(1+0j),(-11+25j),(-10+25j),(-10+24j),(-9+24j),(-8+24j),(-8+24j),(-8+23j),(-8+24j),(-7+24j),(-6+24j),(-6+24j),(-6+24j),(-6+25j),(-7+24j),(-7+24j),(-6+24j),(-7+23j),(-7+23j),(-7+22j),(-7+22j),(-8+21j),(-8+21j),(-8+20j),(-8+20j),(-8+19j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-8+19j),(-9+19j),(-9+19j),(-10+19j),(-10+19j),(-11+19j),(-11+20j),(-12+20j),(-12+21j),(-13+21j),(-13+21j),(-14+21j),(-13+21j),(-13+21j),(-13+20j),(-13+21j),(-13+20j),(-13+21j),(-12+22j),(-12+22j),(-11+22j),(-11+23j),(-11+22j),(-11+24j),(-11+25j),(-10+24j)
(30-32j),(1+0j),(26-2j),(26-1j),(25-2j),(25-3j),(25-3j),(25-4j),(24-4j),(24-4j),(25-5j),(24-6j),(24-6j),(24-5j),(24-6j),(24-5j),(24-5j),(25-5j),(24-4j),(23-4j),(23-3j),(22-3j),(22-3j),(22-3j),(21-3j),(21-2j),(20-1j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(20-3j),(20-2j),(21-2j),(21-1j),(21-1j),(22+0j),(23+0j),(23+0j),(24+1j),(24+1j),(24+1j),(25+1j),(24+1j),(24+1j),(24+2j),(25+1j),(24+1j),(24+1j),(25+0j),(25+0j),(24+0j),(25-1j),(25+0j),(26-1j),(27-2j),(25-3j)
(30-32j),(1+0j),(5-29j),(4-28j),(4-27j),(4-28j),(3-28j),(3-28j),(2-27j),(2-27j),(1-27j),(1-27j),-28j,-27j,-28j,(1-27j),(1-27j),(1-27j),(2-27j),(2-26j),(3-26j),(2-25j),(3-25j),(3-24j),(3-23j),(4-24j),(4-23j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2-22j),(3-22j),(3-23j),(3-23j),(4-23j),(5-24j),(5-24j),(5-25j),(6-25j),(7-26j),(7-26j),(7-26j),(7-25j),(8-26j),(8-25j),(8-26j),(6-25j),(7-25j),(7-26j),(7-26j),(6-26j),(6-27j),(5-27j),(5-27j),(5-29j),(4-28j)
(30-32j),(1+0j),(27-7j),(27-8j),(25-8j),(27-8j),(26-9j),(26-9j),(25-9j),(25-9j),(25-10j),(25-11j),(25-11j),(24-10j),(25-11j),(24-10j),(25-10j),(25-11j),(25-9j),(25-9j),(25-8j),(24-7j),(23-7j),(22-7j),(22-6j),(23-5j),(22-5j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(19-7j),(21-7j),(21-6j),(21-6j),(21-6j),(22-5j),(23-5j),(24-5j),(24-4j),(24-4j),(25-4j),(25-4j),(25-4j),(25-4j),(25-3j),(25-4j),(24-5j),(25-5j),(26-5j),(26-5j),(25-6j),(26-6j),(25-6j),(26-7j),(27-8j),(26-8j)
(30-32j),(1+0j),(19-18j),(18-19j),(18-18j),(18-19j),(17-19j),(17-19j),(16-19j),(16-19j),(16-20j),(15-20j),(15-20j),(15-20j),(15-21j),(15-20j),(15-20j),(15-20j),(16-20j),(16-18j),(16-18j),(15-17j),(15-17j),(15-16j),(15-16j),(15-15j),(15-15j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(13-16j),(14-15j),(15-15j),(15-15j),(15-15j),(17-15j),(17-15j),(18-15j),(19-16j),(19-15j),(20-15j),(20-15j),(19-15j),(20-15j),(20-15j),(19-15j),(19-15j),(19-16j),(20-17j),(19-16j),(18-17j),(19-17j),(19-17j),(19-18j),(19-19j),(19-19j)
(30-32j),(1+0j),(16+17j),(16+17j),(16+16j),(16+16j),(17+16j),(17+16j),(16+15j),(16+14j),(17+14j),(17+14j),(17+14j),(17+14j),(17+14j),(17+14j),(17+14j),(17+14j),(16+15j),(15+14j),(15+15j),(14+15j),(14+14j),(13+14j),(13+14j),(13+15j),(11+15j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(14+11j),(14+12j),(14+13j),(14+13j),(14+13j),(14+14j),(14+15j),(14+16j),(14+16j),(14+17j),(14+17j),(14+18j),(14+17j),(14+17j),(13+17j),(14+17j),(13+17j),(14+17j),(14+17j),(15+17j),(15+16j),(15+17j),(15+17j),(16+17j),(17+18j),(17+16j)
(30-32j),(1+0j),(7-26j),(6-26j),(6-25j),(6-25j),(5-25j),(5-25j),(5-24j),(4-25j),(4-25j),(3-25j),(3-25j),(3-25j),(3-25j),(3-24j),(3-25j),(3-25j),(4-24j),(4-24j),(5-24j),(5-22j),(5-22j),(5-22j),(5-21j),(6-21j),(6-20j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4-20j),(4-21j),(5-21j),(5-21j),(6-21j),(7-22j),(7-22j),(8-23j),(8-23j),(8-23j),(9-23j),(10-24j),(9-23j),(10-23j),(10-23j),(9-23j),(9-23j),(9-23j),(9-24j),(9-24j),(8-24j),(8-24j),(8-24j),(7-25j),(7-25j),(6-25j)
(30-32j),(1+0j),(-26+9j),(-25+10j),(-24+9j),(-24+9j),(-24+10j),(-24+10j),(-22+10j),(-23+11j),(-22+11j),(-22+12j),(-22+12j),(-22+12j),(-23+12j),(-22+11j),(-22+11j),(-22+12j),(-22+11j),(-22+11j),(-21+10j),(-21+10j),(-21+9j),(-20+9j),(-20+9j),(-20+8j),(-20+7j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-19+7j),(-20+7j),(-21+7j),(-21+6j),(-21+6j),(-22+6j),(-22+6j),(-24+6j),(-24+5j),(-24+5j),(-25+5j),(-25+5j),(-24+5j),(-25+5j),(-25+4j),(-25+5j),(-24+5j),(-24+5j),(-24+6j),(-25+6j),(-24+7j),(-25+7j),(-24+7j),(-25+8j),(-25+9j),(-24+9j)
(30-32j),(1+0j),(-28+3j),(-26+5j),(-26+5j),(-26+4j),(-25+5j),(-25+6j),(-25+6j),(-24+6j),(-25+6j),(-25+7j),(-25+7j),(-24+7j),(-25+7j),(-24+7j),(-24+7j),(-25+7j),(-25+6j),(-24+5j),(-24+5j),(-23+5j),(-22+4j),(-22+4j),(-22+3j),(-22+3j),(-22+2j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-20+5j),(-21+4j),(-21+4j),(-21+4j),(-22+4j),(-23+3j),(-23+3j),(-24+3j),(-24+2j),(-25+2j),(-25+2j),(-26+1j),(-25+1j),(-25+1j),(-25+1j),(-25+1j),(-25+1j),(-25+1j),(-25+2j),(-26+2j),(-25+2j),(-25+3j),(-25+3j),(-26+3j),(-27+4j),(-27+4j)
