CSI_DATA,PA,MAC,RSSI,Rate,Sig_Mode,MCS,Bandwidth,Smoothing,Not_Sounding,Aggregation,STBC,FEC_Coding,SGI,Noise_Floor,AMPDU_CNT,Channel,Secondary_Channel,Local_Timestamp,Ant,Sig_Len,RX_State,Real_Time_Set,Real_Timestamp,Len,CSI_Data,Timestamp
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-82,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397686053,0,94,0,0,3397.9,128,[94 -32 5 0 2 -21 -6 -13 -11 -8 9 -22 -11 -36 -21 -18 2 -26 15 -16 6 -35 16 -36 -3 -14 6 -21 20 -11 19 -3 23 -5 28 1 26 -3 33 12 40 7 29 14 26 18 27 15 29 13 26 17 20 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -13 25 -6 23 -5 26 -1 33 7 33 7 42 11 40 18 40 14 47 29 41 11 34 21 50 22 56 14 49 21 52 18 49 15 24 1 23 17 32 16 47 -1 19 1 29 -15 34 -12 30 -12 13 -14 ],2025-05-07_20-26-17-600
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-81,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397686222,0,94,0,0,3397.9,128,[94 -32 5 0 18 -21 24 -9 24 -10 6 7 32 7 19 -22 35 7 22 -11 34 4 31 7 14 -13 20 2 17 -9 18 8 14 23 5 18 14 32 11 21 -8 30 -7 30 -3 37 -4 27 -4 31 -2 31 1 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 17 3 17 -6 22 -3 27 -12 37 -17 39 -22 39 -24 37 -18 49 -21 43 -23 35 -20 41 -24 45 -21 44 -22 44 -26 34 -27 40 -8 36 -14 39 -10 40 2 26 -8 31 6 23 14 24 18 37 6 9 ],2025-05-07_20-26-17-605
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-80,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397785690,0,125,0,0,3397.95,128,[125 -48 7 0 6 -31 -9 -39 -10 -16 -3 -38 -9 -35 -15 -12 -9 -38 -22 -31 -11 -38 -6 -38 -20 -28 0 -40 -2 -37 2 -26 5 -35 17 -21 17 -25 21 -25 14 -19 18 -15 26 -19 21 -13 25 -16 17 -14 22 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -1 19 -11 21 0 34 -4 35 2 36 8 37 16 49 14 45 19 47 20 46 22 48 16 46 17 48 9 44 5 51 1 42 7 47 8 39 -9 35 -14 31 -10 34 -21 22 -2 24 -29 26 -16 25 -13 ],2025-05-07_20-26-17-658
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-80,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397785899,0,145,0,0,3397.96,128,[-111 16 9 0 -39 9 -41 -8 -41 11 -35 -10 -29 7 -43 -9 -29 14 -43 -10 -24 -2 -30 -14 -31 -13 -35 -4 -22 1 -25 -21 -28 -16 -16 -29 -24 -24 -23 -20 -11 -25 -17 -23 -7 -33 0 -25 3 -30 -4 -23 -1 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -11 -10 -20 -6 -28 -2 -37 2 -33 0 -42 9 -46 5 -51 2 -52 10 -54 15 -49 13 -50 7 -48 10 -47 7 -50 2 -44 6 -50 2 -41 -6 -34 1 -42 -15 -24 -20 -34 -27 -20 -31 -24 -8 -26 -36 -18 ],2025-05-07_20-26-17-663
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-81,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397786136,0,205,0,0,3397.96,128,[-51 -48 12 0 -46 22 -30 29 -36 3 -17 21 -38 22 -32 13 -30 9 -30 9 -36 9 -33 11 -24 21 -27 0 -45 4 -30 11 -17 -10 -33 -7 -23 -14 -16 -20 -11 -21 -7 -25 -7 -23 -7 -28 -3 -24 0 -23 5 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -20 -6 -19 -8 -24 -15 -28 -16 -28 -28 -27 -29 -28 -36 -34 -39 -33 -50 -26 -49 -21 -46 -21 -53 -16 -53 -24 -52 -25 -50 -27 -51 -27 -40 -13 -42 -28 -21 -22 -27 -28 -18 -36 -8 -40 -13 -24 -2 -14 14 -33 3 ],2025-05-07_20-26-17-670
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-81,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397786453,0,128,0,0,3397.97,128,[-128 0 8 0 -39 -29 -26 11 -53 18 -38 5 -41 19 -45 3 -37 15 -37 7 -41 7 -27 5 -39 -8 -28 -4 -44 0 -43 -24 -30 -10 -19 -13 -21 -13 -26 -16 -16 -15 -15 -19 -17 -22 -13 -17 -16 -24 -14 -21 -16 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -16 14 -17 11 -26 21 -25 26 -25 26 -32 36 -35 31 -37 44 -32 32 -33 39 -33 32 -29 38 -30 34 -47 33 -42 29 -35 25 -37 17 -36 8 -31 9 -38 6 -26 -4 -32 -17 -35 -15 -23 -22 -42 -24 -36 ],2025-05-07_20-26-17-675
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-81,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397786666,0,165,0,0,3397.98,128,[-91 80 10 0 3 -44 -7 -15 -9 -36 -3 -29 -37 -38 -26 -27 13 -48 14 -23 10 -61 -10 -40 -4 -34 -3 -31 16 -31 14 -26 14 -21 22 -15 21 -18 21 -15 23 -5 26 -8 18 -2 18 -10 25 0 30 1 16 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -8 20 -12 25 1 31 1 34 2 38 2 44 11 45 2 53 14 47 1 58 19 47 5 51 4 37 15 46 4 56 -3 38 11 37 0 44 -6 22 1 36 5 30 -20 26 -14 10 -25 14 -20 14 -26 ],2025-05-07_20-26-17-681
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-80,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397786927,0,185,0,0,3397.98,128,[-71 -112 11 0 -27 -7 -33 10 -11 6 -39 20 -35 6 -38 33 -21 16 -42 9 -21 14 -35 2 -22 2 -30 6 -47 4 -27 1 -35 -1 -31 -14 -22 -21 -23 -33 -24 -19 -19 -13 -23 -19 -12 -25 -22 -24 -10 -26 -20 -27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 1 -17 -21 -15 -26 -19 -29 -13 -41 -14 -42 -9 -47 -9 -52 -5 -59 -10 -45 -8 -56 -6 -47 -8 -57 -16 -53 -4 -49 -8 -52 -14 -48 -7 -46 -7 -35 -18 -26 -17 -24 -33 -30 -38 -14 -41 -13 -23 -12 -35 -21 ],2025-05-07_20-26-17-687
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-80,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397787216,0,246,0,0,3397.99,128,[-10 96 15 0 -14 32 -25 20 -9 27 -5 40 13 30 9 29 -2 41 8 39 -1 34 2 45 -3 45 -1 8 -13 34 -14 34 -1 35 -28 31 -18 21 -32 23 -24 21 -31 15 -34 11 -30 5 -32 9 -27 12 -26 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 2 -24 -2 -28 -13 -35 -13 -29 -13 -36 -21 -39 -21 -39 -25 -46 -27 -43 -31 -50 -34 -42 -27 -46 -27 -42 -31 -48 -22 -41 -23 -41 -10 -42 -14 -38 -3 -34 -5 -31 -4 -38 12 -29 3 -26 32 -27 26 -26 12 ],2025-05-07_20-26-17-693
CSI_DATA,PASSIVE,5C:E9:31:E8:F4:66,-81,11,0,0,0,0,0,0,0,0,0,-96,0,11,0,3397787585,0,86,0,0,3397.99,128,[86 96 5 0 -9 39 1 38 2 52 -1 38 -7 23 -2 22 14 35 8 52 -2 49 4 35 -4 31 8 34 -12 28 4 35 -3 35 -18 26 -22 23 -23 20 -26 21 -25 15 -29 13 -33 15 -22 11 -20 8 -24 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 8 -18 10 -26 2 -27 6 -41 11 -44 -1 -43 -1 -51 1 -43 -4 -56 -9 -46 -7 -61 -2 -49 -6 -57 -11 -49 -10 -50 0 -46 -3 -44 -9 -44 2 -26 4 -30 9 -20 23 -31 8 -27 40 -3 27 -5 33 ],2025-05-07_20-26-17-699
